 	si	je	ne	veux	pas	rester	ici	j'	irai	ailleurs	</S>
w	0.841126	0.0195513	0.0124055	0.00383301	0.0307567	0.0639528	0.0179764	0.00977693	0.000456322	0.000105405	5.96102e-05
á	0.789633	0.0590349	0.0200337	0.00943628	0.029026	0.0331431	0.0491642	0.00914329	0.000412889	0.000843855	0.000128585
á	0.272613	0.0504543	0.0709351	0.0747513	0.0215408	0.07529	0.0982509	0.0294138	0.0422318	0.0100383	0.25448
i	0.23234	0.358052	0.0919566	0.0233615	0.0249424	0.0100967	0.0267265	0.0667435	0.01128	0.0230366	0.131464
d	0.0796417	0.0967884	0.412623	0.175138	0.0149798	0.0475553	0.018761	0.0170778	0.0783106	0.00881844	0.050305
í	0.0169235	0.0222929	0.603093	0.163203	0.0116334	0.0164766	0.0155628	0.0190479	0.0216891	0.0055753	0.104503
p	0.00469818	0.080978	0.173321	0.162944	0.0697978	0.0121329	0.0395814	0.0334864	0.0246593	0.0437855	0.354615
ó	0.00684636	0.0172154	0.216086	0.505067	0.0456254	0.0744598	0.0296165	0.00654505	0.0371027	0.0125684	0.0488672
s	0.012855	0.0334599	0.205367	0.45483	0.0498181	0.080664	0.0595453	0.0177027	0.0261599	0.0090194	0.0505782
á	0.00138175	0.000934599	0.079144	0.526439	0.169657	0.137513	0.0377403	0.00640308	0.00957228	0.00891242	0.0223029
o	0.00991302	0.237498	0.0507781	0.133836	0.276072	0.103483	0.107551	0.0668985	0.00388917	0.00366829	0.00641269
d	0.001671	0.00631609	0.064202	0.429605	0.072909	0.342038	0.0238271	0.0157984	0.0242844	0.0082973	0.0110519
z	0.000309434	0.000202983	0.0351173	0.296859	0.0623965	0.40169	0.0185948	0.0105596	0.0581226	0.0215012	0.0946463
e	0.00283459	0.00410177	0.0385363	0.0556573	0.0281434	0.779946	0.00689429	0.00313974	0.061621	0.00597669	0.0131487
e	0.000618401	0.00255392	0.0440488	0.225583	0.175789	0.284771	0.0683509	0.0132269	0.0275002	0.026028	0.13153
m	0.000979441	0.013309	0.0816878	0.122949	0.204602	0.144785	0.227603	0.0910098	0.0205513	0.00474404	0.0877796
á	0.00219451	0.00887276	0.0226187	0.0404606	0.14106	0.189247	0.369658	0.0564579	0.0949294	0.00416978	0.0703319
b	0.00353378	0.0445321	0.0167545	0.0327434	0.279906	0.0495724	0.291543	0.194505	0.0375533	0.0194382	0.0299181
h	0.00996513	0.046144	0.0141624	0.0258599	0.105248	0.0846374	0.476967	0.109633	0.0880307	0.00934273	0.0300097
á	0.00171373	0.00412333	0.00615973	0.0336588	0.0609627	0.191038	0.400809	0.0280881	0.126002	0.00858677	0.138857
k	0.00379052	0.0174465	0.0040606	0.00991167	0.112126	0.0268755	0.607648	0.142221	0.0238978	0.00215535	0.0498662
a	0.00404197	0.0015295	0.0114757	0.0837588	0.192259	0.0793166	0.287655	0.133264	0.113205	0.0409626	0.052532
á	0.000308384	0.0018024	0.00362757	0.0496569	0.0955206	0.0384079	0.231941	0.145397	0.053882	0.0222504	0.357206
i	0.00229508	0.00414245	0.00972118	0.012923	0.0349052	0.00785625	0.13873	0.272119	0.267627	0.0362267	0.213453
d	0.00202243	0.00420303	0.0295482	0.0359945	0.0141208	0.00994412	0.0194101	0.114867	0.419822	0.207491	0.142577
z	0.000217455	0.000443086	0.00605527	0.0109491	0.011196	0.0028452	0.0163798	0.116619	0.358822	0.19727	0.279203
w	0.00301273	0.00498611	0.00784139	0.0113795	0.0809734	0.045465	0.0327844	0.0568951	0.478241	0.195711	0.0827101
e	0.000863433	0.00337561	0.00733747	0.00981307	0.0350278	0.0189258	0.0386521	0.0168452	0.572754	0.177304	0.119101
e	4.29542e-05	0.000247558	0.00289426	0.00855058	0.0824207	0.00922652	0.090901	0.0896532	0.239872	0.137876	0.338315
b	0.000560336	0.00143756	0.0032168	0.00621687	0.00397106	0.00335732	0.00847619	0.0449651	0.380324	0.26093	0.286545
é	0.000813983	0.00122077	0.00678374	0.0224425	0.0186876	0.00987486	0.0470675	0.046596	0.183602	0.350714	0.312198
e	1.63732e-05	9.98146e-05	0.000664168	0.00620664	0.00449445	0.00517194	0.0146493	0.0138833	0.0608751	0.505087	0.388852
e	2.17329e-05	6.39517e-05	0.00139132	0.00532199	0.0118201	0.00449322	0.0209925	0.0165405	0.0538473	0.382393	0.503114
s	8.18746e-05	0.000415483	0.00854056	0.0102792	0.0136041	0.00482767	0.0132515	0.0230944	0.0828891	0.247382	0.595634
ú	8.79195e-05	0.00027513	0.00291086	0.00836332	0.00457875	0.00191298	0.0034985	0.0121649	0.0307118	0.762001	0.173495
s	0.00174845	0.00206302	0.00203253	0.00435112	0.0169795	0.00282243	0.0166626	0.0531287	0.0349619	0.739131	0.126118
u	0.00273167	0.0020319	0.0030668	0.00890328	0.0761858	0.00502468	0.0151694	0.0282835	0.0532945	0.763405	0.0419035
</S>	1.39729e-05	0.000166694	0.00140908	0.00146407	0.0134508	0.000867437	0.00477765	0.0170887	0.030104	0.25934	0.671318
