 	le	ciel	pâlit	l'	aube	va	bientôt	venir	</S>
i	0.6184	0.337896	0.00801426	0.0170721	0.00837489	0.00564868	0.00440227	0.000120151	7.17466e-05
k	0.2259	0.723532	0.0121149	0.00388686	0.0227497	0.00628873	0.00258896	0.00140256	0.00153673
ó	0.130734	0.688313	0.12656	0.00510472	0.0294763	0.00837714	0.0060262	0.00200666	0.00340205
o	0.21623	0.563068	0.130883	0.0236368	0.0330965	0.00990564	0.00732941	0.00540669	0.0104441
í	0.549337	0.400838	0.0247638	0.0124463	0.00161039	0.00255693	0.00297631	0.000567296	0.00490438
b	0.259461	0.372653	0.0980725	0.0693298	0.0381717	0.0161033	0.0300581	0.013163	0.102987
h	0.201988	0.213323	0.199859	0.267114	0.0154554	0.0150556	0.0164662	0.0207105	0.0500285
i	0.199863	0.151683	0.262469	0.238534	0.0453575	0.0268469	0.0334741	0.00593603	0.0358371
l	0.0428577	0.0574105	0.460949	0.291764	0.0619817	0.0211368	0.0143347	0.00571581	0.0438501
í	0.0120147	0.0261671	0.560294	0.123293	0.0306504	0.0336657	0.00465634	0.0206953	0.188563
i	0.0170094	0.0138365	0.369713	0.368067	0.0602184	0.0357891	0.00728964	0.0239425	0.104134
t	0.00922837	0.0206472	0.657189	0.140772	0.100885	0.011626	0.00608977	0.0103132	0.043249
s	0.00229733	0.0104297	0.653915	0.0575452	0.201766	0.0306383	0.00559586	0.00825351	0.029559
y	0.00261271	0.00668411	0.73032	0.0726596	0.112213	0.037591	0.0140221	0.00591445	0.0179833
έ	0.00706773	0.025633	0.569507	0.066533	0.224765	0.0415397	0.0241598	0.00352302	0.0372722
m	0.00801689	0.00820165	0.318539	0.353726	0.0797351	0.089899	0.0414989	0.00255346	0.0978299
ε	0.00539427	0.0105343	0.450727	0.199575	0.0589701	0.156237	0.0643936	0.00419801	0.0499703
b	0.00607706	0.0038043	0.027843	0.198153	0.287998	0.262688	0.141201	0.0118688	0.0603664
v	0.0065078	0.0129439	0.0167176	0.131219	0.103495	0.163367	0.540209	0.00764074	0.0179008
ú	0.0180696	0.00488814	0.0180237	0.23675	0.138272	0.27788	0.245842	0.0112817	0.0489932
s	0.00593885	0.0035115	0.0217704	0.0564441	0.6721	0.165739	0.0672441	0.0024193	0.00483318
á	0.0153526	0.0102237	0.0546334	0.179318	0.207093	0.455211	0.019903	0.02142	0.0368454
ó	0.00461497	0.00231062	0.00543427	0.0950723	0.169922	0.298502	0.289335	0.111116	0.0236928
b	0.0185175	0.0101966	0.00704152	0.0372632	0.0648332	0.100049	0.322057	0.418758	0.0212831
h	0.00585076	0.0127788	0.00496613	0.0183215	0.034539	0.0636052	0.657853	0.162508	0.0395777
i	0.00489536	0.00281939	0.00266016	0.0384845	0.0406907	0.0603301	0.728978	0.0398344	0.0813075
b	0.00236255	0.00189535	0.00141712	0.0253505	0.0835652	0.0738769	0.466904	0.0621287	0.2825
ώ	0.00247772	0.00683432	0.00228708	0.0692638	0.0330444	0.0288283	0.778453	0.0557911	0.0230208
ω	0.00553177	0.00164595	0.0048651	0.0713693	0.0218881	0.0923285	0.235386	0.214254	0.352731
t	0.0048619	0.00860444	0.00600167	0.0137099	0.0267218	0.0367327	0.175665	0.36053	0.367173
s	0.0015287	0.0119501	0.0231951	0.0175152	0.219872	0.118961	0.281415	0.152642	0.172921
á	0.00128006	0.00108345	0.0369721	0.0112969	0.154725	0.121149	0.332657	0.23736	0.103476
a	0.00938343	0.00117744	0.0037408	0.0211844	0.0560168	0.067798	0.204256	0.0300839	0.606359
</S>	0.00659935	0.00426717	0.00988914	0.0409896	0.0196741	0.0277724	0.10156	0.308852	0.480396
