 	cette	femme	a	laissé	son	panier	de	manioc	dans	la	cuisine	</S>
o	0.841016	0.0754547	0.0258297	0.00568968	0.0117874	0.0149328	0.0152521	0.00159813	0.00293186	0.00388313	0.000959975	0.000664796
y	0.0836678	0.859966	0.00930574	0.0266389	0.00768451	0.00454562	0.00113996	0.000671292	0.00201212	0.00284349	0.000341423	0.00118337
ú	0.857405	0.134459	0.00135206	0.00382621	0.00115949	0.00087931	0.000125309	0.000188341	0.00021339	0.000111272	6.49206e-05	0.000215916
r	0.912611	0.0202057	0.00153889	0.0204192	0.00719902	0.0100645	0.00412676	0.000927264	0.00778255	0.00520574	0.000454567	0.00946528
u	0.730458	0.0942053	0.0260407	0.0214214	0.0655264	0.0218229	0.0131379	0.00243594	0.00411164	0.00658081	0.00204848	0.012211
w	0.207527	0.150556	0.45734	0.0966125	0.020647	0.00854231	0.0124143	0.00485054	0.0115999	0.00901692	0.00117153	0.0197226
ó	0.163776	0.021847	0.201082	0.1138	0.14269	0.085491	0.0830773	0.0204787	0.0512091	0.042874	0.00285136	0.0708232
á	0.0138361	0.00665096	0.719501	0.131416	0.0404984	0.0323826	0.0249825	0.0041951	0.00575524	0.00388461	0.000248259	0.0166494
s	0.0012847	0.00106972	0.0678851	0.77575	0.0748254	0.0329235	0.00818981	0.0144919	0.0131667	0.00336671	0.00141006	0.00563605
u	0.00738734	0.00718387	0.0372153	0.88509	0.0443554	0.00976892	0.00197761	0.0015975	0.00159448	0.000968377	9.49081e-05	0.00276668
u	0.281208	0.00722165	0.0427642	0.292455	0.225389	0.110083	0.0154725	0.00190241	0.00725562	0.00380725	0.000159321	0.012283
s	0.00229135	0.000447142	0.111206	0.228903	0.287432	0.209857	0.113033	0.0141893	0.0113128	0.00689189	0.00315464	0.0112813
u	0.00569422	0.000175022	0.0141519	0.0933634	0.356778	0.350882	0.0986869	0.0142228	0.0231647	0.0222366	0.00089095	0.0197538
m	0.00743833	0.000326437	0.017516	0.019565	0.211661	0.327499	0.365136	0.0195045	0.0108768	0.00978106	0.0031318	0.00756408
ú	0.00671023	0.00276897	0.0143565	0.00835137	0.232546	0.384026	0.295319	0.0030243	0.0154721	0.0116279	0.000189287	0.0256087
a	0.00109972	0.000403091	0.00600799	0.00773303	0.12898	0.40102	0.323615	0.0848847	0.0247465	0.00833638	0.00252664	0.010647
m	0.0010544	3.12049e-05	0.00716078	0.0193705	0.0303227	0.0658792	0.279347	0.366906	0.151905	0.0402577	0.0254109	0.0123553
í	0.00880283	0.00017809	0.013427	0.00782069	0.0474589	0.0926409	0.117165	0.279788	0.126883	0.0837762	0.0539016	0.168157
k	0.00227656	0.000119253	0.00506724	0.0064602	0.02938	0.0467695	0.140193	0.273572	0.217562	0.089149	0.112286	0.0771656
ώ	0.000101433	3.01535e-06	0.000237052	0.000150055	0.00146248	0.00410776	0.0093443	0.507729	0.0354106	0.0125913	0.397017	0.0318464
ώ	4.29318e-05	5.11107e-07	0.000265857	0.000334607	0.00167578	0.00656147	0.0137831	0.308404	0.0411965	0.0244501	0.585787	0.017498
s	0.000947691	1.03868e-05	0.00268595	0.00396272	0.00721852	0.0145123	0.0605842	0.0451098	0.397144	0.259441	0.0485535	0.159829
á	0.00528679	3.19966e-05	0.00285019	0.0111693	0.0316071	0.0576778	0.105027	0.0620511	0.150413	0.145516	0.0297805	0.398589
k	0.0187834	0.000211002	0.00270152	0.00253923	0.00506381	0.00437078	0.0142792	0.0122635	0.0527427	0.113609	0.685936	0.0874998
ú	4.8579e-05	3.15055e-06	0.000215876	0.000136331	0.000488155	0.000532852	0.00178453	0.0274854	0.0121052	0.0171988	0.928462	0.0115393
k	0.00129194	4.50255e-05	6.68408e-05	0.000110647	0.00166088	0.0034956	0.00312084	0.022899	0.0100148	0.00964666	0.936686	0.0109618
u	0.0140517	3.16067e-05	0.000464412	0.000435301	0.00551994	0.00749068	0.0109218	0.0251424	0.0217348	0.025174	0.866974	0.0220594
</S>	0.00504458	1.44775e-05	0.000991989	0.000649086	0.00218097	0.00732522	0.028335	0.0332886	0.183898	0.106283	0.0789131	0.553076
