 	la	plaie	de	mvounga	s'	est	déjà	cicatrisée	</S>
m	0.456682	0.416007	0.0959624	0.0190447	0.00969514	0.00105738	0.00123442	0.000130856	0.000186347
v	0.147014	0.0472036	0.272246	0.360411	0.0526383	0.0103444	0.0041893	0.00320334	0.10275
u	0.344005	0.19835	0.0461005	0.399706	0.003713	0.00264982	0.00308077	0.00100435	0.00139132
n	0.111286	0.51378	0.0696722	0.270033	0.00347072	0.00197158	0.00183306	0.0022371	0.0257158
g	0.330956	0.281728	0.260707	0.10104	0.00276284	0.00161293	0.00365187	0.00130982	0.0162317
á	0.281021	0.0944102	0.291183	0.282657	0.00736774	0.00169333	0.00146576	0.00316131	0.0370415
p	0.0660774	0.0738809	0.559447	0.0822566	0.125351	0.0358392	0.0434333	0.00342501	0.0102898
ó	0.0995896	0.0428559	0.0798067	0.578205	0.104854	0.0426764	0.00885035	0.0182078	0.0249541
r	0.0408503	0.0652358	0.146496	0.441525	0.217739	0.0609232	0.00558355	0.00446787	0.0171793
á	0.0407913	0.0547735	0.0953389	0.679124	0.0837411	0.00971871	0.00174259	0.00391422	0.0308562
é	0.0268485	0.00583638	0.22062	0.0750277	0.48793	0.102873	0.0576204	0.0125062	0.0107376
m	0.00639199	0.00690246	0.0261987	0.0105076	0.129678	0.411295	0.38917	0.00916251	0.0106941
i	0.00972794	0.000550264	0.0364919	0.00468904	0.0823574	0.364803	0.387865	0.0532883	0.0602275
s	0.0031837	0.000565466	0.00261491	0.0149722	0.0192659	0.270527	0.538826	0.101673	0.0483715
á	0.00167511	0.00180527	0.0027072	0.00259103	0.00245902	0.126234	0.763329	0.0457258	0.0534735
á	0.00381491	0.00117969	0.0250103	0.00638882	0.0497549	0.399905	0.181861	0.0639384	0.268147
o	0.00495321	0.00213378	0.0165712	0.0173204	0.0530014	0.197983	0.309976	0.354213	0.0438481
w	0.00611222	0.00423441	0.00189657	0.00563694	0.00251296	0.0670577	0.19954	0.66808	0.0449294
ó	0.000380322	0.00119284	0.000938362	0.00326517	0.000863821	0.0127011	0.0286926	0.919566	0.0324001
m	0.000116106	0.00014469	0.000678457	0.00118053	0.00109258	0.0123465	0.0203817	0.795191	0.168868
a	0.00520614	0.00201308	0.0134364	0.00774804	0.0130638	0.0926486	0.121788	0.341276	0.402819
</S>	0.0124422	0.00479818	0.0306264	0.00407928	0.0255955	0.067204	0.0921636	0.0952378	0.667853
