 	les	gens	ont	envahi	ma	parcelle	</S>
b	0.309104	0.668047	0.0209471	0.000155802	0.00154983	0.000129596	6.74497e-05
a	0.0173846	0.972382	0.00867767	0.000189027	0.00115693	9.90538e-05	0.000110299
r	0.0114315	0.985297	0.00274271	0.000188725	0.000114842	1.43713e-05	0.000210616
e	0.310939	0.665399	0.00208722	0.00529655	0.00546207	0.00169628	0.00911917
á	0.185647	0.0936414	0.617929	0.0322033	0.0222523	0.00410721	0.0442193
m	0.0355767	0.00434808	0.423735	0.312224	0.12331	0.0393416	0.061464
i	0.0342581	0.014341	0.204246	0.456336	0.119672	0.0253373	0.14581
k	0.00161019	0.000878593	0.0109221	0.893432	0.0127878	0.0581996	0.02217
í	0.00208974	0.00144422	0.00572241	0.924093	0.00285246	0.0301479	0.03365
n	0.00288442	0.0094663	0.0226867	0.769501	0.00662631	0.0751462	0.113689
d	0.103069	0.0146627	0.0613569	0.623456	0.0683009	0.0522216	0.0769332
á	0.0446411	0.00524931	0.0275732	0.518323	0.0749187	0.105237	0.224057
n	0.01376	0.00324563	0.0438881	0.0641906	0.61805	0.222347	0.0345183
g	0.0172169	0.0023928	0.00307273	0.0253517	0.843989	0.0858578	0.0221194
á	0.0066583	0.00413919	0.00689952	0.0211747	0.857288	0.0622943	0.0415464
i	0.013871	0.00250321	0.0324948	0.0265157	0.236674	0.438138	0.249803
b	0.00204102	0.000807733	0.00133663	0.0272122	0.0103891	0.82711	0.131104
h	0.0583012	0.0561285	0.0171894	0.0631933	0.0980132	0.510234	0.19694
á	0.00770272	0.00321313	0.00206637	0.13869	0.040274	0.360146	0.447908
n	0.00438206	0.00110352	0.00186647	0.0299852	0.0810729	0.233167	0.648422
g	0.00641109	0.00462892	0.00311107	0.0691652	0.106682	0.386809	0.423193
a	0.00687401	0.0043597	0.00308335	0.0381316	0.267518	0.208965	0.471069
</S>	0.00480877	0.000939601	0.00585912	0.0179836	0.121908	0.182394	0.666107
