 	les	cigognes	font	des	tourelles	dans	le	ciel	</S>
a	0.864125	0.102637	0.0150773	0.00927543	0.00402903	0.00251181	0.00224921	6.54045e-05	2.9877e-05
k	0.182719	0.779526	0.0153904	0.00632788	0.00944709	0.00143183	0.00379704	0.000777915	0.00058378
w	0.0112672	0.964061	0.00746322	0.00312362	0.0101281	0.000563545	0.000522396	0.00105894	0.00181204
é	0.0348289	0.869545	0.0587955	0.0162167	0.0141054	0.00316554	0.00176529	0.000119927	0.00145761
m	0.0639858	0.804236	0.0698198	0.0136121	0.0182473	0.00694294	0.0010913	0.0028603	0.0192048
b	0.161697	0.69015	0.0578984	0.0472346	0.0093898	0.0219693	0.0037773	2.67145e-05	0.00785727
é	0.0602941	0.789293	0.0637041	0.0405524	0.0192072	0.00888431	0.00117803	0.000193278	0.0166939
b	0.0900173	0.29723	0.331778	0.114839	0.0335203	0.0138072	0.00738967	0.00078166	0.110637
ó	0.181652	0.151649	0.27495	0.194021	0.0257456	0.118697	0.0162855	0.000667001	0.0363331
b	0.292108	0.0375748	0.316856	0.207612	0.059811	0.0520055	0.017574	0.000415372	0.0160427
á	0.207129	0.137509	0.309808	0.254313	0.0284723	0.0533893	0.00565403	0.000160286	0.00356524
a	0.285011	0.0314421	0.303159	0.242445	0.0425972	0.0641783	0.0155611	0.000473702	0.0151321
n	0.00249132	0.0857839	0.103239	0.268918	0.339781	0.0741875	0.0370876	0.0408875	0.0476247
d	0.00207065	0.0104818	0.0385324	0.112431	0.769564	0.038213	0.013839	0.000506253	0.0143618
y	0.00155759	0.0127702	0.051346	0.106864	0.703695	0.0537054	0.0511028	0.00300704	0.015952
έ	0.00319212	0.00356232	0.0214711	0.147944	0.675485	0.0592592	0.0263475	0.000261791	0.0624766
n	0.0154525	0.00468302	0.0364434	0.0725071	0.523707	0.232349	0.0730636	0.00453287	0.0372622
g	0.00224006	0.00306683	0.0385478	0.17058	0.265886	0.419262	0.0383001	0.00027481	0.0618422
έ	0.0344814	0.0146807	0.0570387	0.170053	0.618624	0.073267	0.0160674	1.09937e-05	0.015777
ó	0.00244675	0.00145139	0.00581623	0.058095	0.0242887	0.782615	0.120077	0.00190672	0.00330313
i	0.0105887	0.0113773	0.0320772	0.0246483	0.00961488	0.16881	0.554457	0.166415	0.0220113
k	0.001984	0.0146959	0.0141744	0.0117026	0.012976	0.0263395	0.134758	0.756419	0.0269504
o	5.46152e-05	0.000622859	0.000581171	0.000837044	0.00511777	0.00645387	0.0269292	0.954958	0.0044457
ó	2.80824e-05	0.000220009	0.000756313	0.000421872	0.00467735	0.00650269	0.0153948	0.959548	0.0124505
</S>	0.00474071	0.00175976	0.0143241	0.0152136	0.00434515	0.0970722	0.279081	0.0792278	0.504236
