 	le	furoncle	qu'	il	avait	à	la	cuisse	est	crevé	</S>
i	0.647272	0.0987878	0.109969	0.0266503	0.0247227	0.0197486	0.0290339	0.0400027	0.00360103	4.84008e-05	0.000164473
p	0.0315554	0.958468	0.00406276	0.00100304	0.000980063	0.00123796	0.00104701	0.000424448	0.000220104	0.000277487	0.000723962
i	0.00265383	0.982663	0.00511478	0.00230355	0.00126719	0.00173244	0.0017799	0.00178051	9.17235e-05	0.000286193	0.000326547
a	0.051578	0.855286	0.0386042	0.0106708	0.00564014	0.00528047	0.00749653	0.0149035	0.000824072	0.00097142	0.00874458
l	0.416257	0.134529	0.280753	0.0418993	0.034324	0.0156959	0.0126708	0.00292272	0.0302017	0.00159221	0.0291547
í	0.116354	0.0845448	0.100281	0.064108	0.0738153	0.0555454	0.0492095	0.00828875	0.0775114	0.0110319	0.35931
í	0.397737	0.033504	0.259192	0.115103	0.0670321	0.0243646	0.0203296	0.018502	0.0310514	0.00341613	0.029768
d	0.0669687	0.0225488	0.1346	0.154817	0.186268	0.150554	0.0618948	0.0228797	0.0893136	0.0421088	0.0680475
í	0.00336949	0.0140153	0.0482684	0.14976	0.249747	0.215733	0.0608369	0.00100832	0.0396117	0.0175419	0.200108
l	0.00338066	0.0244351	0.0880607	0.12241	0.171322	0.202645	0.130237	0.0234588	0.0617372	0.0525198	0.119794
a	0.00492411	0.00966664	0.0846997	0.157398	0.180396	0.160852	0.0794717	0.0179737	0.0903683	0.0100098	0.204241
w	0.0309788	0.0248277	0.105989	0.153235	0.16763	0.162537	0.125781	0.145195	0.0314442	0.0195016	0.0328801
a	0.00873253	0.0126332	0.0966349	0.275977	0.171545	0.0967965	0.106391	0.186935	0.0206592	0.00598244	0.0177126
m	0.00465267	0.00815911	0.076077	0.117397	0.177748	0.211445	0.13248	0.118082	0.0505201	0.0193813	0.0840572
é	0.0233838	0.0039379	0.0512117	0.0584195	0.0899949	0.147078	0.218289	0.118853	0.181611	0.0173903	0.0898309
b	0.00704056	0.00838379	0.023846	0.035352	0.0568753	0.111638	0.225644	0.464209	0.0535933	0.0107252	0.00269277
ε	0.000860826	0.0038126	0.00290172	0.00697751	0.00930057	0.0260274	0.0605884	0.876053	0.00419315	0.00653557	0.00274922
l	0.000149572	0.001672	0.00254125	0.00646083	0.0127067	0.0300506	0.0729795	0.851135	0.0084526	0.0053412	0.00851095
ε	0.00255849	0.00740471	0.0160214	0.0270288	0.0501583	0.118081	0.130826	0.489885	0.0572651	0.0106936	0.090077
í	0.00814024	0.00166941	0.0191168	0.0201223	0.061606	0.106833	0.150965	0.106434	0.4633	0.0209001	0.0409131
m	0.0163117	0.00402913	0.0243996	0.0202246	0.0408954	0.0764449	0.0910252	0.0172289	0.620456	0.0749899	0.0139944
i	0.00619488	0.00224508	0.0187554	0.0183062	0.027496	0.0480017	0.0714023	0.0142409	0.265191	0.446477	0.0816889
s	0.00102193	0.00254568	0.000737486	0.00108858	0.00201492	0.00750423	0.0104529	0.0186808	0.0622562	0.80532	0.0883776
á	9.11075e-05	0.00172708	0.000793962	0.00149895	0.00374905	0.0130717	0.0108321	0.00178362	0.0288715	0.851163	0.0864179
á	0.000335858	0.000194485	0.000528551	0.000850045	0.00185396	0.00446018	0.00633483	0.00123025	0.0173778	0.64155	0.325284
o	0.00834495	0.00125891	0.0128924	0.0146724	0.0206194	0.0180328	0.0191096	0.0106743	0.270285	0.223843	0.400267
t	0.00156586	0.0130424	0.0137614	0.0103636	0.0212046	0.0457156	0.0590495	0.014441	0.253585	0.456777	0.110494
ú	0.000272486	0.0177404	0.0059526	0.0107137	0.0180772	0.0622035	0.0935256	0.0166044	0.0902309	0.34325	0.341429
b	0.000609075	0.000215434	0.00138667	0.000863124	0.00334511	0.0195824	0.028675	0.00193865	0.0178004	0.323682	0.601902
h	0.0248926	0.000734905	0.0284664	0.0190085	0.0760546	0.165338	0.273156	0.0469478	0.0572157	0.140981	0.167205
u	0.00688941	0.000623493	0.0123999	0.0142103	0.0500404	0.143878	0.27168	0.0367711	0.0403835	0.205442	0.217682
m	0.00518629	0.000733741	0.0110462	0.00592194	0.0197343	0.0324206	0.0455219	0.00618052	0.267359	0.0808103	0.525085
a	0.00971934	0.00165647	0.0381289	0.0284523	0.0420205	0.0555235	0.097271	0.0183849	0.219798	0.159945	0.3291
</S>	0.00189971	0.000617425	0.00851978	0.00812857	0.0139153	0.0147527	0.0228698	0.0081567	0.112336	0.211593	0.597211
