 	le	gluau	s'	utilise	mieux	dans	la	savane	</S>
e	0.853116	0.12189	0.0120571	0.00856619	0.00309695	0.00034653	0.000714039	0.00017338	3.93541e-05
f	0.0260925	0.960244	0.00160188	0.0112768	0.000268305	0.000144243	0.000112151	0.000187065	7.2564e-05
i	0.00834426	0.902635	0.00168157	0.0851173	0.0013787	0.000172892	0.000192999	0.000317479	0.000160067
á	0.049426	0.863836	0.0263059	0.0520316	0.00445607	0.000834732	0.000601432	0.000515581	0.00199292
b	0.058366	0.121501	0.698418	0.04348	0.0185511	0.0170728	0.00669902	0.00125306	0.0346589
á	0.0728979	0.0481726	0.176657	0.183808	0.415579	0.0409356	0.0359159	0.0065602	0.019474
a	0.0893145	0.0600802	0.304928	0.285782	0.201052	0.0265809	0.0105899	0.00430766	0.0173646
k	0.00756068	0.0281231	0.33517	0.313795	0.203453	0.0719146	0.0148653	0.00284944	0.0222678
a	0.000567293	0.0086261	0.0126422	0.919368	0.0456494	0.00815688	0.00195682	0.000337506	0.00269608
n	0.00177562	0.0332355	0.0339829	0.785777	0.0955855	0.0335574	0.00575987	0.00124677	0.0090797
á	0.0138906	0.00933153	0.139014	0.54086	0.184083	0.0845591	0.0100548	0.00125097	0.0169561
o	0.00886797	0.00194061	0.169219	0.0128336	0.215059	0.466359	0.103462	0.00605928	0.0162005
b	0.00204784	0.00362654	0.014133	0.0262211	0.138414	0.483786	0.236589	0.0811927	0.0139905
v	0.0024215	0.00655536	0.06295	0.180472	0.371348	0.151778	0.16586	0.0311913	0.0274237
έ	0.00103371	0.00280484	0.0285356	0.0927769	0.597461	0.146505	0.111181	0.0130813	0.00662079
s	0.000824119	0.000263621	0.0259943	0.00181615	0.0873001	0.382716	0.195535	0.0100794	0.295471
ó	0.000470104	0.00158044	0.00474747	0.00604735	0.0694211	0.486181	0.148241	0.03591	0.247401
l	0.00464337	0.000292362	0.00840602	0.00170568	0.0171085	0.0722125	0.106677	0.718056	0.0708983
ω	0.00056569	0.000490016	0.00455316	0.0010963	0.0149863	0.0475919	0.0762526	0.818662	0.0358025
n	0.000643045	8.88491e-05	0.00354201	0.000354164	0.0189384	0.0331124	0.0433722	0.824066	0.0758834
g	0.00072394	0.000412199	0.00202141	0.00325504	0.0224851	0.0686831	0.160939	0.579852	0.161628
ώ	0.00300634	9.58734e-05	0.0021982	0.000910353	0.0103374	0.0232984	0.0310923	0.743089	0.185972
</S>	0.000687593	9.16405e-05	0.00332394	0.00127711	0.0197694	0.0381792	0.0979391	0.134938	0.703794
