 	dieu	a	créé	ce	monde	</S>
n	0.691435	0.216752	0.0359657	0.0394119	0.013257	0.00317817
z	0.987122	0.0065748	0.00231598	0.00317865	0.000479943	0.000328764
a	0.969293	0.0116932	0.014622	0.00157537	0.00172797	0.00108874
m	0.576086	0.0860283	0.229363	0.0247984	0.040308	0.0434161
b	0.344032	0.489803	0.0310267	0.0432834	0.00354475	0.088311
é	0.42479	0.181009	0.100379	0.0533031	0.0185244	0.221994
á	0.0390703	0.398362	0.337039	0.110138	0.0128873	0.102503
y	0.00452805	0.202446	0.704191	0.0292904	0.0264193	0.0331261
ε	0.00245377	0.0976462	0.769491	0.0401127	0.0354936	0.0548024
s	0.0041921	0.0615439	0.785831	0.0828383	0.0125144	0.0530806
έ	0.0121812	0.0612251	0.716458	0.174377	0.0195348	0.0162241
o	0.0295439	0.0680899	0.161823	0.432394	0.159405	0.148744
k	0.000940512	0.00618716	0.0813612	0.0732015	0.807627	0.0306827
i	0.000222334	0.00587148	0.0942616	0.01429	0.823287	0.0620681
l	0.000776117	0.0175172	0.151092	0.0420621	0.586691	0.201862
i	0.00257274	0.0119056	0.0897704	0.0940447	0.513526	0.28818
m	0.00299778	0.0174334	0.126529	0.464181	0.0947664	0.294092
ú	0.0100965	0.035677	0.00752264	0.642506	0.0354913	0.268707
</S>	0.00186259	0.00545911	0.00831059	0.219429	0.166191	0.598748
