 	le	vent	s'	apaise	</S>
ω	0.964893	0.0247003	0.0101554	0.00012771	0.000124159
p	0.0178539	0.969013	0.00775878	0.00483953	0.000534622
ε	0.000647204	0.989421	0.000144335	0.00963307	0.000154239
p	0.0155955	0.973978	0.0030333	0.00376217	0.00363107
ε	0.159525	0.80481	0.0146772	0.00761007	0.0133785
m	0.210132	0.0392672	0.666585	0.0228757	0.0611394
ώ	0.583272	0.0360091	0.128092	0.0386138	0.214013
ω	0.564023	0.00894086	0.237447	0.0683368	0.121253
k	0.00966866	0.0113578	0.214725	0.544981	0.219267
ω	0.00589848	0.0452922	0.0417483	0.575401	0.33166
ω	0.0258268	0.128001	0.0737276	0.656411	0.116034
s	0.036457	0.00108102	0.652176	0.0386731	0.271613
ω	0.0219531	0.0322011	0.200568	0.200856	0.544421
</S>	0.0224887	0.00106682	0.186186	0.0944889	0.69577
