 	cet	oiseau	picore	les	dattes	</S>
n	0.558884	0.383816	0.0319342	0.025145	0.000157326	6.35826e-05
y	0.0860914	0.912851	0.000786746	0.000229032	1.718e-05	2.44813e-05
ω	0.0214503	0.975591	0.00173263	0.000144017	0.000810256	0.000272018
s	0.00242606	0.93669	0.057596	0.000309874	0.000121193	0.00285722
í	0.734794	0.0816901	0.0227221	0.0201161	0.0080759	0.132602
w	0.545192	0.00983901	0.235734	0.180595	0.00625123	0.0223885
ó	0.307422	0.0222499	0.44398	0.0769189	0.0183649	0.131064
b	0.281817	0.00455046	0.387432	0.167666	0.0452868	0.113247
ó	0.135207	0.00964271	0.698726	0.111137	0.00153381	0.0437534
l	0.278087	0.00425045	0.559061	0.149199	0.00238339	0.00701839
á	0.164241	0.00501582	0.184769	0.352166	0.0606734	0.233135
a	0.261446	0.00358503	0.0794633	0.583597	0.0317706	0.0401385
d	0.00467871	0.00118499	0.00953377	0.325885	0.621701	0.0370161
z	0.000321297	0.000107385	0.00313536	0.124325	0.736868	0.135243
á	0.00723794	0.000217036	0.000730946	0.33129	0.55673	0.103794
p	0.0103298	1.35509e-05	0.000923705	0.10023	0.725404	0.163099
a	0.000566768	0.00016231	0.0016919	0.0307611	0.717636	0.249182
n	0.000418771	7.95954e-05	0.00517925	0.116638	0.66287	0.214814
d	0.004215	0.000491237	0.00639584	0.150313	0.261585	0.576999
í	0.00177864	0.000702412	0.00304172	0.03146	0.0976943	0.865323
</S>	0.00171206	2.7144e-05	0.00145369	0.215694	0.14188	0.639234
