 	je	t'	ai	laissé	un	petit	paquet	de	poissons	dans	la	marmite	</S>
n	0.84291	0.115953	0.00743136	0.00374835	0.00722588	0.00675945	0.00681824	0.00327767	0.000625031	0.0012516	0.00131793	0.00238022	0.000301422
g	0.725903	0.136324	0.0072467	0.00403057	0.00334942	0.00424827	0.000737835	0.000653674	0.000252099	0.000418145	0.000863221	0.115917	5.66148e-05
á	0.654953	0.112877	0.142545	0.0368281	0.0185276	0.0171053	0.00118516	0.00119593	0.000609045	0.000945341	0.00186394	0.0113251	3.97991e-05
í	0.0126547	0.133825	0.302414	0.138844	0.0735343	0.0390299	0.0134153	0.0171005	0.00995783	0.0262647	0.0386632	0.000604651	0.193693
y	0.00247555	0.0403616	0.587604	0.283797	0.0334049	0.0151335	0.00938506	0.00453321	0.00615015	0.00817561	0.00311119	2.30663e-05	0.00584548
í	0.00202848	0.0262118	0.461702	0.446811	0.0256254	0.0092256	0.00530102	0.00259691	0.00741759	0.00607233	0.00167301	0.000484985	0.0048494
i	0.00806949	0.0426657	0.118111	0.693653	0.0828532	0.0169575	0.00971482	0.0063896	0.00496979	0.00814149	0.00406352	0.000270199	0.00414047
n	0.00151029	0.0818053	0.0884931	0.18603	0.332089	0.14296	0.0551715	0.0302345	0.0261308	0.0175582	0.0136185	0.00185813	0.0225402
ω	0.015823	0.17467	0.0899801	0.208385	0.149042	0.155168	0.010214	0.0183339	0.0306416	0.0143473	0.0297823	0.0645209	0.0390916
k	0.000173945	0.0101364	0.01679	0.105649	0.503521	0.184342	0.0590119	0.0474109	0.00672205	0.0109284	0.0134559	0.00317492	0.0386824
á	0.000593841	0.00172533	0.00165184	0.058325	0.338562	0.190048	0.268254	0.0462925	0.00470256	0.00225096	0.00139444	0.0162385	0.0699608
r	0.00151351	0.00752701	0.00536738	0.0483513	0.0744154	0.114585	0.436172	0.0458222	0.0486962	0.0146675	0.00382876	0.00648046	0.192573
a	0.000248635	0.0112007	0.0344793	0.350523	0.2325	0.165379	0.0802931	0.0280712	0.00852485	0.0246168	0.0087267	0.0039178	0.0515188
a	7.90875e-05	0.0216205	0.0399729	0.0776189	0.142677	0.212993	0.250864	0.149331	0.0415297	0.0304789	0.0131675	0.000847621	0.0188194
y	0.000119815	0.00256049	0.011483	0.0667004	0.076597	0.151517	0.345658	0.184634	0.0456953	0.0484063	0.0217045	0.00276837	0.0421562
á	0.000131064	0.008237	0.0143096	0.122172	0.103824	0.128828	0.100231	0.168317	0.157199	0.0812806	0.0642414	0.0132292	0.0379999
s	0.000124376	0.00624301	0.00381457	0.0368599	0.0461732	0.109232	0.169458	0.254676	0.162885	0.0455232	0.0345753	0.0347621	0.0956728
w	0.000230096	0.00182028	0.00316936	0.0207855	0.0227145	0.124304	0.129774	0.266075	0.268381	0.0514602	0.0407154	0.0342909	0.036279
é	0.000201166	0.00162273	0.00200186	0.028353	0.0419938	0.146455	0.120381	0.219742	0.134976	0.0494971	0.0813286	0.0644429	0.109004
s	2.61502e-05	0.00364156	0.00207922	0.00740909	0.0211877	0.0558888	0.163009	0.243526	0.254617	0.111755	0.0746149	0.00854389	0.0537019
á	0.000278964	0.00224166	0.000999757	0.00630215	0.00946963	0.0460137	0.0597619	0.157358	0.178389	0.0764578	0.102128	0.122689	0.237909
n	0.00129576	0.0066949	0.00125379	0.00181381	0.00293864	0.0103609	0.0125563	0.13941	0.176676	0.0939307	0.200415	0.310662	0.0419914
d	0.002401	0.00538843	0.00191156	0.00227044	0.00116252	0.0130812	0.0048703	0.0314089	0.0411814	0.0692069	0.203457	0.547528	0.0761324
z	0.000101008	0.00050148	0.000233678	0.000206563	0.000267457	0.00159481	0.000331355	0.0044446	0.00643459	0.0153637	0.0692596	0.86255	0.0387109
ú	1.60635e-06	5.50709e-06	9.37777e-06	2.45534e-05	0.000196921	0.00106515	7.12285e-05	0.002939	0.00289734	0.00560392	0.0352866	0.93596	0.0159389
n	0.000135561	0.00034973	0.000320092	0.00108376	0.00318062	0.0105479	0.00102913	0.0071967	0.0102858	0.0137896	0.0240066	0.834779	0.0932954
g	6.60023e-06	6.45951e-05	0.000157708	0.000637291	0.00553516	0.0124982	0.00739553	0.0556506	0.0443343	0.18837	0.176978	0.137456	0.370916
u	9.89523e-05	0.000671773	0.000926215	0.00384654	0.0100677	0.026072	0.0239398	0.0509917	0.0407862	0.14258	0.225723	0.312351	0.161945
</S>	1.11492e-05	0.000155122	0.000160463	0.000578514	0.000988201	0.00185066	0.00448901	0.0231881	0.0155163	0.161528	0.19924	0.0239807	0.568314
