 	de	petits	enfants	acclamaient	le	grand	vol	de	termites	dans	la	cour	</S>
b	0.203866	0.622467	0.168726	0.00175351	0.00115559	0.000826752	9.0588e-05	0.000804769	6.5772e-05	0.000123493	6.79628e-05	4.34211e-05	8.46528e-06
á	0.0229626	0.796563	0.178569	0.000135343	0.00022095	0.00037523	1.15423e-05	0.000788098	0.000129693	9.63774e-05	0.000127738	1.17085e-05	9.30152e-06
n	0.0031864	0.764683	0.228523	0.00169544	0.000885584	0.000573074	0.000133904	0.000177483	7.5452e-05	1.49458e-05	2.002e-05	8.91496e-06	2.29668e-05
a	0.0937258	0.539426	0.352597	0.00150447	0.00269618	0.00186153	0.000449027	0.00153538	0.000812635	0.000277742	0.00018074	8.08528e-05	0.00485251
b	0.457593	0.243642	0.224819	0.0112039	0.0178463	0.0103662	0.00890957	0.00615498	0.000708704	0.00672779	0.00359548	0.000408947	0.0080243
á	0.126976	0.155833	0.422653	0.00640563	0.033335	0.0307447	0.00814138	0.0517677	0.00787928	0.0469274	0.0408738	0.00169799	0.0667655
n	0.0517544	0.29541	0.575412	0.0336795	0.00916675	0.00761936	0.00418254	0.00560708	0.00373311	0.00446108	0.00302572	0.000806617	0.00514238
d	0.336032	0.159222	0.339962	0.00347055	0.0200106	0.0219756	0.00769909	0.0165283	0.0569039	0.00698933	0.00485955	0.00402886	0.0223184
z	0.137548	0.096917	0.39009	0.0224143	0.0142841	0.0123653	0.00761674	0.0109488	0.230784	0.00502221	0.00296148	0.0453517	0.0236957
é	0.160374	0.0202061	0.0855472	0.0297449	0.0109678	0.00972717	0.0102874	0.0294073	0.393136	0.0118792	0.00722059	0.174399	0.0571034
s	0.669526	0.0814242	0.0753564	0.0187053	0.012948	0.00641674	0.00547	0.0248876	0.0273057	0.0153309	0.00567433	0.010116	0.0468388
i	0.397549	0.0436221	0.159793	0.102005	0.0203241	0.0128772	0.0133546	0.0315195	0.0615512	0.0271302	0.0115938	0.0256444	0.0930367
á	0.144016	0.0663931	0.303874	0.299508	0.0836956	0.0215505	0.0282626	0.0130443	0.0011818	0.0189789	0.0103794	0.0009962	0.00811965
d	0.0139679	0.00432964	0.0108561	0.499012	0.189316	0.0397717	0.182621	0.00651408	0.00158961	0.0139266	0.0155266	0.00133199	0.0212371
z	0.00386008	0.000499602	0.00178486	0.267197	0.308593	0.0456146	0.220596	0.0125877	0.00233638	0.0189828	0.0173149	0.00403045	0.0966021
e	0.0327413	0.00136019	0.00272317	0.619059	0.203856	0.0303224	0.0672097	0.00849438	0.00972234	0.00565237	0.00391318	0.00520165	0.00974457
b	0.0230261	0.0147459	0.0224958	0.213538	0.362225	0.11842	0.0862356	0.0403218	0.00801758	0.0511201	0.0259962	0.00427362	0.0295838
á	0.0463463	0.156295	0.187395	0.0834674	0.193507	0.0922959	0.0507315	0.035164	0.0805681	0.0292282	0.0101973	0.00591525	0.0288895
a	0.0442045	0.0911028	0.102017	0.0850191	0.173317	0.063594	0.018865	0.1214	0.145297	0.0454658	0.0240108	0.0147261	0.0709803
y	0.00112057	0.00107882	0.00102455	0.100254	0.462658	0.13953	0.254817	0.00873363	0.00410563	0.00554664	0.00633315	0.00159423	0.0132054
έ	0.000651708	7.71128e-05	7.70488e-05	0.044446	0.204042	0.0362575	0.695275	0.00145946	0.00191695	0.00480418	0.00233458	0.0014938	0.00716463
l	0.00229989	0.000381061	0.000479855	0.042536	0.220229	0.110727	0.30255	0.0316308	0.00849282	0.0500465	0.0424986	0.00969496	0.178433
έ	0.00871385	0.00494847	0.0139128	0.028236	0.232259	0.195083	0.0958452	0.149311	0.0973345	0.080675	0.0382459	0.0123596	0.0430756
e	0.00233753	0.0018227	0.00180692	0.00878197	0.161444	0.245469	0.13258	0.231181	0.0420055	0.0716092	0.0359274	0.00976362	0.0552709
p	0.0060023	0.00221137	0.00175991	0.0052673	0.0716009	0.293307	0.155018	0.148336	0.144736	0.0733583	0.0481712	0.0255309	0.0247012
a	0.00692044	0.00211158	0.00164095	0.0588393	0.140427	0.214205	0.217567	0.0324016	0.134038	0.0819533	0.0400533	0.0198385	0.0500037
n	0.000469793	0.000232976	0.000386144	0.0363253	0.182179	0.199437	0.32553	0.0409662	0.0522832	0.0816451	0.0241042	0.00323459	0.0532071
d	0.0044937	0.000612262	0.000950944	0.00671836	0.0664227	0.171332	0.119315	0.161472	0.225578	0.0929312	0.0269511	0.00862723	0.114595
