 	elle	cultive	les	aubergine	dans	son	jardin	de	case	</S>
w	0.775876	0.105363	0.0570026	0.0218766	0.0248268	0.0113276	0.00188043	0.00176237	2.60312e-05	5.8825e-05
a	0.739145	0.0792	0.119787	0.0175974	0.0242934	0.017964	0.000714385	0.00110747	0.000166074	2.52122e-05
l	0.439636	0.331802	0.158301	0.0166896	0.0199001	0.0158253	0.00374996	0.00537133	0.0012747	0.00745076
á	0.116045	0.123581	0.188952	0.05058	0.0729656	0.0785161	0.0133201	0.023357	0.0154909	0.317192
a	0.156724	0.12013	0.357255	0.110736	0.032099	0.0552181	0.0273872	0.0147296	0.0590543	0.0666669
s	0.0173073	0.714412	0.174405	0.0662076	0.00508266	0.00634553	0.00216081	0.000494076	0.000777454	0.0128075
i	0.00443472	0.963794	0.0266012	0.00322904	0.000426418	0.000341464	0.000147822	3.33137e-05	6.56863e-05	0.000926505
á	0.0443812	0.725519	0.155475	0.064831	0.00432988	0.00220834	0.000714265	4.43391e-05	3.69109e-05	0.00245927
t	0.0203011	0.0615826	0.444898	0.257803	0.171576	0.0290716	0.00271803	0.00380178	0.00146712	0.00678176
s	0.0194208	0.015957	0.146288	0.651633	0.0984867	0.0346573	0.00935387	0.0045125	0.00475064	0.0149394
a	0.00125168	0.0311299	0.16022	0.629802	0.154659	0.0170022	0.00133466	0.00131345	0.00132867	0.00195822
n	0.00374036	0.0128451	0.0798956	0.721904	0.151938	0.015566	0.00107271	0.00306477	0.000649746	0.00932311
g	0.0101966	0.0298018	0.0925229	0.683665	0.0840447	0.0296715	0.0115529	0.00451666	0.00469106	0.0493367
í	0.0156607	0.0122891	0.070181	0.632252	0.123285	0.0266792	0.037844	0.013122	0.0148199	0.0538679
s	0.0109826	0.00997048	0.0842006	0.126429	0.518912	0.182472	0.00730167	0.00986276	0.000489829	0.049378
á	0.00336549	0.0206549	0.0263548	0.0296226	0.374927	0.326081	0.0593415	0.0772063	0.0199211	0.0625247
k	0.00754825	0.00535294	0.0292788	0.0258475	0.358852	0.418963	0.0718373	0.0239551	0.0454865	0.0128782
ú	0.00316976	0.00598755	0.0188293	0.138698	0.247338	0.401667	0.163381	0.0066189	0.00654128	0.00776872
b	0.000415872	0.00334979	0.0175213	0.182727	0.21314	0.280401	0.276788	0.00430974	0.000417229	0.0209296
h	0.0331563	0.0232134	0.0343587	0.45579	0.155822	0.194825	0.0438193	0.0187126	0.0008712	0.039432
á	0.00695251	0.00280676	0.0243763	0.265232	0.277357	0.220828	0.106021	0.0667227	0.00296248	0.0267416
y	0.00255784	0.00495636	0.0198247	0.00763905	0.145127	0.32722	0.0833355	0.298299	0.0147229	0.096318
á	0.00465502	0.00544633	0.024827	0.0215953	0.0862009	0.204265	0.26163	0.288877	0.0698335	0.0326698
w	0.00397998	0.00213407	0.0188823	0.00612434	0.0615006	0.165721	0.0982349	0.287137	0.347846	0.00843956
a	0.00332993	0.00583203	0.0223642	0.024541	0.0586799	0.197175	0.0972332	0.321193	0.216582	0.0530702
y	0.000308321	0.000162322	0.00352894	0.00472584	0.0360774	0.103043	0.152075	0.520119	0.0738964	0.106064
á	0.000914791	0.00563868	0.028155	0.0407864	0.0978541	0.282652	0.160278	0.24974	0.0661741	0.0678077
n	0.00095483	0.00130224	0.0122398	0.00446788	0.0222822	0.0397136	0.0285005	0.165232	0.677341	0.047966
g	0.000216274	0.000179748	0.00122686	0.00130551	0.00303699	0.00388024	0.495978	0.0954205	0.392704	0.00605175
ω	3.56384e-05	1.64091e-05	7.70477e-05	0.000186007	0.000738206	0.00157406	0.695791	0.0703792	0.2215	0.00970201
n	1.88001e-06	1.44284e-05	7.4011e-05	0.000242286	0.00206938	0.00300126	0.830297	0.0775974	0.060084	0.0266187
g	0.000119587	0.000249541	0.00104558	0.00528903	0.00366119	0.0123106	0.676362	0.136265	0.0558006	0.108898
ω	0.000129143	1.63427e-05	0.000108032	0.00122028	0.00239421	0.00404818	0.655773	0.209227	0.099933	0.0271507
y	0.00038699	0.000487712	0.00627133	0.0130335	0.0197622	0.0392046	0.0884941	0.319587	0.0583935	0.454379
á	0.0110357	0.00655167	0.064717	0.0966241	0.107272	0.119211	0.148897	0.268664	0.067219	0.109808
n	0.00558167	0.00649265	0.0532596	0.0123551	0.119292	0.110002	0.0122672	0.106305	0.495493	0.0789527
d	0.000560512	0.000639673	0.00522804	0.00205058	0.0128816	0.013912	0.120783	0.102453	0.701411	0.0400806
é	0.000246009	4.78381e-05	0.000472208	0.00094658	0.00166649	0.00220079	0.125826	0.0284238	0.788676	0.0514935
e	9.03142e-06	7.68813e-05	0.000470343	0.00203481	0.00328133	0.0070729	0.415855	0.157272	0.129392	0.284536
</S>	0.00141045	0.00279489	0.0167061	0.0168555	0.0304352	0.0428035	0.0482427	0.20756	0.0276623	0.605529
