 	le	juge	traditionnel	est	noblement	assis	</S>
m	0.155282	0.801984	0.0419134	0.000606713	0.000183425	9.9786e-06	2.06908e-05
w	0.00376593	0.0453011	0.922727	0.0168936	0.00118866	0.000119756	0.0100043
ε	0.0118146	0.269786	0.717906	9.26973e-05	2.96539e-05	0.000353758	1.73674e-05
n	0.116697	0.310267	0.472413	0.0482349	0.0174938	0.00129348	0.0336005
έ	0.313369	0.194429	0.201692	0.0988008	0.120478	0.0101653	0.0610656
a	0.0763912	0.0112865	0.0339004	0.758527	0.0324896	0.00209059	0.0853145
d	0.0542343	0.0118724	0.0178349	0.808586	0.0608369	0.00402686	0.042609
í	0.0358791	0.00314749	0.00813063	0.210193	0.120533	0.0630551	0.559061
d	0.0897593	0.00358009	0.00646916	0.224254	0.120741	0.137246	0.417951
z	0.0466634	0.00212133	0.00884343	0.0658971	0.0765719	0.651819	0.148084
a	0.0039834	0.000634851	0.00253292	0.00214152	0.023409	0.961482	0.00581655
a	0.00322575	0.000878015	0.00392086	0.00751466	0.211117	0.733622	0.0397209
t	0.0110894	0.000553836	0.000481649	0.0819364	0.383	0.186667	0.336271
ú	0.008043	0.00287515	0.00322105	0.0121985	0.545709	0.0521378	0.375816
g	0.00043092	0.000230647	0.000237157	0.00379012	0.629705	0.157854	0.207752
h	0.020538	0.00490308	0.0010093	0.0137983	0.65598	0.0556721	0.248099
ú	0.0296665	0.00422265	0.00213146	0.0115751	0.41261	0.31743	0.222365
g	0.00256072	0.000219156	9.50305e-05	0.0115453	0.246136	0.0307477	0.708696
h	0.143934	0.0166916	0.00258907	0.0139422	0.221946	0.150005	0.450892
ú	0.0242588	0.00335337	0.000553215	0.00548243	0.338645	0.276406	0.351301
</S>	0.00183378	0.000217146	4.32051e-05	0.00286831	0.164644	0.0367914	0.793603
