 	mon	enfant	est	en	europe	</S>
m	0.634009	0.353591	0.00491116	0.00303838	0.0040213	0.00042892
w	0.00311996	0.947335	0.0391856	0.00953129	0.000104777	0.000723568
á	0.000110847	0.999839	3.29585e-05	4.09878e-06	1.1667e-05	1.02032e-06
n	0.290757	0.705263	0.00217442	0.000306104	0.00012922	0.00137042
a	0.406886	0.391539	0.0716143	0.0118979	0.0014973	0.116566
y	0.559337	0.0397982	0.25662	0.103997	0.0109189	0.0293293
a	0.360321	0.133554	0.285463	0.0677996	0.0229931	0.12987
n	0.920895	0.041366	0.018432	0.00355666	0.00346781	0.0122828
g	0.962771	0.0293597	0.00360658	0.0011511	0.00010162	0.00300972
á	0.288094	0.270159	0.214941	0.0374987	0.00217791	0.18713
a	0.0165991	0.0062005	0.62235	0.323642	0.00925466	0.0219534
d	0.00219564	0.000417458	0.441397	0.449008	0.0799274	0.0270547
i	0.020308	0.0139499	0.454807	0.179091	0.00530461	0.32654
ó	0.00250323	0.00162526	0.131071	0.651692	0.0798903	0.133218
p	0.0116935	0.00155712	0.0689589	0.39253	0.453144	0.0721168
ó	1.37636e-05	3.78375e-05	0.00471393	0.00953386	0.976966	0.00873439
r	1.25416e-05	9.96494e-06	0.00999137	0.0277021	0.954662	0.00762213
ó	0.00158855	0.000804066	0.108712	0.0938867	0.576928	0.21808
</S>	0.0193813	0.000818287	0.0929334	0.237575	0.118507	0.530785
