 	la	manière	dont	il	s'	est	calmé	montre	qu'	il	s'	est	reconnait	son	tort	</S>
e	0.223189	0.294878	0.0537592	0.0302922	0.0256578	0.0425226	0.0671195	0.0163355	0.0174609	0.0162827	0.0530438	0.041419	0.0518961	0.014794	0.0137707	0.0375798
k	0.0077172	0.00128156	0.0191364	0.032445	0.094465	0.578071	0.0970292	0.00195725	0.0224638	0.0123216	0.030545	0.0584126	0.0239745	0.0104695	0.00914665	0.000563996
w	0.00555209	0.00191915	0.00313772	0.0144062	0.0207494	0.0588804	0.667686	0.00356614	0.0279679	0.020085	0.0155527	0.0269646	0.101652	0.00960422	0.0173037	0.00497276
ω	0.000328291	0.00450622	0.0157548	0.0798784	0.0326113	0.148362	0.345573	0.0280046	0.076427	0.0480003	0.0491495	0.0506945	0.0966627	0.0201702	0.00179766	0.00207998
ω	0.0233348	0.0211361	0.0396668	0.0742898	0.0263226	0.235579	0.423602	0.0270979	0.0256019	0.0159131	0.0226897	0.017914	0.0270875	0.00703098	0.00436557	0.00836785
l	0.0219389	0.00949733	0.108636	0.0766124	0.0551527	0.0643941	0.0944917	0.0344617	0.0544708	0.055186	0.0412312	0.0366008	0.069492	0.0256623	0.00594704	0.246225
í	0.0038973	0.00536035	0.0191255	0.0220762	0.0287373	0.0482588	0.0600593	0.0347764	0.0479218	0.0543118	0.0580753	0.0481048	0.0539306	0.0511119	0.00976255	0.45449
y	0.136762	0.109221	0.143943	0.144919	0.0938456	0.141571	0.00675274	0.0620279	0.0326708	0.0230389	0.0200354	0.0179554	0.0092683	0.019768	0.00849179	0.0297293
é	0.178702	0.0548791	0.282576	0.0710909	0.0352232	0.0330051	0.0106849	0.0304341	0.0377263	0.0284534	0.0182901	0.025474	0.0257196	0.026311	0.0172368	0.124194
é	0.0296431	0.0432806	0.256384	0.169214	0.117723	0.0887252	0.017529	0.0424707	0.0296034	0.027037	0.0261965	0.0235834	0.0163847	0.0279269	0.0170392	0.0672606
k	0.00419062	0.00135535	0.018985	0.0502679	0.0666078	0.283379	0.405722	0.016916	0.0213576	0.0130268	0.0220962	0.0240988	0.0316484	0.00967725	0.00578064	0.0248911
w	0.000455317	0.000107925	0.00144106	0.0133217	0.0107773	0.114089	0.716846	0.0273074	0.0351951	0.0208948	0.0148848	0.0172035	0.0175709	0.00309283	0.00037168	0.00644138
ω	0.000539316	0.00126407	0.00446936	0.0317167	0.0178142	0.0298336	0.351094	0.0741255	0.121208	0.114511	0.0479081	0.0399535	0.0744653	0.012921	0.00208553	0.0760901
í	0.000723474	0.00437372	0.0712144	0.200246	0.0970801	0.081063	0.194133	0.114128	0.0688866	0.052161	0.0355998	0.0157338	0.0178779	0.00850256	0.00192658	0.03635
w	0.000646305	0.00341381	0.0216767	0.112216	0.176991	0.169788	0.0728481	0.143843	0.0966672	0.0533741	0.0309544	0.0277357	0.0240365	0.0239408	0.000916614	0.0409521
a	0.00390043	0.00915583	0.0472798	0.143587	0.0672263	0.0513245	0.0698072	0.0954867	0.0977252	0.0646647	0.0380259	0.0452427	0.109006	0.0504528	0.0132399	0.0938755
y	0.00303509	0.00567537	0.0300189	0.13082	0.195918	0.0315544	0.0117087	0.175609	0.126859	0.099982	0.0470518	0.0213198	0.0338478	0.0223736	0.00193224	0.062295
é	0.0730784	0.0160217	0.0829725	0.0665008	0.131644	0.0608425	0.00685584	0.145145	0.189244	0.0928133	0.0326318	0.040317	0.0202328	0.0116447	0.0223991	0.00765601
e	0.0140815	0.00552311	0.0230827	0.0572182	0.130716	0.0345973	0.000930908	0.215058	0.190581	0.13408	0.0811609	0.0522033	0.0273686	0.0156712	0.00649518	0.0112322
s	0.00221542	0.000824249	0.00663553	0.0157426	0.0579062	0.0554332	0.0342746	0.0669985	0.147238	0.112333	0.195026	0.11837	0.125955	0.0126289	0.00623149	0.0421859
ε	0.00130844	0.00261564	0.00963584	0.00636473	0.0655036	0.0406463	0.00221933	0.0821663	0.160341	0.113633	0.187798	0.167375	0.0673135	0.0196603	0.0199488	0.0534702
r	0.000498746	0.000288397	0.00471064	0.00651597	0.0305007	0.0208595	0.00207782	0.117613	0.188537	0.128464	0.156003	0.161777	0.0440519	0.0361276	0.00541469	0.0965592
έ	0.00224973	0.000425282	0.00833025	0.0120436	0.0300173	0.027876	0.0212727	0.157341	0.269217	0.164407	0.119946	0.104654	0.0272157	0.0186396	0.0169832	0.019382
w	0.0011845	0.0010899	0.00691272	0.0287393	0.103803	0.0205946	0.000384297	0.165141	0.169077	0.147375	0.160535	0.121082	0.0356966	0.0333429	0.00122056	0.00382122
á	0.00517277	0.00577861	0.0210562	0.0376514	0.0624629	0.0266372	0.00667127	0.12516	0.182865	0.14036	0.0647275	0.0778416	0.164051	0.0451504	0.0109055	0.0235084
r	0.00295598	0.00383139	0.00720239	0.0261688	0.0214097	0.00331801	0.00216257	0.0655437	0.112113	0.154173	0.124525	0.165773	0.184632	0.0663943	0.0187915	0.0410053
e	0.0173522	0.00233049	0.0233382	0.00751811	0.0149733	0.00110685	0.00101719	0.074003	0.0640527	0.065852	0.126572	0.0586363	0.11431	0.042899	0.317609	0.0684303
w	0.000456674	0.000445149	0.00345696	0.00740122	0.0216634	0.00348179	0.000119197	0.0847084	0.0956812	0.121457	0.187091	0.250272	0.113222	0.0858265	0.0156998	0.00901801
a	0.00898196	0.00662727	0.0224128	0.0333697	0.0465809	0.0406713	0.0107557	0.102883	0.119117	0.147111	0.0889899	0.0866873	0.186626	0.0572042	0.0143358	0.027647
l	0.000281627	0.000974167	0.00167735	0.00232509	0.00346819	0.00224738	0.000300849	0.0376207	0.0462094	0.0605259	0.0879703	0.196261	0.336287	0.170678	0.0238835	0.0292893
á	0.00162473	0.00157	0.00647915	0.00803613	0.0113227	0.00495939	0.00287287	0.0192364	0.0258193	0.0277333	0.0815943	0.0790972	0.320811	0.107142	0.0429947	0.258707
a	0.000583902	0.00165926	0.00445767	0.00646798	0.00577277	0.0035884	0.000675137	0.0136913	0.0281947	0.0325151	0.062442	0.179967	0.135603	0.336811	0.123968	0.0636026
