 	j'	ai	un	abcès	</S>
n	0.901113	0.0530548	0.0276983	0.0174109	0.000722857
g	0.960195	0.0384471	0.00120223	6.11915e-05	9.45943e-05
á	0.847745	0.138741	0.0123416	0.000792915	0.000379432
i	0.0783054	0.315592	0.388361	0.0915483	0.126193
d	0.00376648	0.123387	0.566943	0.0684006	0.237503
í	0.0420882	0.460255	0.327035	0.0481531	0.122469
l	0.0656836	0.0766599	0.412965	0.126121	0.31857
a	0.0276376	0.213842	0.305288	0.0699437	0.383288
o	0.00752006	0.21919	0.304171	0.394228	0.0748914
b	0.000170264	0.00337577	0.0713549	0.86331	0.0617887
i	3.96625e-05	0.00589672	0.0666115	0.877922	0.0495299
b	8.86969e-05	0.00286606	0.06391	0.5414	0.391735
h	0.000757446	0.00207724	0.157091	0.172754	0.66732
a	0.000889666	0.0016226	0.0973333	0.216625	0.68353
</S>	0.000332485	0.00559389	0.0579934	0.0829032	0.853177
