 	cet	homme-ci	n'	a	pas	pu	couper	cet	arbre	</S>
m	0.922246	0.0588454	0.00901754	0.00155168	0.00576816	0.0013629	0.000293238	0.000604997	0.000251215	5.87701e-05
o	0.728976	0.139152	0.018486	0.0176208	0.0164884	0.0122199	0.000700984	0.00722648	0.00276885	0.056361
r	0.595815	0.381299	0.00330587	0.00556854	0.0040423	0.00595918	0.000170582	0.000698516	0.000922478	0.00221823
o	0.617557	0.185548	0.021098	0.0230146	0.0528007	0.0263989	0.00540363	0.015469	0.00936247	0.0433477
w	0.851623	0.0544942	0.0681794	0.0111989	0.00483962	0.00183789	0.000214057	0.000906481	0.000310566	0.0063954
ó	0.181999	0.0394688	0.198633	0.0859528	0.122359	0.0516329	0.0536348	0.113878	0.0382527	0.114189
á	0.11842	0.0113075	0.369032	0.0623898	0.0528515	0.0228942	0.00965306	0.0552819	0.0101114	0.288059
m	0.00170044	0.00235765	0.110691	0.499792	0.184534	0.109994	0.0277453	0.0165539	0.00678069	0.0398519
i	0.0075816	0.00307797	0.121626	0.357825	0.325979	0.155084	0.00307096	0.00854249	0.00203087	0.015183
k	0.00108058	0.00304434	0.0166175	0.242703	0.188763	0.507111	0.0303435	0.00340221	0.000840865	0.00609475
ώ	0.00031655	0.0010703	0.00227183	0.0328356	0.0828746	0.724577	0.134351	0.00411939	0.00136201	0.0162218
n	0.00148641	0.00527624	0.0276837	0.0539321	0.169114	0.601553	0.0994446	0.0183766	0.00335422	0.0197797
d	0.0271332	0.00624047	0.019494	0.0558541	0.128111	0.602069	0.0724426	0.0187296	0.010004	0.0599224
ώ	0.031153	0.00212972	0.0133238	0.0419375	0.0789351	0.705725	0.035767	0.013632	0.0102741	0.0671225
o	0.0224632	0.000545259	0.0620886	0.0706183	0.268609	0.321191	0.136371	0.0759889	0.0211667	0.0209584
k	0.00776337	0.00333713	0.00760994	0.0264581	0.0682513	0.0980633	0.577709	0.0805019	0.101093	0.0292131
y	0.000975999	0.000947292	0.000434783	0.00211879	0.0185666	0.0481991	0.856579	0.0182434	0.0397572	0.0141774
é	0.000136715	0.000354454	0.00039781	0.00151116	0.00649094	0.0340011	0.911144	0.0251452	0.00605725	0.0147608
n	0.000285422	0.00043715	0.00239433	0.00702449	0.0245416	0.0593519	0.78873	0.0497329	0.0172715	0.0502309
á	0.00135941	0.00156438	0.00227723	0.00641591	0.0235947	0.0889066	0.673522	0.0500137	0.0267329	0.125613
i	0.0172535	0.00301399	0.0106838	0.00961487	0.0235154	0.0248085	0.218489	0.453546	0.115888	0.123187
b	0.00095115	0.000504908	0.00116773	0.0015851	0.00251353	0.00956475	0.296057	0.243643	0.222769	0.221244
v	0.00167726	0.00064451	0.00126553	0.00407295	0.0081192	0.00524978	0.395384	0.0470844	0.500288	0.0362142
u	0.000701461	0.000712235	0.000501914	0.00254164	0.00316889	0.00965516	0.488696	0.0420098	0.430328	0.0216854
a	0.0018287	9.95141e-05	0.000327554	0.00160341	0.0105214	0.0137362	0.201262	0.339735	0.240776	0.19011
d	0.000469027	4.40314e-05	0.00937151	0.0049647	0.0106781	0.00591759	0.0172464	0.231614	0.253799	0.465895
í	0.000673664	8.02763e-06	0.000654911	0.005137	0.00801561	0.00167339	0.00366999	0.0967457	0.145771	0.737651
</S>	0.00248338	4.41395e-05	0.00199135	0.00351445	0.00462493	0.00180563	0.00720875	0.104271	0.182382	0.691675
