 	aujourd'	hui	nous	avons	mangé	la	patate	douce	avec	le	saka-saka	</S>
p	0.536928	0.408719	0.0366179	0.0102409	0.00102156	0.00145206	0.000670235	0.00217537	0.000656114	0.00150964	2.89468e-06	5.4694e-06
á	0.085901	0.910758	0.000871424	0.000932133	0.000267235	0.00014594	0.000138418	0.000602621	0.000168857	9.91174e-05	7.80178e-05	3.75569e-05
b	0.019247	0.962665	0.00343719	0.00664963	0.00285656	0.00177261	0.000418046	0.000269876	0.000595476	0.00105429	5.13363e-05	0.00098297
h	0.134659	0.648489	0.165864	0.00896181	0.00122041	0.00476091	0.000386501	0.00552817	0.0142693	0.00558185	1.20466e-05	0.0102667
a	0.0945193	0.862326	0.0363185	0.00287594	0.000545773	0.000524338	6.8027e-05	0.000664701	0.000324144	0.000138757	2.30366e-05	0.00167164
b	0.202895	0.177661	0.413041	0.117748	0.00943338	0.0356813	0.0073403	0.00441817	0.00841383	0.00754791	0.0003618	0.0154598
í	0.0220803	0.0482999	0.604409	0.132037	0.00940786	0.0397589	0.00440771	0.0242596	0.0676235	0.026422	6.72679e-05	0.0212269
s	0.00720913	0.0193517	0.84312	0.0555033	0.0198417	0.0183417	0.00325965	0.00348446	0.00911799	0.0045534	5.67014e-05	0.0161607
í	0.00536462	0.000447362	0.0424014	0.371002	0.428374	0.0347516	0.0513977	0.000521857	0.0123126	0.0235257	0.00239536	0.027505
l	0.00374844	0.00108592	0.0827559	0.212744	0.436857	0.106028	0.0317879	0.0108173	0.0180108	0.0188964	0.00660914	0.0706588
é	0.00306288	0.000360708	0.046454	0.146114	0.236481	0.160772	0.0520856	0.00373087	0.0382203	0.0621274	0.0018359	0.248756
d	0.00563869	0.00023683	0.00941506	0.0772387	0.199148	0.519349	0.126298	0.0205947	0.011689	0.0111374	0.00213688	0.0171179
z	0.000391317	5.82678e-05	0.00478095	0.0654057	0.704737	0.17095	0.0324381	0.00126673	0.00373328	0.00176365	0.00395052	0.010524
é	0.00237102	0.000165828	0.00141612	0.0723611	0.713997	0.119222	0.0798214	0.00082125	0.00192464	0.00125657	0.00544266	0.00120018
e	0.00707688	0.00162729	0.0331543	0.0943621	0.2487	0.286767	0.0851759	0.0808074	0.0427749	0.0144703	0.0166093	0.0884748
e	0.00129945	0.000787124	0.00864197	0.019566	0.0305242	0.320123	0.328923	0.152556	0.0651267	0.0210722	0.0192584	0.0321218
n	0.000706956	0.000116682	0.00127968	0.00315009	0.0195499	0.1582	0.242418	0.371635	0.0920561	0.0152473	0.0605612	0.0350799
d	0.000205143	3.36538e-06	0.000235908	0.0027865	0.0046603	0.0561759	0.728106	0.099261	0.0626847	0.0137685	0.00683439	0.0252779
z	0.000120182	6.47304e-06	6.20851e-05	0.00108213	0.00253544	0.0147296	0.704217	0.121902	0.0223472	0.00934658	0.088368	0.0352831
ω	5.38172e-05	6.35981e-06	9.41816e-05	0.00171275	0.00555937	0.0387253	0.526656	0.227329	0.0536546	0.0112189	0.0889078	0.0460819
r	0.000302335	5.40564e-06	0.000581943	0.000957415	0.000181406	0.0197581	0.0885845	0.623787	0.143577	0.02506	0.00645089	0.0907534
ω	0.00132879	0.000110678	0.000917532	0.00209433	0.00117713	0.0471522	0.267591	0.336219	0.145125	0.0499048	0.0123518	0.136028
ω	0.00175377	2.41494e-05	0.000958791	0.00337728	0.000586559	0.0327901	0.0871432	0.0806115	0.433489	0.20836	0.00381932	0.147086
l	0.00558688	0.000672544	0.00127143	0.00171592	0.000948841	0.0277083	0.0459054	0.132811	0.396093	0.153317	0.0862577	0.147712
a	0.00289642	0.00058862	0.00517499	0.0089499	0.00223403	0.05855	0.0453231	0.0597088	0.13892	0.147001	0.150429	0.380224
y	0.000432937	3.70901e-05	0.00189845	0.00419699	0.00184914	0.0143019	0.019718	0.0459991	0.147304	0.202299	0.134181	0.427783
a	0.0012698	0.000139801	0.000756097	0.00134743	0.00102917	0.00454745	0.00907813	0.014523	0.0497262	0.0681393	0.765426	0.0840173
a	0.000427852	1.04951e-05	0.000233219	0.000953773	0.000796373	0.00543402	0.0111448	0.0108958	0.072613	0.137504	0.100453	0.659533
</S>	0.00194827	0.000279259	0.00458937	0.00560048	0.00116157	0.0409385	0.0175969	0.0126231	0.105688	0.244995	0.0589823	0.505597
