 	j'	ai	mangé	du	riz	hier	</S>
n	0.716192	0.108	0.0554465	0.0464875	0.0540143	0.0187487	0.00111098
g	0.979556	0.00923852	0.00424736	0.00112283	0.00576766	8.00894e-06	5.91819e-05
á	0.95796	0.0134204	0.0229399	0.00225304	0.00322627	0.000107057	9.32673e-05
í	0.132623	0.495152	0.00836156	0.0712634	0.123611	0.0592508	0.109739
d	0.0250603	0.190885	0.682593	0.0547686	0.0117178	0.00341822	0.0315568
z	0.0031522	0.0800162	0.781476	0.0361432	0.00600332	0.000152168	0.0930569
é	0.0170256	0.0135157	0.968101	0.000827459	5.78977e-05	3.25425e-05	0.000439685
e	0.0680942	0.0585641	0.0779233	0.139403	0.200067	0.0176914	0.438256
l	0.00436086	0.06929	0.0525901	0.515396	0.193644	0.0667722	0.0979476
ώ	0.000434604	0.025212	0.0304447	0.330781	0.437932	0.0281368	0.147059
s	0.000710367	0.0383883	0.01296	0.233683	0.477568	0.0446389	0.192052
ω	0.000346392	0.0540917	0.0209171	0.458565	0.269002	0.0920236	0.105054
l	0.000338879	0.0416055	0.000457437	0.227406	0.56608	0.0531076	0.111004
a	0.00124227	0.02398	0.00101968	0.23383	0.349475	0.140168	0.250285
p	0.00278835	0.0169611	0.00084331	0.0701718	0.286946	0.494795	0.127494
ó	0.000259709	0.00194489	0.000257351	0.0181198	0.0124003	0.944907	0.0221106
a	0.000110439	0.00299094	0.000308177	0.0624664	0.103017	0.715546	0.115561
</S>	0.000834497	0.00708236	0.000331634	0.0524121	0.250086	0.226072	0.463182
