 	raconte-moi	comment	as-tu	fait	ton	mariage	</S>
m	0.660158	0.306756	0.0140407	0.00641256	0.0101119	0.00128022	0.00124026
ó	0.283218	0.119922	0.212968	0.0413367	0.0779006	0.0064928	0.258163
y	0.701539	0.234556	0.0244308	0.0196119	0.00448766	0.00734452	0.0080303
é	0.628101	0.14138	0.0542037	0.0596801	0.0292801	0.0113653	0.0759905
m	0.559	0.167983	0.0376069	0.0266655	0.0279021	0.00664088	0.174201
b	0.791612	0.147602	0.0309511	0.00718603	0.00189272	0.000935978	0.0198207
á	0.553909	0.128671	0.0689102	0.0305446	0.0122302	0.00648312	0.199251
n	0.281464	0.339965	0.28343	0.0382661	0.0182612	0.00712154	0.0314923
g	0.121354	0.338848	0.481845	0.0076958	0.0306388	0.00191752	0.017701
á	0.0809568	0.268964	0.613389	0.0127397	0.0114772	0.00158931	0.0108833
n	0.0474313	0.15716	0.401094	0.126602	0.188893	0.0324571	0.0463625
d	0.053406	0.156678	0.566439	0.0722074	0.0668852	0.0044645	0.0799204
é	0.0265135	0.0802544	0.593589	0.134978	0.0901335	0.00692954	0.0676018
n	0.125306	0.218306	0.301593	0.0917964	0.191496	0.0328147	0.0386889
g	0.0732169	0.0935312	0.251195	0.296578	0.1336	0.0632338	0.0886437
é	0.164748	0.296492	0.366634	0.0431209	0.0645187	0.033393	0.0310938
y	0.0186105	0.045751	0.208774	0.264182	0.315725	0.0618892	0.0850694
é	0.107352	0.0521141	0.13429	0.357798	0.173626	0.102429	0.0723902
é	0.0156163	0.0689537	0.135517	0.165268	0.289872	0.242172	0.0826011
k	0.0259403	0.0070739	0.0246993	0.283611	0.313143	0.183034	0.162499
y	0.0055865	0.00319296	0.00482879	0.409884	0.0320271	0.391585	0.152895
e	0.0267315	0.00951358	0.0156588	0.357159	0.0887413	0.294642	0.207553
n	0.00357538	0.00297224	0.0170107	0.221257	0.125737	0.328975	0.300473
ώ	0.00812643	0.00868321	0.0368684	0.0756135	0.288327	0.353236	0.229146
i	0.00254576	0.00296299	0.0176303	0.08494	0.245703	0.117364	0.528853
t	0.0218083	0.00616385	0.00889646	0.059559	0.166261	0.236975	0.500336
ώ	0.00588162	0.00402313	0.00364749	0.0683707	0.0638779	0.680056	0.174143
ω	0.00145419	0.00131049	0.00373676	0.027552	0.0837274	0.476356	0.405863
</S>	0.0120199	0.00606592	0.0116966	0.0303937	0.403383	0.203598	0.332843
