 	les	gens	sont	en	train	de	huer	le	voleur	</S>
b	0.353986	0.378061	0.133764	0.0490247	0.0733985	0.0110119	0.000199281	0.000178455	0.000363835	1.13255e-05
a	0.0862903	0.565955	0.0559136	0.0532204	0.225721	0.00990792	0.000285795	0.000226744	0.00239715	8.23657e-05
r	0.0123294	0.221981	0.0248628	0.320357	0.415533	0.00263847	0.0014081	1.6222e-05	0.000800622	7.37107e-05
e	0.665827	0.216199	0.0376685	0.039312	0.00177235	0.0141923	0.00796162	0.000408236	0.00137602	0.0152826
b	0.111368	0.0744559	0.346059	0.217272	0.0587493	0.133549	0.0281494	0.0114296	0.000574392	0.0183933
ó	0.132339	0.0898446	0.121508	0.164294	0.0726132	0.273303	0.0391767	0.0253434	0.00154041	0.080038
b	0.0351654	0.0254699	0.160871	0.11803	0.218462	0.284129	0.100116	0.0441279	0.000396039	0.013233
á	0.0927592	0.0363805	0.0274618	0.0352341	0.0666404	0.641382	0.0694485	0.0222681	0.00263521	0.00578995
a	0.0997956	0.0260812	0.120386	0.384924	0.202585	0.118609	0.0239848	0.0118342	0.00436017	0.00744066
y	0.000908488	0.000378229	0.00277647	0.00136081	0.000789043	0.0879787	0.839418	0.0532969	0.00116625	0.0119272
i	0.000255163	0.000134117	0.000282957	6.62109e-05	1.18556e-05	0.00790859	0.950251	0.0353444	0.00163514	0.004111
r	0.0012744	0.000296656	0.00105587	0.00177228	0.000347338	0.0210572	0.872075	0.0618766	0.00585199	0.0343925
á	0.0245517	0.0111823	0.0210436	0.0739113	0.00193724	0.175759	0.241233	0.227369	0.0379517	0.185061
m	0.00332919	0.00583286	0.0174505	0.0709077	0.00712341	0.0369834	0.0134452	0.2682	0.541899	0.0348292
ú	0.00924765	0.00105038	0.00393951	0.00461644	0.000542678	0.00197288	0.00239891	0.078971	0.885622	0.0116389
b	0.000494427	0.000182441	0.000307606	0.000175989	0.000231887	0.00145223	0.00641448	0.0280567	0.960709	0.00197519
h	0.0285021	0.0213319	0.0329731	0.0394001	0.00437963	0.0374245	0.00198453	0.0960802	0.0414142	0.69651
u	0.0446524	0.0434687	0.0346611	0.130255	0.00475234	0.0928355	0.0106327	0.161782	0.0548208	0.42214
</S>	0.00103275	0.000990164	0.0038743	0.00227113	0.000146546	0.00872088	0.00428774	0.0989811	0.00388383	0.875812
