 	il	est	couché	dans	la	maison	sous	l'	effet	du	vin	</S>
w	0.523036	0.216156	0.0830389	0.0655553	0.0516025	0.00934674	0.0176976	0.0121904	0.000648697	0.0202427	0.000415995	6.97577e-05
a	0.674622	0.0831665	0.0803008	0.0548597	0.0613821	0.00542005	0.013507	0.00468514	0.0018538	0.016977	0.00318282	4.29539e-05
a	0.401944	0.379451	0.0577808	0.0465816	0.0201769	0.010929	0.00732201	0.0104374	0.00978891	0.0346087	0.0121788	0.00880121
d	0.0906112	0.379534	0.30771	0.126798	0.0281499	0.0179727	0.0143043	0.00609362	0.00420305	0.00889355	0.00410041	0.0116293
i	0.0671572	0.226831	0.0811792	0.432106	0.0782581	0.0254899	0.0153867	0.0057776	0.0102295	0.00324972	0.00156069	0.0527751
b	0.00445542	0.0450456	0.149255	0.628657	0.0784143	0.0242355	0.00995224	0.00184184	0.003743	0.00210722	0.000189514	0.0521033
í	0.0181899	0.0289129	0.332643	0.391266	0.138294	0.0177404	0.0449396	0.0095658	0.00168141	0.00911675	0.00226588	0.00538387
n	0.029029	0.0344964	0.146681	0.205995	0.276988	0.0953897	0.0573646	0.0235402	0.0198097	0.0184378	0.00778431	0.0844837
í	0.0148798	0.00250039	0.0242634	0.0976147	0.253642	0.580067	0.00645861	0.00515335	0.00232134	0.00284594	0.000643457	0.00960953
í	0.011952	0.0345968	0.215147	0.213194	0.304821	0.102568	0.0612293	0.0133221	0.00303506	0.0151056	0.00901856	0.0160111
s	0.00531777	0.0356441	0.0409616	0.154359	0.179632	0.341136	0.183694	0.024391	0.00876867	0.0132968	0.0061917	0.0066072
á	0.00128286	0.00561441	0.00835561	0.216905	0.188617	0.168059	0.207538	0.0532898	0.0332522	0.0247967	0.00855552	0.0837346
n	0.00396069	0.00157489	0.0149616	0.0702058	0.119752	0.143013	0.228788	0.186286	0.135613	0.0305467	0.014114	0.0511842
d	0.000351021	0.000153559	0.000954545	0.0121583	0.113151	0.779193	0.026369	0.0448844	0.00488125	0.00738355	0.00779579	0.00272399
é	0.00039907	0.000189617	0.000953985	0.0049079	0.0317744	0.820475	0.0258259	0.0636968	0.0113899	0.0114308	0.0117396	0.0172167
e	0.00119032	0.000918246	0.004716	0.0300629	0.104335	0.427417	0.109249	0.150001	0.0355755	0.0537228	0.0564693	0.0263434
t	0.00422079	0.00482255	0.00777788	0.00837576	0.0221587	0.0213577	0.441876	0.325409	0.0416019	0.102069	0.0117624	0.0085681
s	0.00873047	0.00710873	0.015129	0.00958964	0.030589	0.00848406	0.284396	0.381465	0.0393745	0.11318	0.0442016	0.0577514
í	0.0024922	0.00373738	0.0296434	0.0344663	0.027079	0.00832505	0.338349	0.227365	0.0431922	0.157209	0.0727226	0.0554191
n	0.00372794	0.00712687	0.0215843	0.0420049	0.0431198	0.0366505	0.372614	0.0891865	0.0260625	0.118868	0.12903	0.110025
a	0.0162834	0.00381014	0.00806313	0.0256395	0.0653821	0.42711	0.112042	0.115928	0.0397761	0.0589422	0.028919	0.098105
m	0.00172066	0.00165246	0.00394938	0.00427751	0.0108122	0.022305	0.106055	0.232702	0.186251	0.302117	0.0568144	0.0713441
á	0.00455297	0.00253638	0.0064164	0.00709224	0.0105256	0.00292513	0.0752736	0.277487	0.196206	0.225244	0.011948	0.179793
l	0.00083356	0.00427712	0.00934411	0.0151248	0.0136146	0.00296319	0.047532	0.113934	0.0421002	0.237378	0.449376	0.0635218
ω	0.00047358	0.00197598	0.00286848	0.0135829	0.00348431	0.00344413	0.0336835	0.0418504	0.0207401	0.0611226	0.681681	0.135093
i	0.000108153	0.000173543	0.000570596	0.0010431	0.00102892	0.000595642	0.0136067	0.0165453	0.00165674	0.0535459	0.82865	0.0824753
</S>	0.00447285	0.00166369	0.00400822	0.00293008	0.00340901	0.00303566	0.0175975	0.130835	0.0315552	0.297939	0.164205	0.338349
