 	j'	ai	mal	à	la	tête	</S>
n	0.91781	0.0256812	0.0160249	0.014873	0.0142615	0.00947916	0.00187062
g	0.984546	0.00985788	0.0021458	0.001828	0.00127215	2.82007e-05	0.000322058
á	0.927542	0.0516647	0.0164703	0.0036038	0.000535294	0.000127236	5.69121e-05
i	0.184687	0.234852	0.2284	0.134668	0.126272	0.0139817	0.077139
b	0.0298869	0.287229	0.391648	0.106177	0.0202946	0.0498195	0.114946
o	0.0042475	0.220442	0.387575	0.0838494	0.0216451	0.259706	0.0225355
ó	0.00027867	0.083964	0.636771	0.183903	0.050552	0.0316548	0.0128771
l	0.0104372	0.162458	0.27545	0.322671	0.173826	0.00868165	0.0464756
í	0.000525018	0.0306478	0.153139	0.110252	0.0756762	0.019187	0.610573
i	0.0210589	0.0868987	0.127687	0.179184	0.15612	0.13629	0.292761
y	0.000254377	0.0196364	0.10937	0.276944	0.103505	0.35619	0.1341
ó	0.000511321	0.038548	0.216757	0.197546	0.143665	0.137029	0.265944
m	0.000140233	0.0105476	0.130924	0.230384	0.148185	0.151743	0.328077
a	4.68027e-05	0.00240706	0.0545974	0.162188	0.0529755	0.114923	0.612862
a	0.000357925	0.0187911	0.0361503	0.125976	0.215106	0.145635	0.457984
</S>	0.00344409	0.0353363	0.052885	0.116595	0.241535	0.102885	0.44732
