 	il	est	bouillant	d'	impatience	</S>
w	0.867597	0.114885	0.0015759	0.00790077	0.00467963	0.00336128
a	0.796773	0.171373	0.00115048	0.023005	0.00743981	0.00025883
a	0.308171	0.613884	0.0341911	0.030396	0.00259087	0.0107667
d	0.11768	0.480948	0.183749	0.0831825	0.0359287	0.0985113
í	0.0750889	0.390224	0.306316	0.0315978	0.00138605	0.195388
o	0.023444	0.133712	0.252739	0.113826	0.122198	0.35408
t	0.00479623	0.0556246	0.749335	0.12942	0.0388297	0.0219946
é	0.000558612	0.00961247	0.940806	0.0121082	0.0184695	0.0184456
m	0.0167691	0.156601	0.634865	0.0599268	0.0524452	0.0793928
a	0.00713657	0.0416819	0.375755	0.291781	0.0571309	0.226516
i	0.0379843	0.145815	0.0486606	0.395546	0.214894	0.1571
k	0.00635424	0.0141708	0.0379676	0.143652	0.675469	0.122386
o	0.000234457	0.000459146	0.00303649	0.0103627	0.955658	0.0302493
ó	1.81879e-05	0.000493681	0.00834103	0.0130704	0.951023	0.027054
i	0.00142691	0.0113416	0.0015728	0.289784	0.136696	0.559178
k	0.0238466	0.0826699	0.0194103	0.368371	0.242161	0.263541
o	0.00215354	0.00676988	0.00329984	0.127697	0.701104	0.158976
ó	0.000156027	0.000820591	0.00307163	0.0180819	0.836989	0.140881
</S>	0.00419415	0.0148364	0.00260085	0.300778	0.144711	0.532879
