 	le	cordon	s'	est	coupé	</S>
s	0.561106	0.239873	0.179095	0.00811525	0.00200778	0.0098035
i	0.3316	0.589758	0.0378809	0.0140329	0.00700797	0.0197207
n	0.243772	0.732064	0.0137125	0.00289524	0.00555353	0.00200338
g	0.00807478	0.962086	0.0064157	0.000713056	0.0011974	0.0215135
a	0.00805137	0.976534	0.00731042	0.000685083	0.00101109	0.00640787
á	0.125052	0.0937766	0.50015	0.113531	0.0191943	0.148297
m	0.0174288	0.03568	0.409382	0.39032	0.0806027	0.0665868
i	0.0378765	0.0228244	0.311836	0.431548	0.0229879	0.172927
s	0.00632039	0.00152563	0.0783183	0.544728	0.310821	0.0582863
á	0.00626983	0.00400265	0.0381505	0.641026	0.24482	0.0657305
á	0.0165866	0.0170484	0.0901446	0.439357	0.0843337	0.352529
o	0.0309546	0.027793	0.104214	0.416208	0.318746	0.102084
k	0.00535753	0.00159838	0.0034494	0.0404543	0.913154	0.0359865
y	0.00106088	9.48639e-05	0.00305746	0.0489283	0.882183	0.0646757
é	0.00986556	0.000508961	0.0182066	0.0761026	0.666038	0.229278
n	0.00394978	0.00139136	0.0290624	0.235264	0.31763	0.412703
i	0.00811229	0.00273686	0.0176229	0.0308079	0.396028	0.544692
m	0.0220815	0.0109107	0.0647571	0.159193	0.0729425	0.670115
a	0.107967	0.0402782	0.0256847	0.0563851	0.0489116	0.720774
</S>	0.0250945	0.034602	0.0214549	0.0539123	0.0801767	0.784759
