 	il	a	beaucoup	d'	amour	pour	sa	mère	</S>
w	0.346536	0.137375	0.047927	0.077137	0.120844	0.20348	0.0487501	0.0160068	0.00194396
a	0.224986	0.0749042	0.016972	0.0754774	0.0386826	0.271004	0.278931	0.0180541	0.000988545
a	0.110986	0.385286	0.100466	0.0595387	0.045638	0.0689253	0.0618758	0.0109553	0.156329
d	0.0765813	0.281027	0.22272	0.0507974	0.0215495	0.0261419	0.0284462	0.00590901	0.286827
í	0.00852667	0.135654	0.20353	0.134548	0.0608037	0.0422059	0.0120056	0.00194555	0.40078
l	0.00691117	0.0229345	0.08552	0.0919929	0.0974199	0.0966626	0.0653085	0.000971946	0.532278
a	0.0193484	0.0241506	0.119568	0.124524	0.127867	0.1046	0.0932589	0.017674	0.369009
o	0.0369413	0.0419829	0.103369	0.0712603	0.2477	0.0833762	0.159365	0.194349	0.0616565
d	0.00289826	0.0264268	0.170624	0.181351	0.249253	0.156669	0.0272034	0.0483653	0.137209
i	0.000547411	0.00959193	0.0991651	0.153691	0.447004	0.0826344	0.00736905	0.00153493	0.198462
n	0.000441018	0.0066076	0.0880998	0.219267	0.275779	0.162131	0.0107001	0.000808694	0.236165
g	0.00347161	0.00887504	0.114368	0.198945	0.286753	0.192213	0.0924679	0.0185284	0.0843778
i	0.00312101	0.00443131	0.0753049	0.128018	0.405593	0.121185	0.123197	0.0675471	0.071602
m	0.0025871	0.00719824	0.0660898	0.108694	0.0766361	0.33387	0.0893213	0.00812861	0.307475
á	0.0122187	0.00578024	0.0312001	0.117184	0.0232217	0.405402	0.316258	0.00709139	0.0816439
n	0.00858207	0.00531337	0.0324998	0.0510317	0.0329319	0.23417	0.504739	0.039902	0.0908306
g	0.00134124	0.000315497	0.00466038	0.0130099	0.0608729	0.0735959	0.710052	0.0761281	0.0600244
ó	0.000213519	0.000309499	0.00296012	0.00555472	0.0477368	0.0195163	0.121805	0.753389	0.0485154
o	0.000149615	0.000323863	0.00551887	0.00821932	0.0288123	0.0195923	0.0381582	0.393595	0.505631
o	0.00243124	0.00725554	0.024028	0.0424205	0.0444146	0.288321	0.0804769	0.160747	0.349905
y	0.00460983	0.121919	0.188266	0.163226	0.0899182	0.118427	0.0484821	0.0165136	0.248638
í	0.0011845	0.0063806	0.0339885	0.0284106	0.0549657	0.0227014	0.181725	0.0187308	0.651913
í	0.00121688	0.00174237	0.0230282	0.0167973	0.00862591	0.0259582	0.0860059	0.00120676	0.835418
</S>	0.00265398	0.00642304	0.0365958	0.0385902	0.0285898	0.0999309	0.119585	0.00356721	0.664064
