 	cet	arbre	a	une	bosse	</S>
i	0.35339	0.61246	0.0306707	0.00287748	0.000441975	0.000159634
b	0.0793032	0.890012	0.0200923	0.00757926	0.00186076	0.00115235
v	0.00467538	0.991041	0.00287368	0.000663328	0.00031001	0.000436709
ú	0.0204507	0.963975	0.00952273	0.00182989	0.00167445	0.00254682
a	0.200225	0.72059	0.0399767	0.0129292	0.017947	0.00833206
d	0.264448	0.0776654	0.464908	0.0655091	0.000691263	0.126779
í	0.191526	0.0122294	0.110391	0.0487387	0.0137052	0.623409
í	0.29359	0.03217	0.362191	0.111826	0.014843	0.18538
d	0.0397809	0.0174596	0.521917	0.368182	0.018083	0.0345778
í	0.00549898	0.00293697	0.0797799	0.394733	0.0325409	0.48451
l	0.0140217	0.00799526	0.161844	0.285558	0.0409726	0.489609
i	0.00547185	0.00262776	0.084511	0.244791	0.160685	0.501914
n	0.00737256	0.00298875	0.0135978	0.0528341	0.752347	0.17086
g	0.000502467	0.000439313	0.00102177	0.00962768	0.969691	0.0187172
ú	0.000986716	0.00111475	0.0046812	0.0259906	0.9088	0.0584268
m	0.00015771	9.27416e-05	0.0003324	0.0018192	0.979759	0.0178386
a	0.00607355	0.00132407	0.0172998	0.0240256	0.0907012	0.860576
</S>	0.00627887	0.00307734	0.10444	0.105892	0.0206137	0.759699
