 	le	feu	s'	étend	sur	la	savane	</S>
m	0.812663	0.161935	0.0118025	0.00445428	0.00528865	0.00344249	0.000378853	3.49976e-05
í	0.0568301	0.894409	0.0368893	0.00363724	0.00378216	0.00267659	0.000293432	0.00148232
á	0.0802193	0.890224	0.0154181	0.00693384	0.00218612	0.00128797	0.00140324	0.00232756
b	0.121405	0.367887	0.37891	0.0644298	0.00878231	0.00578204	0.00457638	0.0482274
ó	0.0141926	0.0830267	0.575093	0.16531	0.0531455	0.0240443	0.0113697	0.0738176
m	0.0758212	0.151892	0.275114	0.159485	0.0954252	0.0515971	0.0321051	0.15856
í	0.242999	0.335872	0.158488	0.0801939	0.126571	0.0400085	0.000539483	0.0153286
i	0.140279	0.214016	0.363779	0.109783	0.100504	0.0248396	0.00637846	0.0404212
s	0.00466907	0.0297317	0.147396	0.712181	0.0685565	0.015842	0.00593849	0.0156847
y	0.00149572	0.00357176	0.0463029	0.841313	0.082643	0.0117863	0.00205867	0.010829
έ	0.0011551	0.00258096	0.0133149	0.917808	0.048437	0.00276135	0.0019238	0.0120189
έ	0.00332849	0.00155524	0.0624819	0.677475	0.139279	0.0497658	0.00360074	0.0625134
g	0.00466314	0.00193185	0.102074	0.124992	0.415371	0.304149	0.0152966	0.0315228
h	0.00542717	0.002958	0.0916966	0.207728	0.393589	0.157038	0.0337122	0.107851
έ	0.00445515	0.000514016	0.0290655	0.273036	0.472025	0.172052	0.0171475	0.0317049
s	0.00246588	0.00104872	0.0192234	0.0729672	0.430349	0.372684	0.0627331	0.038529
o	0.00462287	0.0015147	0.0146563	0.160878	0.388566	0.194779	0.123254	0.111729
l	0.00508089	0.00105548	0.00470615	0.0206914	0.0981955	0.200859	0.555794	0.113618
ω	0.000480367	0.000964953	0.00820954	0.0174411	0.0349073	0.0629899	0.840588	0.0344188
n	0.000564229	0.000229691	0.00379291	0.0124744	0.0273541	0.0762308	0.755445	0.123909
g	0.00105654	0.00221433	0.00913866	0.0157169	0.0417776	0.0912388	0.62929	0.209567
ώ	0.000832115	0.000658866	0.00410784	0.00974025	0.0334199	0.082425	0.643383	0.225433
</S>	0.00125865	0.000986795	0.00794778	0.00854753	0.0690569	0.121619	0.273342	0.517241
