 	il	saisit	son	adversaire	à	bras-le-corps	</S>
w	0.913456	0.012733	0.0169501	0.0404552	0.0135126	0.00266185	0.000230953
a	0.9269	0.00341853	0.0248011	0.0318991	0.0103632	0.00244191	0.000176396
a	0.542823	0.253484	0.101139	0.000486705	0.0272033	0.00559479	0.0692699
b	0.168222	0.622727	0.123835	0.012059	0.0091194	0.00312341	0.0609134
v	0.0631401	0.802739	0.0456216	0.0477534	0.00632943	0.00715595	0.0272605
u	0.0393523	0.933475	0.00714406	0.0163246	0.000784414	0.00149706	0.00142275
l	0.0824194	0.270531	0.234986	0.197233	0.04277	0.0747661	0.0972942
ú	0.149437	0.0562691	0.636349	0.00327723	0.0348547	0.000541691	0.119272
o	0.0374544	0.0243694	0.63672	0.0434751	0.102745	0.0281326	0.127104
b	0.0034694	0.0312534	0.0922998	0.276105	0.0961712	0.438122	0.0625792
i	0.00180265	0.0238547	0.0152291	0.886884	0.0168107	0.0466018	0.00881679
a	0.000408389	0.0247742	0.0087464	0.793018	0.0109098	0.0920874	0.0700554
o	0.00314229	0.00193995	0.0941188	0.146117	0.530528	0.0982619	0.125892
m	0.00279791	0.00638993	0.0136274	0.0500876	0.185832	0.389179	0.352086
a	0.00057916	5.71047e-05	0.00238971	0.00477044	0.0618153	0.850668	0.0797207
n	0.000959898	0.000763828	0.0477522	0.211482	0.388942	0.155046	0.195053
i	0.00690098	0.000349853	0.0330317	0.00583155	0.346963	0.299518	0.307405
</S>	0.000607337	4.04563e-05	0.00557355	0.00127491	0.135156	0.0176299	0.839718
