 	une	femme	paresseuse	est	réduite	à	la	mendicité	</S>
o	0.834393	0.0368318	0.0563596	0.0561448	0.00789338	0.00456178	0.00132366	0.00221366	0.000278436
y	0.262248	0.55473	0.0454536	0.0528835	0.0574698	0.00751848	0.0050976	0.00536156	0.00923709
ú	0.584051	0.357801	0.0299122	0.0103137	0.000148888	0.00340817	0.006205	0.000908509	0.00725209
r	0.712799	0.110698	0.0410121	0.02248	0.000544425	0.0052445	0.00974995	0.00478916	0.0926835
u	0.804896	0.0565548	0.0428988	0.0491021	0.00220787	0.0153283	0.00417323	0.00989459	0.014944
y	0.137836	0.049651	0.438383	0.258574	0.0311115	0.0517187	0.0178281	0.00240768	0.0124897
e	0.595223	0.0630183	0.137207	0.117028	0.0101241	0.0249037	0.0242795	0.00264693	0.0255693
b	0.413209	0.0161839	0.21056	0.259738	0.0419617	0.0282228	0.0224045	0.00190971	0.00580976
ω	0.0544273	0.0183197	0.0459105	0.153733	0.632703	0.0251657	0.00949278	0.0484262	0.011822
l	0.00877474	0.00466664	0.0152284	0.0349524	0.854827	0.0568136	0.010375	0.0115638	0.00279838
ω	0.0343575	0.00224242	0.0579188	0.132499	0.432378	0.220143	0.0324684	0.00458557	0.0834075
e	0.0857357	0.0194973	0.143131	0.0725578	0.0612487	0.396706	0.199473	0.00819566	0.0134551
s	0.0158896	0.00473662	0.0350247	0.0342184	0.00509348	0.329705	0.467417	0.0224941	0.0854205
á	0.00421882	0.01523	0.00887539	0.0122659	4.18836e-05	0.101718	0.821375	0.0105393	0.0257358
á	0.0127674	0.00198443	0.0425229	0.0807024	0.00133397	0.0781616	0.579646	0.0472682	0.155613
l	0.0151087	0.00185662	0.0152016	0.0267694	0.00571994	0.0881655	0.591221	0.195429	0.0605282
e	0.00361254	0.000997231	0.00766101	0.00846059	0.00111893	0.0409949	0.249416	0.102927	0.584811
b	0.0154387	0.00102714	0.0130091	0.00884828	0.00198275	0.0494099	0.243631	0.267027	0.399626
έ	0.0046553	0.00111374	0.0614169	0.0874159	0.00723742	0.086415	0.289411	0.426689	0.0356453
m	0.000813891	1.83096e-05	0.0129739	0.0138236	0.0218685	0.0321379	0.0327009	0.809255	0.0764075
b	0.0025025	0.000360901	0.00238386	0.00380771	0.000852001	0.0287877	0.0749309	0.201949	0.684425
έ	0.00199514	7.88828e-05	0.00327713	0.00494979	0.00196803	0.00542917	0.00521522	0.907021	0.0700653
</S>	0.00522943	0.000111421	0.00716179	0.0064566	0.00128559	0.0244347	0.0647138	0.161324	0.729283
