 	les	oiseaux	becquetaient	dans	la	cour	du	village	</S>
a	0.673061	0.244499	0.0608102	0.0180617	0.00239182	0.000200492	0.000930416	2.03434e-05	2.48201e-05
n	0.0452498	0.91194	0.0371979	0.00306426	0.00132257	0.000588414	0.000161729	0.000222255	0.00025279
y	0.0244493	0.93367	0.00281947	0.00523966	0.00598535	0.0266454	0.00026869	1.04e-05	0.000911371
ω	0.0302081	0.953269	0.00304107	0.00247748	0.00156776	0.00855869	0.000278889	1.33953e-05	0.0005856
s	0.00116813	0.997205	9.93633e-05	0.000101976	0.000161809	0.000934595	4.30411e-05	1.88117e-06	0.000283675
í	0.0768274	0.520892	0.0123171	0.019954	0.0457727	0.0629862	0.00347674	0.00079715	0.256977
b	0.498006	0.202389	0.122015	0.0708401	0.01229	0.00261644	0.0312582	0.00107397	0.0595107
á	0.458151	0.10558	0.254398	0.0527469	0.038638	0.00734162	0.019978	8.97194e-05	0.063076
a	0.565372	0.0489754	0.185177	0.0598295	0.0389597	0.0274942	0.0370791	0.00434195	0.0327711
t	0.0163247	0.0187385	0.704945	0.143267	0.0612795	0.00865535	0.00297767	0.000340721	0.0434719
ó	0.00426801	0.00441754	0.94451	0.021018	0.0147027	0.00296504	0.000616949	0.000443879	0.00705824
b	0.00306006	0.0319136	0.878328	0.0450862	0.0191206	0.00345314	0.000885224	0.00395919	0.0141944
h	0.038041	0.0302042	0.629864	0.180914	0.0424835	0.0105169	0.00549255	0.000979556	0.0615039
ó	0.00585124	0.00586881	0.651618	0.127888	0.0436359	0.0418699	0.0417714	0.0033493	0.0781473
l	0.0105947	0.00361281	0.125596	0.754386	0.0746214	0.00818649	0.00910719	0.000304402	0.0135912
á	0.00516864	0.00273213	0.0348876	0.199574	0.289623	0.131628	0.0485309	0.00577881	0.282076
b	0.0146644	0.00519858	0.0232991	0.263426	0.345862	0.275415	0.0465298	0.0146469	0.010958
e	0.00837615	0.00454574	0.595788	0.173006	0.186057	0.02392	0.00470982	0.00166862	0.00192837
a	0.00131165	0.000636819	0.357198	0.265563	0.285687	0.0590852	0.0185959	0.0016359	0.0102865
m	0.00226143	0.000335108	0.00595764	0.271811	0.344069	0.10929	0.206816	0.00436948	0.0550912
ó	0.0190323	0.000814307	0.00993306	0.0406157	0.219296	0.163206	0.0530983	0.00242243	0.491582
d	0.0123373	0.00731986	0.0167428	0.0493735	0.115677	0.385784	0.0909624	0.281956	0.0398468
z	0.00201074	0.00102471	0.00429773	0.0129763	0.077453	0.765943	0.00499847	0.041362	0.0899346
a	0.0017128	0.000644446	0.00105814	0.00175275	0.0231325	0.921056	0.00281736	0.0384884	0.00933798
n	0.000272531	0.000100349	0.00210297	0.0051192	0.0468063	0.666361	0.0300585	0.162373	0.086807
g	0.000641386	0.000434698	0.00329552	0.0205335	0.139379	0.556171	0.0396243	0.0514493	0.188471
é	0.000271108	0.000296939	0.00114216	0.00360731	0.0544187	0.762738	0.0330043	0.0144523	0.13007
l	0.00108718	0.000473855	0.000466883	0.0238329	0.0336829	0.0373476	0.337737	0.0507173	0.514654
á	0.0105885	0.00370854	0.0051745	0.0778142	0.139536	0.167444	0.125656	0.0796729	0.390406
p	0.00558649	0.0113625	0.00217061	0.0159646	0.0206115	0.0314812	0.118784	0.712408	0.0816317
o	3.61494e-05	0.000131386	0.00232178	0.000799709	0.00170881	0.0025453	0.00252584	0.982786	0.00714504
o	0.00108458	0.000460713	0.000935615	0.00108597	0.00912133	0.0163158	0.00745414	0.933186	0.0303562
</S>	0.0181278	0.00389364	0.0109992	0.121238	0.136424	0.0703385	0.139235	0.0646346	0.43511
