 	il	a	cassé	son	assiette	</S>
w	0.946561	0.0198983	0.000878124	0.0320855	0.000265121	0.000312432
a	0.90877	0.0231523	0.000196282	0.0678094	2.61398e-05	4.60346e-05
á	0.396867	0.547489	0.0152035	0.0316311	0.000490601	0.00831917
m	0.0414375	0.715956	0.205032	0.0146836	0.00704459	0.0158464
i	0.0374389	0.337961	0.510981	0.0783088	0.00267738	0.0326331
b	0.00178609	0.0764098	0.899319	0.00607655	0.00721863	0.00919024
o	0.00757837	0.0908587	0.841985	0.0265192	0.000265602	0.032793
n	0.000908896	0.0405393	0.950371	0.00631973	0.000127233	0.00173419
d	0.0761489	0.183871	0.534335	0.0835309	0.00156503	0.120549
z	0.104965	0.140024	0.48725	0.0624589	0.003422	0.20188
á	0.0908901	0.0353295	0.304927	0.315383	0.0131013	0.240369
s	0.00504574	0.00780372	0.0289706	0.44107	0.500397	0.0167126
a	0.00148954	0.00310312	0.00570995	0.0886431	0.871255	0.0297996
á	0.0011536	0.00807267	0.0324656	0.0865469	0.133471	0.73829
n	0.00397187	0.0266868	0.0176202	0.0158925	0.790432	0.145397
i	0.000374273	0.000461223	0.00142724	0.00473696	0.949691	0.0433094
l	0.000732265	0.0158017	0.0381497	0.0136327	0.104802	0.826881
á	0.00153613	0.00590985	0.0139239	0.00296005	0.0310689	0.944601
w	0.00837692	0.0330671	0.0391287	0.163893	0.0440339	0.7115
a	0.0707768	0.0162631	0.0723081	0.14228	0.196268	0.502104
</S>	0.00396887	0.0113113	0.0136991	0.0240754	0.00840649	0.938539
