 	elle	fut	bouleversée	en	apprenant	la	nouvelle	</S>
w	0.93617	0.0574447	0.00106512	0.0030545	0.000972419	0.00095176	0.000316371	2.52277e-05
a	0.800145	0.190982	0.000345447	0.00569361	0.000592173	0.00205206	0.000172262	1.79657e-05
á	0.417546	0.513363	0.0286789	0.0245998	0.00641371	0.00635818	0.000901557	0.00213833
k	0.075703	0.366557	0.186326	0.0822051	0.134742	0.0667834	0.00622315	0.081461
á	0.0339305	0.528126	0.184582	0.0994	0.0899071	0.013536	0.00381745	0.0467005
m	0.00477576	0.150062	0.726595	0.033677	0.0263408	0.00692331	0.00340642	0.04822
b	0.0851352	0.25145	0.452947	0.148886	0.02901	0.0115239	0.00808632	0.0129618
á	0.202177	0.264903	0.117715	0.299815	0.0288099	0.0295348	0.0157473	0.0412979
a	0.178545	0.165433	0.171433	0.283003	0.105068	0.0284149	0.0464166	0.0216863
y	0.00392366	0.0462653	0.462179	0.310352	0.150753	0.00917766	0.0114807	0.00586903
έ	0.00217206	0.0203926	0.723276	0.127904	0.066869	0.0130036	0.00651064	0.0398724
l	0.00190103	0.0136331	0.246085	0.231594	0.13219	0.0739247	0.0545229	0.24615
i	0.0340472	0.169019	0.254534	0.354799	0.0549056	0.0533627	0.0178362	0.0614969
á	0.00813723	0.0156533	0.208406	0.462993	0.182081	0.0558902	0.00906548	0.0577731
á	0.00129186	0.00774003	0.133382	0.182727	0.5574	0.076726	0.0163076	0.0244256
b	0.000488566	0.00622528	0.134404	0.0661195	0.646647	0.0678277	0.0335763	0.0447116
ó	0.000624908	0.0135018	0.094114	0.102569	0.664133	0.0702026	0.0271603	0.0276946
n	0.000134417	0.0023477	0.112208	0.186289	0.435644	0.134032	0.0220888	0.107255
d	0.00145077	0.00667515	0.0529103	0.171304	0.3374	0.184459	0.0622096	0.183592
á	0.000971802	0.00306275	0.0499592	0.0678931	0.284087	0.169188	0.195199	0.229639
w	0.00203887	0.00312475	0.0095507	0.078164	0.063112	0.60403	0.0336971	0.206283
á	0.0118743	0.0115039	0.0345054	0.132297	0.266472	0.244658	0.142631	0.156058
t	0.00776477	0.0033412	0.00567154	0.00953362	0.0384673	0.0727525	0.820593	0.0418757
s	0.00168714	0.00179965	0.0112934	0.00805771	0.095994	0.0624213	0.781904	0.0368424
a	0.000133212	0.000128034	0.0173442	0.00679201	0.0495282	0.0565978	0.848357	0.0211196
n	0.000342431	0.000168087	0.00936326	0.00758299	0.0890409	0.0824453	0.552897	0.25816
g	9.92074e-05	0.000445932	0.00381587	0.00353695	0.0228748	0.0856447	0.652338	0.231245
e	0.000122314	0.000278126	0.00235028	0.00285982	0.0200258	0.0692222	0.524125	0.381016
</S>	0.00185338	0.00276135	0.00250681	0.0126772	0.00830063	0.202033	0.0749181	0.69495
