 	ces	gens	sont	en	train	de	s'	embrasser	car	ils	ne	se	sont	pas	vu	depuis	longtemps	</S>
b	0.391354	0.565242	0.012594	0.00547818	0.00480206	0.00460277	0.00263158	0.00040188	0.00402271	0.0031256	0.000431731	0.00106104	0.00116631	0.00134796	0.000800068	0.000785762	0.000130636	2.17432e-05
a	0.0157263	0.859493	0.00630723	0.00848794	0.105151	0.000660624	0.00038549	0.000132968	0.000217939	0.00177078	7.66269e-05	0.000338679	0.000182749	0.00018204	0.00015959	0.000384481	0.000318917	2.35973e-05
r	0.0118584	0.720183	0.0152871	0.0777042	0.10741	0.00145753	0.00119228	0.00126806	0.00172878	0.0582677	0.000175887	0.00120346	0.000859683	0.000536389	0.000276695	0.00030906	0.000168978	0.000112701
e	0.693118	0.243518	0.0207402	0.0150572	0.00537306	0.00290163	0.00148966	0.0021229	0.00321493	0.00712385	0.00022356	0.00102717	0.000751373	0.000921076	9.70692e-05	0.000756817	0.000217299	0.0013457
b	0.193456	0.0981065	0.389716	0.163272	0.00683148	0.0369375	0.0230065	0.00453525	0.0136016	0.0053225	0.00664317	0.00967353	0.0136514	0.00847956	0.00498866	0.00733368	0.00664032	0.00780481
á	0.0353929	0.0524315	0.264136	0.179951	0.0322766	0.130351	0.0403458	0.00810683	0.0455265	0.010683	0.0208739	0.0319627	0.0176311	0.0262029	0.0215745	0.0338945	0.0153635	0.0332953
b	0.0592591	0.0432968	0.375425	0.260495	0.0468581	0.0420611	0.0223624	0.0080239	0.0105283	0.0242374	0.00577353	0.0110999	0.0120232	0.0142452	0.0145783	0.011878	0.0147611	0.0230935
ó	0.0808382	0.137371	0.141318	0.0969871	0.271002	0.089702	0.036877	0.0404089	0.0144007	0.0281368	0.00819431	0.0139804	0.00469585	0.00493405	0.00475997	0.00313823	0.0170442	0.00621042
b	0.0246497	0.0247245	0.149436	0.227258	0.138141	0.183015	0.114289	0.0228608	0.0148589	0.00329604	0.00657097	0.0177515	0.0124565	0.0150127	0.0107838	0.00976054	0.0104718	0.0146635
á	0.145541	0.0126013	0.109868	0.122932	0.0238319	0.226979	0.18718	0.0477768	0.0397818	0.0106021	0.00795261	0.0180814	0.00991313	0.0105569	0.00598066	0.00610866	0.00525291	0.00905958
a	0.0380542	0.00679017	0.236836	0.214796	0.0119179	0.152692	0.141391	0.0409965	0.0379359	0.0166593	0.0130854	0.0110836	0.0134896	0.0128997	0.010634	0.0132343	0.00726136	0.0202425
b	0.00268141	0.00100201	0.0393247	0.0066101	0.000239457	0.0614151	0.437398	0.35892	0.0132921	0.00137686	0.00678136	0.00649091	0.00504928	0.00935807	0.0228397	0.00233725	0.00566948	0.019214
v	0.0103931	0.0203106	0.0154503	0.0183816	0.0099754	0.0478447	0.185907	0.4331	0.0632416	0.0144607	0.0365731	0.0548627	0.0246961	0.0299534	0.00774281	0.00337598	0.0173426	0.00638757
u	0.00609497	0.01097	0.0268535	0.0888893	0.00104642	0.0451783	0.269825	0.318642	0.0588047	0.0664193	0.0117109	0.0365	0.0154088	0.0195259	0.00810945	0.00535356	0.00476071	0.00590717
b	0.0190446	0.00110847	0.0473117	0.0472191	0.000831829	0.0406563	0.160103	0.290472	0.148603	0.0251863	0.0397344	0.0198201	0.0155238	0.026916	0.0129808	0.00520233	0.00654866	0.0927382
h	0.0542041	0.00201206	0.0331765	0.0303896	0.000134706	0.0703667	0.0854705	0.134815	0.265875	0.0944862	0.0721314	0.0466615	0.040303	0.0397123	0.00767131	0.0121572	0.00410541	0.00632698
á	0.0245073	0.000865933	0.0190038	0.10366	0.000743754	0.0807386	0.104729	0.0369612	0.402673	0.0372774	0.037455	0.0262618	0.0192395	0.0375663	0.00482111	0.0326146	0.00355567	0.0273251
a	0.00227983	0.000147866	0.00880929	0.0060438	0.000129429	0.0204116	0.0584791	0.0394548	0.305886	0.33606	0.0813754	0.0434941	0.0498635	0.0226735	0.00878594	0.00870962	0.00160217	0.00579461
b	0.00219881	0.000951419	0.0146929	0.00307137	9.52684e-05	0.0128631	0.0667405	0.13762	0.116379	0.0247711	0.172144	0.138674	0.109378	0.105069	0.0636877	0.00493679	0.0177154	0.00901153
i	0.0036514	0.00693837	0.00771534	0.00949731	0.000305688	0.00850843	0.0201263	0.0520938	0.0594535	0.0209333	0.12084	0.257673	0.102999	0.182475	0.0718297	0.010102	0.0551687	0.00968922
a	0.00177489	0.00047194	0.00724928	0.0100221	8.20466e-05	0.00353966	0.0270777	0.0684729	0.100479	0.0343373	0.0811271	0.184946	0.0836385	0.180092	0.073716	0.0235896	0.0321282	0.0872562
t	0.00224486	0.000135554	0.0098439	0.0047988	3.32936e-05	0.00478675	0.0144983	0.00573432	0.0558147	0.0840167	0.117678	0.127926	0.212174	0.172646	0.103025	0.0415207	0.00903588	0.0340863
