 	j'	arrose	les	légumes	</S>
n	0.96135	0.018231	0.0184628	0.0014289	0.000527486
g	0.998419	0.000122584	0.00133443	7.09429e-05	5.33825e-05
á	0.992321	0.00587021	0.00105937	0.000723186	2.67624e-05
l	0.606794	0.0985257	0.141504	0.0737946	0.0793812
í	0.321437	0.263	0.0811275	0.00660346	0.327832
i	0.143918	0.258253	0.355688	0.0878879	0.154253
t	0.00692843	0.953534	0.01247	0.010479	0.0165886
u	5.20066e-05	0.988864	0.00183735	0.00595836	0.00328824
r	0.0039087	0.71618	0.081485	0.0741833	0.124243
á	0.0341895	0.256282	0.379076	0.116312	0.21414
á	0.0450497	0.0171825	0.548698	0.355762	0.0333076
a	0.0717057	0.0137783	0.352908	0.499057	0.0625507
t	0.00391518	0.0361606	0.113011	0.779289	0.0676238
ú	0.000297367	0.0226662	0.0398681	0.869965	0.0672038
n	8.86608e-05	0.00980835	0.0856216	0.32917	0.575311
g	0.00122133	0.0138681	0.0745301	0.383366	0.527014
u	0.0386424	0.0335393	0.298186	0.462427	0.167206
m	0.00466041	0.00182982	0.177637	0.0945882	0.721284
á	0.00234643	0.00251618	0.154073	0.193141	0.647924
a	0.0270803	0.0129237	0.157376	0.627254	0.175366
</S>	0.026429	0.100642	0.265258	0.248659	0.359012
