 	pendant	la	grande	saison	sèche	les	femmes	sèchent	du	poisson	</S>
l	0.404245	0.335206	0.129095	0.0675145	0.0160368	0.0344843	0.0113313	0.000490957	0.00140508	0.000150802	4.00764e-05
é	0.412377	0.427385	0.099935	0.0435801	0.00140769	0.00804368	0.00494219	2.29908e-05	0.001367	0.000643086	0.000296617
b	0.217403	0.474557	0.0935211	0.169949	0.00791369	0.0110248	0.00595762	0.000177246	0.00204612	0.00319349	0.0142575
h	0.0286835	0.294018	0.21346	0.294344	0.0590458	0.0403127	0.0217407	0.00549343	0.00240292	0.0299961	0.0105023
ó	0.0420052	0.257102	0.21928	0.291736	0.0906414	0.0426396	0.0217572	0.0147983	0.00140871	0.0041948	0.0144367
y	0.164908	0.148515	0.228895	0.326985	0.0844828	0.0377756	0.00438069	0.000666254	0.000989325	0.000314203	0.00208821
á	0.22205	0.102952	0.129428	0.335756	0.0604238	0.0580946	0.0108693	0.00312984	0.0157638	0.00615784	0.0553743
a	0.316169	0.0453082	0.100205	0.170214	0.0461484	0.251172	0.0630598	0.000329263	0.00360739	0.00243644	0.00135144
y	0.0191024	0.0127022	0.0136264	0.060013	0.461221	0.167608	0.236305	0.0224147	0.00162453	0.00172189	0.00366153
ú	0.0183686	0.00622869	0.00725359	0.0485735	0.127047	0.0550198	0.685562	0.00406829	0.00160557	0.00320341	0.0430693
r	0.0579696	0.0137857	0.0511965	0.0827256	0.106451	0.238473	0.335416	0.00453133	0.00772675	0.00468638	0.0970383
u	0.0509893	0.0439775	0.0649396	0.167012	0.119533	0.350021	0.153573	0.00479764	0.0211622	0.00820293	0.0157925
b	0.0193096	0.00558408	0.0636243	0.0789036	0.13453	0.428302	0.15318	0.0395135	0.0469186	0.00802253	0.0221124
á	0.0385377	0.0227952	0.0165964	0.0695779	0.0927883	0.209005	0.447536	0.0211594	0.0104997	0.0614883	0.0100157
a	0.0196358	0.0117801	0.0625992	0.0477013	0.0495224	0.238211	0.189818	0.19781	0.0471679	0.0756256	0.0601278
b	0.00218208	0.00442314	0.00497792	0.00931491	0.10657	0.0380881	0.0908528	0.668547	0.0208094	0.0142732	0.0399617
h	0.00130392	0.00598846	0.00409926	0.0070675	0.109053	0.0481027	0.0710722	0.681081	0.0154694	0.033414	0.0233489
i	0.000867219	0.00195435	0.0012448	0.00441048	0.259972	0.0377814	0.0528364	0.596588	0.00343735	0.0119524	0.0289557
r	0.00185417	0.000980275	0.00140541	0.00411346	0.0633726	0.0563336	0.118439	0.518497	0.0273722	0.0196645	0.187967
á	0.00418794	0.00352806	0.00449149	0.00742632	0.0123187	0.132644	0.137916	0.113916	0.257858	0.182085	0.143628
a	0.00420894	0.00199418	0.00726844	0.00913714	0.0101899	0.0431563	0.0219206	0.0302965	0.431645	0.32338	0.116803
s	0.0113976	0.00745927	0.0114588	0.0107578	0.0450783	0.0391724	0.0246717	0.0690629	0.113164	0.611649	0.0561277
w	0.0203996	0.00642585	0.00468855	0.00651572	0.0057463	0.0162809	0.058262	0.00716818	0.0542589	0.743305	0.0769486
é	0.00481944	0.000965938	0.00114546	0.00229159	0.000761681	0.00885516	0.0314711	0.000635341	0.116188	0.76651	0.0663563
</S>	0.000823023	0.000564241	0.00140501	0.00219138	0.00547686	0.0200191	0.00733873	0.052411	0.173251	0.173663	0.562857
