 	cette	jeune	fille	est	charmante	</S>
m	0.485585	0.484609	0.0265622	0.00197213	0.000438678	0.000833283
w	0.0265351	0.175794	0.794559	0.000472911	0.000202863	0.00243636
á	0.0530112	0.345912	0.60025	3.90493e-05	0.000667975	0.00011969
n	0.110317	0.77558	0.111096	0.00019897	0.000236307	0.00257188
a	0.0697746	0.311419	0.509642	0.0191163	0.0118236	0.0782253
o	0.705577	0.168313	0.077483	0.031606	0.00892378	0.00809714
y	0.48165	0.0485265	0.154623	0.241194	0.0514496	0.0225576
ú	0.348406	0.176383	0.424021	0.025193	0.0185471	0.00744995
r	0.862439	0.0559435	0.037367	0.0072211	0.00650412	0.0305251
u	0.849784	0.0915168	0.0388579	0.00296649	0.00792267	0.00895181
w	0.104046	0.0409983	0.0689291	0.664653	0.0506129	0.0707612
ó	0.131153	0.0294518	0.0205119	0.287532	0.173498	0.357853
a	0.202455	0.0222308	0.0206376	0.509628	0.045916	0.199133
d	0.00427425	8.91718e-05	0.000406443	0.695439	0.208432	0.091359
í	0.012179	0.00156639	0.00557573	0.33238	0.232494	0.415805
l	0.0293214	0.00383979	0.00519163	0.162171	0.401584	0.397892
a	0.00595903	0.000464198	0.000814434	0.0960736	0.47485	0.421839
l	0.0512884	0.00481335	0.0021277	0.0547728	0.710011	0.176987
e	0.0154134	0.00100873	0.000963007	0.0227043	0.895235	0.0646753
k	0.00549885	0.000136209	0.000353259	0.0371152	0.764656	0.192241
y	0.00420206	5.57483e-05	0.000133253	0.0186654	0.779945	0.196998
έ	0.00413676	5.61799e-05	0.000156766	0.00858673	0.865776	0.121288
r	0.00196477	0.000102339	8.523e-05	0.0141128	0.38791	0.595825
í	0.0100126	0.000191205	0.000517135	0.0396997	0.348208	0.601372
</S>	0.038327	0.00394547	0.00100309	0.0239419	0.155521	0.777262
