 	parmi	ceux	qui	se	querellaient	lequel	s'	est	calmé	avant	</S>
s	0.453781	0.271949	0.0351766	0.0338686	0.113216	0.0349851	0.0177664	0.0246005	0.0125304	0.000617446	0.00150837
á	0.250312	0.182785	0.109846	0.0893692	0.0412797	0.0186014	0.108149	0.102471	0.0393036	0.00529512	0.0525878
b	0.17975	0.178266	0.238426	0.211812	0.014634	0.0185083	0.0764839	0.0688013	0.00920782	0.000802586	0.00330769
a	0.0305777	0.144555	0.0117121	0.0487816	0.725472	0.00217705	0.00583781	0.0107438	0.011709	0.00152499	0.00690931
r	0.0671581	0.299092	0.208137	0.14474	0.206116	0.0109668	0.0221397	0.0224124	0.00220536	0.000464292	0.0165677
e	0.116401	0.177669	0.216273	0.190594	0.0228048	0.0125131	0.112028	0.0869601	0.0135868	0.0015199	0.0496489
b	0.0507996	0.0835102	0.315537	0.202402	0.0340167	0.167036	0.0593317	0.0482867	0.00495411	0.00339612	0.0307295
á	0.0884125	0.28504	0.127381	0.22786	0.120023	0.0242845	0.0242785	0.0303415	0.0223838	0.00173536	0.0482598
á	0.0837234	0.0531013	0.0939919	0.163646	0.365933	0.0810846	0.0588105	0.0477472	0.0085176	0.00103667	0.0424084
d	0.00261896	0.0176488	0.0844785	0.133008	0.0202542	0.481183	0.11023	0.0552323	0.0320681	0.0164296	0.046849
z	0.00541573	0.0262769	0.133457	0.160186	0.0144132	0.243958	0.126022	0.0481834	0.0195633	0.00797376	0.214551
e	0.0371533	0.0298624	0.412259	0.24442	0.00346017	0.0584027	0.105717	0.061342	0.0321398	0.00222676	0.0130165
b	0.00293395	0.0104025	0.058917	0.112061	0.0679943	0.40443	0.16759	0.120415	0.0138283	0.00658333	0.034844
á	0.0455466	0.0537019	0.073566	0.211678	0.21178	0.0942625	0.0800561	0.1104	0.0821919	0.0014507	0.0353653
a	0.0139843	0.00573607	0.03418	0.12658	0.209784	0.0739578	0.191811	0.270758	0.0457108	0.000812649	0.0266853
b	0.00152539	0.00894976	0.00836692	0.0149759	0.0155652	0.0875115	0.186872	0.171289	0.451805	0.034915	0.0182244
a	0.001264	0.00870388	0.00788673	0.0494486	0.103143	0.0138591	0.084562	0.0742297	0.601266	0.0403171	0.0153195
a	7.2891e-05	0.00140005	0.00394985	0.0258346	0.0189989	0.0173993	0.0955967	0.0677303	0.676207	0.0204174	0.0723927
n	0.000920836	0.00197564	0.0183756	0.0304531	0.000994371	0.0333616	0.278681	0.430362	0.164288	0.00366295	0.0369246
a	0.0055524	0.00750032	0.0402326	0.065705	0.00498407	0.019269	0.233953	0.24236	0.228194	0.00236415	0.149886
o	0.000634564	0.000701165	0.00925223	0.025746	0.00431657	0.104039	0.279937	0.414332	0.103845	0.00698517	0.0502123
k	0.00287988	0.012024	0.0191321	0.016122	0.00191451	0.0135434	0.0744922	0.10384	0.411549	0.308398	0.0361046
w	0.000106315	0.00200102	0.00174004	0.00552474	0.00377521	0.0119533	0.0578184	0.0694903	0.629191	0.187934	0.0304666
ω	0.000893992	0.00219118	0.00210106	0.0045776	0.00467548	0.0155508	0.0771112	0.0860859	0.58908	0.0884627	0.12927
i	0.000320244	0.000325645	0.00263434	0.010244	0.00505708	0.0535109	0.118299	0.185729	0.410166	0.100916	0.112798
o	0.0106887	0.00634924	0.021839	0.0190405	0.00825769	0.0215965	0.0885856	0.182012	0.105917	0.100469	0.435244
b	0.00112488	0.00861695	0.0146149	0.0114249	0.000804152	0.00195637	0.0150259	0.0225168	0.0423426	0.733679	0.147894
o	0.00168523	0.026557	0.0217087	0.0567442	0.035218	0.00538561	0.0470377	0.0692476	0.0589017	0.606838	0.0706761
s	0.000351262	0.00219026	0.00260998	0.00456136	0.00166785	0.00239751	0.019002	0.0211463	0.167384	0.646907	0.131782
ó	0.000602105	0.000633742	0.00107208	0.00129377	0.000102409	0.00114688	0.00534134	0.0151352	0.14306	0.720308	0.111305
á	0.00481294	0.00337351	0.0108383	0.0100869	0.000772002	0.00933397	0.0431308	0.070025	0.0343265	0.157488	0.655813
d	0.0141622	0.00602188	0.0431517	0.0154254	0.000799136	0.0175652	0.030634	0.0255082	0.0153261	0.132745	0.698661
z	0.00243505	0.00773507	0.0605443	0.0282877	6.71907e-05	0.00160676	0.0219556	0.0143909	0.00362652	0.0434138	0.815937
e	0.0254003	0.0277361	0.171776	0.0463479	0.000208844	0.00125347	0.032182	0.0333526	0.0223297	0.049225	0.590189
n	0.000239649	0.000478158	0.00742079	0.00576323	8.04368e-05	0.0027651	0.0236712	0.0322511	0.0221193	0.233672	0.671539
d	0.00150718	0.00261544	0.00870964	0.00804282	0.000311634	0.00217984	0.0127945	0.0128521	0.0324211	0.177853	0.740713
a	0.000983098	0.00102176	0.00706176	0.00713629	0.000334846	0.00253869	0.0105888	0.00891125	0.0130561	0.0636209	0.884747
</S>	0.000586776	0.000354296	0.000790859	0.00166715	0.000328239	0.00385402	0.0112182	0.0190122	0.0218868	0.0592426	0.881059
