 	ce	piégeur	de	hérissons	me	les	vend	si	chers	</S>
o	0.939655	0.0429601	0.00520194	0.00720215	0.00150684	0.000893797	0.00129529	0.000586858	0.00061356	8.47538e-05
b	0.236916	0.742363	0.00872015	0.00276018	0.00173096	0.000903939	0.00378819	0.0012479	0.000367504	0.00120199
h	0.29995	0.584724	0.0200409	0.0589937	0.00243556	0.00292444	0.0234833	0.00283576	0.00326172	0.00135068
í	0.102834	0.696142	0.0328482	0.121944	0.00604093	0.00420064	0.00793669	0.00857561	0.00691897	0.0125597
i	0.215099	0.613108	0.0819281	0.0234162	0.0027468	0.00808977	0.00369756	0.0098537	0.00516836	0.0368934
a	0.25526	0.260541	0.305267	0.035764	0.0204084	0.0305752	0.00838059	0.0239547	0.00403523	0.0558141
m	0.195884	0.0617668	0.310985	0.111659	0.0600922	0.0529012	0.0231273	0.0435539	0.0138148	0.126216
b	0.04822	0.0938776	0.164867	0.616694	0.019102	0.0379981	0.000167382	0.0046326	0.00313029	0.011311
é	0.00398305	0.0261742	0.030618	0.925709	0.00706829	0.0043189	4.43232e-05	0.000402749	0.00101992	0.000661563
b	0.0573228	0.117721	0.144187	0.650291	0.00404868	0.0116611	0.000864623	0.00227822	0.00667496	0.00495063
h	0.0137813	0.0248335	0.144552	0.749677	0.0175353	0.019045	0.00102713	0.00463503	0.00264497	0.0222684
á	0.0251158	0.0155675	0.0442278	0.860861	0.0339956	0.0040986	0.000180883	0.000827678	0.00146291	0.0136626
w	0.0165117	0.00709344	0.347016	0.162546	0.304398	0.106783	0.00646601	0.0233173	0.0037559	0.0221127
ó	0.0202765	0.00472038	0.240586	0.229203	0.284371	0.128059	0.0105697	0.042087	0.0056585	0.0344689
l	0.0123385	0.00237556	0.1051	0.0509222	0.220024	0.195421	0.0977764	0.0782832	0.0052587	0.2325
á	0.0133113	0.00710256	0.0471818	0.0405875	0.0914786	0.132167	0.143929	0.0789885	0.00994806	0.435306
a	0.0184156	0.00261742	0.0582401	0.0576222	0.15264	0.343599	0.105584	0.114315	0.0561937	0.0907737
k	0.00614962	0.0207036	0.0173549	0.0371918	0.0100069	0.161133	0.62904	0.0780698	0.00153896	0.0388116
i	0.000306772	0.00999183	0.028857	0.0241198	0.00222006	0.0688061	0.776371	0.0338414	0.000604053	0.0548824
r	0.00299434	0.0104287	0.0934736	0.170213	0.00742216	0.143093	0.395483	0.086631	0.0030327	0.0872287
á	0.00350003	0.00236474	0.0508494	0.193811	0.027324	0.266593	0.0699961	0.0889201	0.00337853	0.293263
n	0.00299427	0.000661212	0.0135104	0.0206188	0.136912	0.367019	0.0360188	0.287456	0.0888636	0.0459467
g	0.00306733	0.000260504	0.00527364	0.128346	0.573291	0.182778	0.00412072	0.0336033	0.0411909	0.0280689
á	0.00172588	0.000377797	0.0052174	0.0451774	0.73634	0.0905955	0.0372217	0.025874	0.0250371	0.032433
m	0.00509651	0.000500475	0.0119295	0.00790773	0.0677489	0.215968	0.11984	0.452786	0.06284	0.0553833
b	0.00233613	0.00205881	0.0148798	0.0142413	0.0124449	0.12181	0.00696183	0.32712	0.190617	0.30753
é	0.00406889	0.00116926	0.00976157	0.0642356	0.00379369	0.199888	0.0112963	0.311603	0.348943	0.0452407
b	0.00225079	0.000562114	0.00924883	0.00884571	0.00520264	0.113163	0.0195642	0.428526	0.234829	0.177807
h	0.00212495	0.000766692	0.0103837	0.0170317	0.0072602	0.190122	0.0828982	0.314788	0.0733066	0.301318
á	0.00528565	0.00152738	0.00932433	0.0871645	0.00761485	0.0649743	0.0118408	0.142289	0.380293	0.289686
l	0.00259669	0.00040796	0.00439392	0.00305907	0.00807152	0.0341563	0.0131622	0.354261	0.108832	0.47106
a	0.00283403	0.00129598	0.00639539	0.00585409	0.0139802	0.0416447	0.0429405	0.184302	0.0355394	0.665213
t	0.000813234	0.000153561	0.00418557	0.00138577	0.00629845	0.011079	0.0551766	0.154413	0.0433693	0.723125
á	0.00322887	0.00142028	0.0188276	0.00674816	0.00735409	0.0562795	0.0923176	0.431634	0.123921	0.258269
l	0.00368211	0.00107746	0.0237104	0.00372152	0.0272668	0.0360101	0.101681	0.144848	0.147436	0.510567
e	0.000556483	0.000240593	0.00316983	0.0034773	0.00422878	0.026907	0.0735495	0.198015	0.0692316	0.620624
</S>	0.00042907	0.000264308	0.00587187	0.0018154	0.00750457	0.0202879	0.0280117	0.15414	0.0236533	0.758022
