 	cette	manière	d'	enfoncer	la	pointe	abime	la	planche	</S>
e	0.458151	0.395729	0.0578172	0.0732315	0.00626663	0.00167185	0.000374139	0.00456825	0.000211416	0.00197893
k	0.00198473	0.00176768	0.0401341	0.928885	0.0229462	0.00107781	0.00138461	0.0011379	0.000564753	0.000117417
w	0.00064547	0.000984097	0.0170703	0.945467	0.0202056	0.0058863	0.00706128	0.000540426	0.00146535	0.000674164
é	0.000171598	0.0156402	0.0607145	0.836825	0.0577092	0.0263984	0.000765753	0.000254016	0.00138769	0.000134088
r	0.00493429	0.0163868	0.0235871	0.86874	0.0332547	0.015746	0.033392	0.000323939	0.000632807	0.00300211
í	0.00755224	0.00257334	0.0233983	0.64502	0.0719959	0.127185	0.0257611	0.00372707	0.00174817	0.0910383
r	0.00670364	0.00170644	0.055997	0.0411012	0.177255	0.457267	0.101136	0.073831	0.00365338	0.081349
í	0.00482837	0.000599904	0.0187068	0.0126026	0.0399026	0.129422	0.0900622	0.0567344	0.00940928	0.637731
y	0.0701642	0.00807562	0.0638004	0.0714256	0.142109	0.301918	0.185824	0.0549887	0.0129074	0.0887883
á	0.0824049	0.00978979	0.16405	0.0540152	0.0778995	0.056351	0.33644	0.0773303	0.00605467	0.135665
t	0.0277838	0.0103833	0.0993075	0.251817	0.252582	0.236552	0.0815994	0.00888063	0.0135097	0.0175853
s	0.00349081	0.00171352	0.0454128	0.11079	0.243747	0.452861	0.11148	0.00230562	0.0146749	0.0135239
έ	0.000647844	0.00154446	0.027804	0.197925	0.256214	0.397696	0.0817303	0.00613355	0.00846035	0.0218444
r	0.00059267	0.00700697	0.0433045	0.0383151	0.192029	0.304348	0.00948902	0.00796281	0.0494635	0.347489
έ	0.00229186	0.00227689	0.0109736	0.0203476	0.132034	0.539769	0.0347264	0.0560143	0.0119457	0.189621
y	0.00306572	0.000364354	0.0334369	0.00917046	0.0964073	0.275618	0.419919	0.0776013	0.00617156	0.078245
é	0.383345	0.0606411	0.0972174	0.00774335	0.0870636	0.0898144	0.0955331	0.0381948	0.0190523	0.121395
y	0.1947	0.0252861	0.0757573	0.0218048	0.115696	0.158508	0.179823	0.0960378	0.0874015	0.0449867
é	0.0679675	0.121639	0.0997122	0.0100851	0.065358	0.0426466	0.226247	0.0953257	0.164574	0.106445
e	0.0276734	0.0326581	0.0597412	0.00688256	0.0711606	0.110374	0.0657729	0.337153	0.141739	0.146845
p	0.00171424	0.00132392	0.0184969	0.0021141	0.0119007	0.0129401	0.764885	0.0636632	0.0325658	0.0903961
a	3.11222e-05	0.000138995	0.00175612	0.00225441	0.00171553	0.00311462	0.982464	0.00452864	0.000364596	0.00363225
s	0.000202932	0.000113805	0.00245669	0.0056149	0.0100826	0.0180042	0.942498	0.014907	0.000780895	0.00533887
á	0.00512908	0.001584	0.0079154	0.00671019	0.0157749	0.0361076	0.677069	0.0898909	0.00444574	0.155373
a	0.0149351	0.00226501	0.0190572	0.00917028	0.0274654	0.0519467	0.114111	0.382254	0.122913	0.255883
b	0.0100186	0.00114342	0.0185873	0.00569736	0.0172194	0.013215	0.0265761	0.263179	0.407807	0.236557
á	0.00225355	0.00425817	0.0150385	0.00445796	0.0298367	0.0285954	0.0114711	0.175334	0.671948	0.0568067
y	0.000191677	0.00210059	0.00154499	0.00142597	0.00540802	0.0169376	0.00124657	0.0833339	0.83142	0.0563912
á	0.00275479	0.00140535	0.00755262	0.00638346	0.0161895	0.0153591	0.118416	0.296236	0.372723	0.16298
</S>	0.00397868	0.000706428	0.00766274	0.00185968	0.0159416	0.0146509	0.00895928	0.231066	0.276929	0.438245
