 	on	ne	danse	pas	en	suivant	les	pas	des	autres	</S>
a	0.263131	0.141739	0.122442	0.0758241	0.0689359	0.120178	0.0608309	0.0637095	0.0617132	0.0199619	0.00153486
l	0.0317001	0.130127	0.100951	0.0882709	0.126567	0.20078	0.0406736	0.0290342	0.0220819	0.223204	0.00661076
í	0.0165009	0.178674	0.089763	0.0637452	0.109755	0.0965805	0.0422013	0.0620447	0.0396745	0.0166202	0.28444
n	0.0369889	0.121742	0.101443	0.0406093	0.0477031	0.209196	0.0297174	0.0370716	0.0461733	0.0593834	0.269972
g	0.162278	0.392587	0.0703687	0.0469388	0.0419503	0.0934658	0.0291148	0.0299827	0.0366674	0.0337625	0.0628839
a	0.0510351	0.238444	0.0904233	0.0373906	0.103071	0.230944	0.0452954	0.0345219	0.0282604	0.0385925	0.102022
á	0.0448727	0.21243	0.0359458	0.120807	0.157961	0.0423829	0.086914	0.0564785	0.0996286	0.0154328	0.127147
d	0.0241037	0.222064	0.132155	0.150055	0.185969	0.0719589	0.0419359	0.0300511	0.0354534	0.00745387	0.0987991
i	0.00528728	0.105377	0.0487575	0.0922976	0.194134	0.102999	0.0588011	0.0489077	0.0607827	0.0100095	0.272646
í	0.0119118	0.0796457	0.0722957	0.0766141	0.155204	0.196831	0.123464	0.0492146	0.0567864	0.0190447	0.158988
m	0.00881622	0.0458385	0.0909662	0.120632	0.148652	0.259991	0.138952	0.0761083	0.0524402	0.0125064	0.0450981
é	0.00233689	0.0136938	0.0103697	0.0219025	0.0885623	0.227945	0.210207	0.0544188	0.137068	0.0485469	0.184948
k	0.00151598	0.0134934	0.0332036	0.0460642	0.0851891	0.361349	0.240583	0.0717783	0.0446701	0.054872	0.0472818
o	0.00222726	0.0102137	0.0398078	0.0668399	0.137386	0.2408	0.187119	0.127607	0.0386036	0.0323519	0.117043
o	0.000627893	0.0054753	0.0246689	0.045459	0.158379	0.204836	0.291364	0.129817	0.0485238	0.0167124	0.0741365
y	0.001041	0.00952427	0.0100577	0.0378134	0.0555395	0.186758	0.218971	0.229824	0.176139	0.0131437	0.0611875
ó	0.0066717	0.0774193	0.0126714	0.0685007	0.08487	0.113059	0.107354	0.122927	0.264256	0.0654937	0.076778
b	0.0130058	0.0184961	0.0169907	0.0341722	0.0434553	0.165045	0.136049	0.131241	0.211851	0.176787	0.0529057
i	0.0170016	0.0118483	0.0762999	0.0362993	0.0318064	0.148058	0.0872934	0.144502	0.0676653	0.36089	0.018336
a	0.000607642	0.00160061	0.0190641	0.0225105	0.0252877	0.0777734	0.15681	0.211582	0.0969806	0.278846	0.108937
o	0.000961317	0.00393679	0.00474263	0.0124874	0.0106782	0.0223864	0.0803863	0.228113	0.448352	0.0898983	0.0980572
b	0.000271083	0.018762	0.00780203	0.0204156	0.0449995	0.128435	0.0398671	0.0911627	0.292796	0.194385	0.161104
í	0.000189951	0.00476193	0.0230092	0.0159765	0.0453708	0.222928	0.0624111	0.101586	0.0855967	0.32894	0.109229
n	0.000455975	0.0025893	0.00929774	0.0149672	0.0132408	0.0414181	0.0405817	0.152771	0.0939604	0.22617	0.404548
a	0.000747637	0.00323721	0.00367793	0.0127701	0.0123751	0.0298368	0.0343714	0.177375	0.163564	0.305425	0.256621
k	0.000311632	0.00196925	0.00173684	0.0071436	0.00631563	0.0101099	0.0515669	0.14305	0.301744	0.160746	0.315306
a	0.00201328	0.00606271	0.0144701	0.0376912	0.0141184	0.00900952	0.0235652	0.362711	0.338477	0.0579582	0.133923
á	0.000175856	0.000594959	0.00179666	0.00253162	0.00199963	0.00682635	0.0227327	0.108624	0.0919305	0.179044	0.583744
</S>	0.00219104	0.0053345	0.00541792	0.00811777	0.0057061	0.00668145	0.0151358	0.0399391	0.164861	0.127666	0.618949
