 	ils	avaient	offert	aux	étrangers	un	boeuf	</S>
b	0.968615	0.00656949	0.00794271	0.00169415	0.00321026	0.00815391	0.00301924	0.000795695
á	0.964696	0.00293418	0.0242975	0.000991347	0.00401053	0.00258471	0.00039001	9.54671e-05
a	0.992067	0.00298071	0.00392092	0.000498668	7.61632e-05	0.000104966	9.77903e-05	0.000253587
á	0.573808	0.250702	0.119258	0.0386091	0.00146802	0.00768849	0.000626597	0.00784036
b	0.00377149	0.588448	0.298112	0.0871168	0.0134341	0.00567728	0.000162999	0.00327764
o	0.00386317	0.0810554	0.670553	0.149797	0.0703047	0.0102949	0.000170879	0.0139606
n	0.0057138	0.27902	0.49577	0.145448	0.0578592	0.00891746	0.000204752	0.00706685
d	0.0138461	0.265277	0.424446	0.1992	0.0616256	0.0194102	0.001929	0.0142654
á	0.00628214	0.443664	0.10517	0.34385	0.0372364	0.0201345	0.00231729	0.0413464
a	0.0111041	0.0870606	0.0606996	0.616099	0.120653	0.0592992	0.0244184	0.020666
b	0.00346737	0.0354346	0.0156127	0.165311	0.712954	0.0567973	0.00607363	0.00434933
v	0.000933718	0.00253195	0.0207129	0.0356135	0.88164	0.0485032	0.00168778	0.00837711
u	0.00086874	0.00118034	0.0281443	0.0333889	0.8808	0.0485693	0.00182751	0.00522093
r	0.000441171	0.00897113	0.0038043	0.0711986	0.435591	0.281268	0.0099566	0.188769
u	0.00197227	0.0132563	0.00254774	0.0859101	0.11863	0.393587	0.182116	0.20198
m	0.00170626	0.00181765	0.00270282	0.0191962	0.177571	0.448336	0.0943316	0.254338
ó	0.00326409	0.0166225	0.001602	0.0140768	0.0399028	0.372725	0.196231	0.355576
n	0.0045201	0.0143065	0.00370434	0.00972882	0.0386614	0.193943	0.685122	0.0500138
g	0.000462119	0.00153849	0.000557841	0.00106919	0.00115286	0.00737148	0.973915	0.0139331
w	0.000231608	0.000616701	0.000334945	0.000770923	0.00122865	0.00800131	0.981026	0.0077898
έ	5.74451e-05	0.000191926	9.37888e-05	0.000417664	0.00172503	0.00687355	0.982623	0.00801718
m	3.8226e-06	0.000526716	0.000382562	0.00162021	0.033638	0.0703659	0.291695	0.601768
b	0.000286978	0.00162868	0.000679017	0.00492342	0.0276635	0.177276	0.243602	0.54394
ε	0.00177625	0.0002989	0.00134204	0.00351469	0.0550356	0.202217	0.625909	0.109906
</S>	0.00105255	0.0017638	0.00504631	0.0077178	0.0262267	0.132736	0.115122	0.710335
