 	le	brouillard	est	tombé	après	la	pluie	</S>
l	0.424291	0.475127	0.0814012	0.00895124	0.00435855	0.0052062	0.000504776	0.000160358
e	0.356629	0.53345	0.0395756	0.00835795	0.0352117	0.0223643	0.002684	0.00172654
b	0.244357	0.479949	0.103175	0.0269717	0.0629821	0.0301346	0.0098724	0.0425576
o	0.0421185	0.82633	0.044472	0.0132382	0.00708091	0.00572382	0.0383692	0.0226669
n	0.0703687	0.705144	0.052285	0.0476334	0.0110193	0.00890337	0.0253095	0.0793372
g	0.668893	0.207109	0.00707276	0.00950922	0.0307323	0.0231308	0.0307684	0.0227843
i	0.184042	0.770274	0.0113406	0.00308822	0.0243474	0.0024418	0.000368999	0.00409678
í	0.118621	0.0284305	0.717655	0.0739949	0.0207512	0.0220245	0.000887662	0.0176347
y	0.0181695	0.00272385	0.262577	0.580982	0.0901297	0.0243662	0.00263528	0.0184166
ε	0.00747277	0.00267475	0.13469	0.465113	0.293712	0.0380387	0.00175727	0.0565413
i	0.0282829	0.00825832	0.220797	0.39878	0.157538	0.109042	0.00306785	0.074233
o	0.0200961	0.00318793	0.289991	0.269304	0.219715	0.146162	0.0147533	0.0367914
n	0.00285225	0.00433363	0.0105309	0.175696	0.57085	0.121522	0.0973643	0.0168507
g	0.00459864	0.0407116	0.00705666	0.0262567	0.82976	0.0318629	0.0247486	0.0350044
ω	0.00667537	0.138965	0.0113113	0.0136807	0.783095	0.0245211	0.0121918	0.00955977
n	0.00973377	0.0687472	0.0155592	0.00905288	0.546662	0.170106	0.122278	0.0578606
g	0.0184594	0.00947969	0.0264387	0.0266795	0.449395	0.165514	0.0538525	0.250181
ω	0.0944273	0.0892522	0.0492185	0.0181971	0.510837	0.123396	0.0484167	0.0662554
m	0.0156334	0.00145426	0.0658389	0.0253932	0.22573	0.554077	0.0505439	0.0613289
á	0.0824606	0.00325815	0.0246095	0.00376612	0.0048505	0.24801	0.281016	0.352029
m	0.0251618	0.00296065	0.038209	0.0220407	0.0649042	0.32821	0.490668	0.0278451
b	0.00282733	0.00121206	0.00482477	0.00191191	0.0017324	0.060888	0.814117	0.112487
v	0.000338585	0.00111289	7.90457e-05	0.000164685	0.000722727	0.00377093	0.982129	0.0116821
ú	0.000394897	0.00231995	0.000145263	0.00026436	0.00119259	0.0054512	0.951024	0.0392074
á	0.0130264	0.0198866	0.0195553	0.0399817	0.0550085	0.0508833	0.275617	0.526041
</S>	0.00645376	0.00164031	0.01632	0.00703764	0.0493454	0.268701	0.143387	0.507116
