 	cette	plume	rouge	est	celle	du	péroquet	</S>
l	0.287117	0.449254	0.118427	0.0147246	0.0225148	0.0279311	0.0743189	0.00571232
e	0.29248	0.388292	0.105558	0.0421747	0.0786092	0.0707013	0.018202	0.00398269
t	0.182417	0.565726	0.0991012	0.0461852	0.0669521	0.011874	0.0138619	0.0138825
s	0.0571481	0.615928	0.0997837	0.0781863	0.0378458	0.0086555	0.077571	0.0248815
á	0.131716	0.70239	0.0908874	0.0167298	0.00985085	0.0039207	0.033349	0.011157
l	0.0943644	0.175739	0.0522322	0.0332396	0.0229129	0.0220695	0.00712498	0.592318
á	0.104569	0.316556	0.324666	0.0576249	0.0384925	0.0437078	0.0047531	0.109632
l	0.126929	0.191172	0.478298	0.121753	0.0413397	0.0226852	0.00424102	0.0135816
á	0.080944	0.0700625	0.345068	0.185807	0.101874	0.0340902	0.00753589	0.174618
t	0.47838	0.172006	0.259039	0.0287002	0.0217626	0.0184233	0.0148756	0.00681377
s	0.0697652	0.183984	0.138251	0.341585	0.10035	0.0148527	0.138393	0.0128201
ω	0.0455576	0.0578269	0.174218	0.253984	0.140952	0.0615602	0.20143	0.0644708
d	0.0697239	0.0190802	0.266574	0.238606	0.198342	0.135518	0.0285197	0.0436361
í	0.0180485	0.00123267	0.0281916	0.340932	0.423201	0.0567892	0.0160564	0.115549
i	0.0075283	0.00360141	0.0826212	0.313715	0.207028	0.103157	0.106218	0.17613
l	0.0086781	0.00729995	0.0381773	0.201946	0.340853	0.0840511	0.0653978	0.253596
á	0.0082823	0.00504998	0.0201166	0.148143	0.345667	0.090208	0.0565056	0.326028
k	0.0127717	0.0067491	0.0371026	0.047192	0.216337	0.270229	0.281517	0.128101
o	0.000842097	0.000813849	0.000759472	0.0134496	0.016915	0.00365522	0.946413	0.0171519
s	0.000208091	6.06758e-05	0.000809078	0.00686164	0.00732609	0.00151108	0.966395	0.0168289
o	0.00896776	0.000637603	0.00772479	0.0334185	0.220175	0.0674955	0.460432	0.201149
</S>	0.00977962	0.000778265	0.0182811	0.0419661	0.109631	0.111604	0.0698805	0.638079
