 	notre	champ	de	chasse	n'	était	pas	giboyeux	</S>
l	0.246458	0.399523	0.229943	0.0629899	0.0294904	0.00809464	0.0221233	0.000148469	0.00122889
a	0.0442092	0.390705	0.316996	0.0466787	0.0943604	0.0447988	0.0544814	0.00157952	0.00619118
á	0.0137536	0.146937	0.0873326	0.0265973	0.0716813	0.170976	0.059911	0.385866	0.0369449
l	0.252119	0.332765	0.140793	0.0271741	0.0137083	0.0225423	0.0149086	0.0240156	0.171975
í	0.0980595	0.18164	0.174377	0.0227236	0.027625	0.0474667	0.0230023	0.122917	0.302189
í	0.426424	0.103624	0.163832	0.00907612	0.0110542	0.0200333	0.0449726	0.144929	0.0760547
b	0.215081	0.062933	0.392753	0.123372	0.0486131	0.0297344	0.0129705	0.0197445	0.0947992
e	0.082885	0.00847253	0.140229	0.650498	0.0723946	0.0231428	0.00996419	0.00326912	0.00914465
n	0.0247713	0.00530807	0.371548	0.33952	0.102109	0.043342	0.00537482	0.00597161	0.102055
g	0.173196	0.0733365	0.496213	0.0950445	0.0595634	0.0286689	0.0142298	0.00379039	0.0559573
í	0.164391	0.330806	0.36762	0.0470085	0.022197	0.00718776	0.0083775	0.00203989	0.0503723
b	0.141872	0.0304573	0.502377	0.167659	0.0731906	0.0182664	0.0452935	0.00219989	0.0186838
í	0.615116	0.00142738	0.107433	0.166615	0.0725237	0.0255004	0.00408589	0.00354041	0.00375876
s	0.929716	0.00309554	0.0331552	0.0137597	0.00817248	0.00456995	0.00184743	0.00254279	0.00314115
í	0.147878	0.00312088	0.257582	0.214026	0.158459	0.119617	0.0347081	0.00974318	0.0548669
í	0.0191028	0.00126694	0.211424	0.2175	0.25203	0.136562	0.0615246	0.0248555	0.0757338
d	0.00349237	0.00176519	0.0782936	0.229445	0.453079	0.143025	0.0454632	0.0133988	0.0320373
z	0.00668099	9.00293e-05	0.0273582	0.0687738	0.277623	0.361193	0.0514866	0.0197305	0.187063
e	0.00614028	0.000188535	0.0272428	0.0278237	0.255188	0.499239	0.0898441	0.0438707	0.0504625
e	0.0200642	0.000252527	0.0357649	0.0703941	0.200714	0.245232	0.302068	0.0302478	0.095263
l	0.0073571	0.00129665	0.0156599	0.0697263	0.226161	0.244236	0.076199	0.0999129	0.25945
a	0.00650863	0.000119781	0.00888169	0.04807	0.152437	0.189566	0.0892802	0.0383396	0.466797
a	0.000916043	0.000111908	0.00533051	0.0306803	0.0695337	0.100802	0.0864687	0.135204	0.570953
</S>	0.00215786	6.60985e-05	0.00745897	0.011659	0.075293	0.0940477	0.198587	0.0213008	0.58943
