 	la	soupe	du	poulet	est	alléchante	</S>
s	0.319749	0.289339	0.266635	0.109314	0.0146463	9.06174e-05	0.000226742
ú	0.0509555	0.755708	0.158608	0.0143389	0.00548331	0.00623993	0.00866615
b	0.0457254	0.653547	0.174607	0.0458972	0.0140031	0.00199532	0.0642245
h	0.0589499	0.115527	0.478173	0.305129	0.0130503	0.0010527	0.0281185
u	0.304277	0.358858	0.228742	0.0815701	0.0162829	0.00246139	0.00780831
l	0.128558	0.0501109	0.536071	0.16107	0.0934533	0.000345022	0.0303916
á	0.177988	0.0228564	0.340221	0.0931618	0.0734465	0.0171573	0.275168
t	0.272445	0.0592709	0.15812	0.420916	0.0623999	0.0166779	0.0101702
s	0.017984	0.0224442	0.0921348	0.794468	0.028496	0.0290035	0.0154693
ó	0.00554225	0.0126815	0.0532293	0.874747	0.0376547	0.00487904	0.0112663
s	0.0116126	0.0466669	0.11754	0.733881	0.0473276	0.00799956	0.0349724
á	0.0282368	0.0371359	0.107835	0.626422	0.117737	0.014147	0.0684866
í	0.0126505	0.027098	0.137227	0.10497	0.623074	0.0374338	0.0575462
d	0.00806563	0.0026343	0.0350677	0.0631177	0.721987	0.126293	0.0428347
í	0.0164366	0.0258696	0.0212118	0.0216398	0.361186	0.134502	0.419154
l	0.00641429	0.00609931	0.0411008	0.0379764	0.341074	0.265267	0.302068
a	0.00163877	0.00377953	0.0150808	0.0119683	0.159269	0.51752	0.290743
m	0.00308325	0.0020083	0.00658061	0.01635	0.0854019	0.824548	0.0620275
w	0.000471335	0.00432397	0.00290211	0.00328479	0.0440842	0.882077	0.0628568
á	0.00250746	0.00526027	0.00273647	0.0158506	0.078274	0.736018	0.159353
n	0.00965309	0.00691551	0.00725983	0.012432	0.0463118	0.309573	0.607855
y	0.0154425	0.0446785	0.0294691	0.0533135	0.117751	0.436328	0.303017
á	0.00444111	0.0184372	0.0105809	0.0247444	0.0410666	0.545162	0.355568
á	0.00770209	0.00446985	0.0214384	0.0167174	0.202492	0.283582	0.463597
</S>	0.0228437	0.0163116	0.0748908	0.0559103	0.251625	0.208459	0.369959
