 	j'	ai	eu	une	forte	émotion	</S>
n	0.632155	0.183557	0.0588151	0.0756506	0.0199947	0.0268006	0.0030265
g	0.848023	0.142583	0.0063593	0.00278004	0.000113942	9.14324e-05	4.90304e-05
á	0.452377	0.362524	0.136354	0.0357819	0.0119895	0.00086425	0.000108818
o	0.0332888	0.161354	0.374887	0.171625	0.182228	0.017382	0.059235
l	0.0018909	0.00801767	0.200353	0.203374	0.55259	0.0241312	0.00964278
ó	0.00225551	0.0190835	0.134019	0.231591	0.561721	0.0386989	0.0126308
n	0.000114505	0.00261348	0.0708001	0.391254	0.518444	0.0125181	0.00425523
g	0.00144675	0.00973038	0.0813525	0.463843	0.361646	0.0431795	0.038802
ó	0.00501308	0.0272311	0.0736104	0.26935	0.452567	0.0811625	0.0910652
ó	0.0219858	0.0955354	0.0835662	0.190618	0.227254	0.249692	0.131348
k	0.000314918	0.00246973	0.0106011	0.069366	0.12113	0.666751	0.129367
y	2.98838e-06	4.15586e-05	0.000951815	0.0373172	0.151227	0.663934	0.146526
é	7.09366e-06	0.000123292	0.00245282	0.0767416	0.0995328	0.682426	0.138716
n	3.39191e-05	0.000287513	0.00556512	0.0698994	0.03875	0.541312	0.344152
i	0.000170725	0.00131202	0.00753577	0.0577023	0.0334713	0.557076	0.342732
i	0.000827778	0.0073345	0.0184492	0.0616091	0.0205452	0.24204	0.649194
</S>	0.00055344	0.00249471	0.00461996	0.0221842	0.0182773	0.207668	0.744203
