 	sa	manière	de	cuire	le	safou	est	hors	du	commun	</S>
e	0.347751	0.191916	0.17628	0.101386	0.0917652	0.0148615	0.0170928	0.0501763	0.00840612	6.15453e-05	0.000303978
k	0.00434918	0.00869306	0.0107323	0.677215	0.281199	0.00579091	0.00550834	0.00143094	0.00151402	0.00313914	0.000427852
a	0.00334625	0.0542248	0.00320365	0.839912	0.0798262	0.0122786	0.0019621	0.000494145	0.00049821	0.00339457	0.000859473
n	0.00254006	0.126404	0.033426	0.421624	0.380724	0.0281295	0.00216739	0.000530807	0.00208203	0.00108415	0.00128854
g	0.0432242	0.09645	0.0151596	0.463356	0.288976	0.0510345	0.00395675	0.00118409	0.00261791	0.00227508	0.0317668
í	0.0508678	0.405601	0.0290199	0.0722701	0.36835	0.052831	0.0039643	0.0015361	0.00146728	0.000566255	0.0135264
l	0.00469954	0.002652	0.0339455	0.0277526	0.0621904	0.0545001	0.0143298	0.00511223	0.0378188	0.0540572	0.702942
í	0.144095	0.0216986	0.0867975	0.0461407	0.0469607	0.0913462	0.0460638	0.026154	0.0595784	0.0935022	0.337662
y	0.316406	0.0502708	0.279734	0.0843106	0.0849375	0.0709987	0.0331317	0.00485992	0.0340442	0.00425853	0.0370478
á	0.038717	0.0195813	0.14803	0.138143	0.130985	0.08466	0.0782683	0.0158863	0.0397178	0.120934	0.185076
w	0.0275602	0.0143806	0.0683467	0.17133	0.236243	0.136421	0.0886732	0.0533065	0.0245523	0.0973101	0.0818763
a	0.0123581	0.0112675	0.0486176	0.551567	0.103063	0.080899	0.0358268	0.0175088	0.0368774	0.0425714	0.0594431
y	0.00275367	0.00272701	0.21172	0.124206	0.151295	0.313209	0.0745767	0.02568	0.0424762	0.0127319	0.0386247
á	0.150075	0.0380411	0.0751674	0.136951	0.171179	0.139906	0.169948	0.0115037	0.0386575	0.0514877	0.0170836
s	0.0247579	0.0108753	0.0431246	0.0440732	0.0792941	0.127059	0.332063	0.185169	0.105464	0.038562	0.00955727
á	0.00435547	0.00280534	0.00716729	0.00139461	0.0289599	0.0430868	0.282039	0.569597	0.0176306	0.0350233	0.00794046
á	0.0218456	0.00878785	0.0432756	0.0103705	0.0407198	0.0541151	0.3951	0.17486	0.129765	0.091516	0.0296447
é	0.00440444	0.00340647	0.0265173	0.0101498	0.0200026	0.0397234	0.166373	0.401674	0.267704	0.0373813	0.0226639
d	0.00404653	0.00383975	0.0254586	0.00684974	0.0191997	0.0239964	0.0247592	0.297232	0.404627	0.155455	0.0345367
í	0.000842967	0.00176015	0.00472195	0.000393356	0.00544503	0.0137182	0.23781	0.375266	0.186938	0.084039	0.0890651
l	0.00463323	0.00202221	0.0108453	0.000907402	0.0030501	0.00770021	0.112273	0.212621	0.369073	0.0982923	0.178583
a	0.00387784	0.000900321	0.012991	0.00318705	0.00546305	0.0108522	0.0242268	0.044227	0.533597	0.154133	0.206545
m	0.0107776	0.00135381	0.00517609	0.00254289	0.00410264	0.00390593	0.007248	0.0207878	0.0906824	0.78604	0.0673825
w	0.000157783	0.00026453	0.000157911	0.00020594	0.000959317	0.000234607	0.00278272	0.00285476	0.00434745	0.976162	0.0118726
a	0.00149704	5.10339e-05	0.000485206	0.000836206	0.00127945	0.00152013	0.00592268	0.00986024	0.016802	0.907968	0.0537779
</S>	0.000781084	0.00042713	0.00125398	0.00137822	0.0034462	0.00189401	0.00344569	0.00512508	0.0811734	0.295371	0.605704
