 	il	y	a	plusieurs	manières	de	faire	couler	un	bateau	à	pic	</S>
i	0.0369065	0.0733986	0.051758	0.0785036	0.103114	0.381506	0.252899	0.00901156	0.00603665	0.00121315	0.00415519	0.000313397	0.00118407
l	0.00353246	0.0375684	0.0095459	0.0185204	0.0501072	0.0457139	0.301227	0.349089	0.0790521	0.0316141	0.0166133	0.0554436	0.00197206
i	0.00308193	0.0270228	0.00926857	0.00842196	0.0399216	0.0243035	0.190479	0.513438	0.112935	0.0165874	0.00697293	0.00717713	0.04039
n	0.00207887	0.00814468	0.0146367	0.00820873	0.0288244	0.0364189	0.140096	0.484833	0.098559	0.0591898	0.00646991	0.0105113	0.102028
d	0.116558	0.107041	0.0547761	0.0400234	0.0896049	0.0872365	0.103929	0.206807	0.0442868	0.00538142	0.00755141	0.00284276	0.133961
í	0.0540839	0.0377478	0.0230161	0.0237525	0.096391	0.042472	0.02491	0.304211	0.0378663	0.0197906	0.0115294	0.00379331	0.320437
s	0.0688282	0.0914311	0.0905657	0.0626022	0.0690592	0.158655	0.181947	0.063303	0.132073	0.0137034	0.0346251	0.00610337	0.0271031
í	0.0379872	0.0285373	0.0748075	0.110614	0.116858	0.106652	0.0895335	0.0948361	0.142029	0.0451592	0.034334	0.00867014	0.109982
l	0.0163321	0.0100472	0.0946773	0.150143	0.147399	0.221333	0.0985887	0.0830991	0.0742988	0.044979	0.019194	0.0139954	0.0259134
í	0.00414312	0.00519872	0.0457593	0.0602779	0.0333389	0.0552568	0.0602972	0.304749	0.134211	0.044249	0.0249575	0.00965574	0.217906
b	0.00393794	0.00594291	0.0332723	0.0558381	0.0788317	0.108223	0.12073	0.211541	0.136896	0.144948	0.0457328	0.031665	0.0224412
á	0.00392288	0.00694346	0.0186752	0.017901	0.0119762	0.0377499	0.23501	0.32294	0.22479	0.0881362	0.0131756	0.0097792	0.00900085
a	0.0217728	0.0155423	0.079609	0.0916045	0.0583263	0.116911	0.1865	0.0793632	0.13263	0.02955	0.0439084	0.0611664	0.0831155
s	0.00281032	0.00567017	0.0133044	0.00993908	0.00523221	0.0155722	0.032223	0.0551567	0.428132	0.179646	0.176808	0.024328	0.051178
ú	0.000825584	0.00307967	0.00576987	0.00648358	0.00927018	0.0108586	0.0233622	0.104256	0.260144	0.221819	0.117687	0.0677757	0.168669
a	0.000435715	0.00132201	0.01567	0.0582727	0.0343287	0.0171161	0.0106931	0.0155041	0.1351	0.458419	0.137034	0.0511761	0.0649286
í	0.00130235	0.00541085	0.0237644	0.0296622	0.00872734	0.0168955	0.0190827	0.0507844	0.240506	0.1287	0.265858	0.0476222	0.161685
d	0.00340431	0.0207941	0.0496903	0.0459376	0.0138335	0.0204585	0.0452296	0.102866	0.21512	0.0917333	0.20414	0.108585	0.0782083
í	0.000505532	0.00338514	0.0161768	0.0426041	0.00950457	0.00389433	0.00853128	0.0186511	0.139499	0.280756	0.0845872	0.0721234	0.319782
i	0.002462	0.00584924	0.0416578	0.131569	0.0292255	0.0114699	0.0111639	0.0180152	0.117421	0.0700265	0.205538	0.106867	0.248735
y	0.00716356	0.0296872	0.0456489	0.0670639	0.0222236	0.0138369	0.0328443	0.0423186	0.0703886	0.059225	0.119378	0.257414	0.232808
í	0.00143248	0.00499843	0.00711957	0.0117392	0.0221468	0.00437176	0.00572019	0.0266752	0.0704423	0.213999	0.230599	0.224661	0.176096
í	0.00125718	0.00182667	0.0135584	0.0293049	0.0098682	0.00395711	0.00284997	0.00775577	0.0361104	0.0341257	0.0835777	0.154398	0.62141
</S>	0.000928028	0.00541618	0.0189336	0.0256577	0.0210571	0.0146306	0.017152	0.0233987	0.093782	0.0395127	0.19071	0.0484207	0.500401
