 	c'	est	son	arrière	grand-père	paternel	</S>
e	0.786818	0.154545	0.0308305	0.0246489	0.00245016	0.000466537	0.000241069
d	0.208878	0.346381	0.047341	0.364481	0.00802372	0.0196293	0.00526511
í	0.171372	0.449119	0.0475219	0.235176	0.0204925	0.0116281	0.0646908
k	0.0894256	0.17874	0.0937766	0.0539635	0.0365664	0.0249921	0.522536
a	0.0713775	0.471875	0.14488	0.165841	0.0170543	0.00487975	0.124092
a	0.114079	0.244294	0.0891369	0.209927	0.119255	0.0398071	0.183501
g	0.0655421	0.072226	0.238795	0.346645	0.201213	0.0101509	0.0654284
h	0.026198	0.0668449	0.195099	0.148963	0.379167	0.00315122	0.180577
á	0.0145627	0.0519005	0.325877	0.243028	0.245608	0.00765522	0.111368
y	0.0279368	0.0256343	0.184227	0.0306403	0.662997	0.0446585	0.023906
a	0.00843167	0.0134619	0.118538	0.139785	0.521946	0.17294	0.0248976
t	0.0154422	0.00535516	0.155548	0.110906	0.506611	0.193242	0.0128967
á	0.0154959	0.0165454	0.0700054	0.0507694	0.338303	0.487176	0.0217041
á	0.000756448	0.00151363	0.0147345	0.00121365	0.252322	0.709296	0.0201639
y	0.0109778	0.0186474	0.0851536	0.0178685	0.480308	0.25393	0.133114
a	0.00866923	0.0129965	0.161837	0.0180335	0.306015	0.380753	0.111695
w	0.0130002	0.0107416	0.25381	0.0209015	0.185748	0.346648	0.169151
a	0.0275504	0.0234378	0.148159	0.0226271	0.343778	0.268548	0.165899
</S>	0.00133144	0.00195349	0.0369023	0.00818964	0.159947	0.422884	0.368792
