 	ma	pirogue	est	restée	seule	au	port	</S>
b	0.399657	0.508211	0.0356749	0.0107436	0.0295509	0.0141315	0.000878405	0.00115194
v	0.0110238	0.909691	0.035946	0.00763664	0.0229774	0.0050321	0.00737634	0.000316847
á	0.0258604	0.826238	0.0538552	0.0252889	0.0347278	0.00894209	0.0212186	0.00386949
r	0.019584	0.913312	0.0123974	0.0130947	0.00310191	0.00120849	0.00179839	0.0355027
e	0.831191	0.0810057	0.0251753	0.00782715	0.00633123	0.00180459	0.00211074	0.0445544
b	0.153834	0.0591791	0.546636	0.128349	0.0236271	0.0225602	0.00224074	0.0635739
á	0.436406	0.193455	0.192494	0.0966843	0.0452283	0.00709409	0.00464119	0.0239972
n	0.647406	0.0420977	0.161226	0.0543302	0.0352083	0.0139115	0.00397336	0.0418476
g	0.943906	0.00161831	0.0245769	0.00632221	0.00342003	0.00382728	0.00800969	0.00831942
á	0.314776	0.00777167	0.357869	0.150422	0.00735411	0.0111547	0.0800313	0.0706213
ó	0.0233481	0.00249711	0.507455	0.129574	0.177184	0.0932401	0.0157263	0.050976
b	0.0147143	0.00577334	0.0689072	0.108094	0.141264	0.588496	0.0381052	0.0346457
v	0.00359517	0.00302026	0.0543936	0.10362	0.203253	0.493628	0.0341849	0.104305
u	0.00513136	0.0253866	0.0457056	0.221183	0.182305	0.448928	0.0315436	0.0398171
u	0.0514449	0.00621376	0.0389382	0.0259795	0.248622	0.388034	0.128961	0.111807
b	0.0105849	0.00207335	0.0162371	0.00654464	0.203787	0.280104	0.31421	0.16646
v	0.0210375	0.0345771	0.052317	0.0238344	0.459959	0.136812	0.154763	0.1167
ú	0.00270081	0.0231774	0.00804391	0.0276898	0.608342	0.145672	0.119335	0.0650398
a	0.00755783	0.000896909	0.00950868	0.00339282	0.324882	0.197253	0.214481	0.242028
m	0.00344441	0.000526161	0.00873886	0.00377456	0.134555	0.411295	0.143573	0.294093
έ	0.00168457	0.000250307	0.0149366	0.00201585	0.0694845	0.275134	0.323586	0.312909
ó	0.00114868	0.00084502	0.00769778	0.00129337	0.115774	0.21922	0.389709	0.264312
i	0.00580104	0.00326279	0.0154803	0.0145647	0.0261972	0.489654	0.304806	0.140234
b	0.000810447	0.00331457	0.0246304	0.0125746	0.022133	0.332167	0.344896	0.259474
ó	0.00169467	0.0526249	0.0178093	0.0629498	0.0272067	0.221268	0.580535	0.0359116
n	0.000516836	0.00169299	0.0053666	0.015581	0.0278597	0.103614	0.504725	0.340643
g	0.0086891	0.00869741	0.0148163	0.0155024	0.0598619	0.0524256	0.405076	0.434931
o	0.0661501	0.00569877	0.021674	0.0157421	0.0590039	0.0146208	0.389282	0.427829
</S>	0.0119132	0.000569722	0.0124947	0.00340698	0.0195042	0.0310178	0.134457	0.786637
