 	cette	femme-là	s'	est	chamaillé	avec	son	mari	</S>
o	0.520517	0.250564	0.0520198	0.0297942	0.0513371	0.0536894	0.036709	0.000697328	0.00467181
y	0.0839756	0.369395	0.0200526	0.017136	0.0237907	0.0735874	0.019513	0.351748	0.0408015
ú	0.552306	0.234878	0.0410078	0.0493968	0.00600753	0.019919	0.0056541	0.0814878	0.00934295
r	0.244125	0.101868	0.0390178	0.176048	0.0182913	0.0725832	0.038359	0.0617935	0.247915
u	0.41848	0.341	0.0581293	0.104077	0.00716467	0.0356089	0.00826441	0.0111376	0.0161383
w	0.489671	0.156452	0.196661	0.0401821	0.015345	0.031803	0.0403971	0.00660808	0.0228809
ó	0.185544	0.153546	0.0629146	0.0789871	0.0239144	0.121409	0.146765	0.00966668	0.217253
b	0.103714	0.0399673	0.314738	0.104621	0.022348	0.0801209	0.118189	0.0198563	0.196446
á	0.0482495	0.0551272	0.132558	0.0804578	0.438677	0.113582	0.110743	0.00317843	0.017427
a	0.0710388	0.0958918	0.167042	0.0567585	0.405877	0.0553989	0.116112	0.00163572	0.0302455
l	0.00499798	0.00643337	0.208921	0.141817	0.0776931	0.204602	0.169372	0.06366	0.122502
o	0.0116108	0.0162751	0.0925704	0.0987584	0.0443964	0.149524	0.11238	0.0863754	0.388109
l	0.0327752	0.0121719	0.0504695	0.0886569	0.0381472	0.0535164	0.0424007	0.656347	0.025515
ó	0.0284086	0.0115539	0.12199	0.227849	0.0860065	0.237005	0.134802	0.108128	0.0442575
m	0.010605	0.00194733	0.0924852	0.147371	0.143183	0.257854	0.22095	0.110646	0.0149579
i	0.221359	0.0110003	0.0931035	0.118513	0.0392207	0.115481	0.0577266	0.250647	0.0929495
á	0.0101258	0.00431951	0.0802976	0.127715	0.121251	0.202826	0.160035	0.110655	0.182776
k	0.00189072	0.00154292	0.0145358	0.0378925	0.0182362	0.163228	0.194346	0.397893	0.170435
a	0.0007822	0.000785529	0.0421229	0.0939477	0.107671	0.36144	0.158992	0.0550619	0.179196
b	0.00302361	0.000765661	0.046882	0.0753578	0.0816165	0.285986	0.13641	0.102911	0.267048
h	0.00527932	0.000439028	0.0358001	0.131561	0.0524161	0.248579	0.300145	0.0206079	0.205172
i	0.0067604	0.00238961	0.114927	0.233369	0.050104	0.177176	0.127742	0.0315151	0.256016
r	0.00325147	0.00164477	0.0148653	0.100247	0.173173	0.169195	0.303454	0.0195762	0.214592
i	0.00646516	0.00445418	0.0135235	0.358436	0.0428427	0.163023	0.226453	0.0542354	0.130567
l	0.000590528	0.000196798	0.00562009	0.0391856	0.0518599	0.169482	0.376753	0.0290114	0.327301
a	0.0104622	0.0018435	0.0176467	0.0573665	0.0239192	0.124052	0.243476	0.0724737	0.44876
b	0.00865245	0.00218762	0.0173097	0.110308	0.0720159	0.113781	0.440215	0.0506557	0.184875
i	0.00131131	0.00934626	0.0369617	0.0435845	0.510046	0.0988682	0.283966	0.0116568	0.00425909
a	0.00153193	0.000686713	0.0224695	0.061427	0.269599	0.166148	0.242734	0.0261968	0.209207
</S>	0.0032414	0.00034847	0.0140702	0.0315358	0.0132967	0.160755	0.311502	0.0102514	0.454999
