 	papa	a	maintenant	des	cheveux	blancs	</S>
d	0.821285	0.160498	0.00522995	0.0100877	0.0016846	0.000867031	0.000347248
a	0.988558	0.00776297	0.000160571	0.000800533	0.000626422	0.00078514	0.00130591
a	0.992768	0.00607191	5.28852e-05	8.85737e-05	0.000495115	0.000123442	0.000399823
d	0.284216	0.500568	0.0504518	0.00795898	0.00235581	0.00413938	0.15031
á	0.219943	0.731453	0.0112033	0.00729486	0.0113766	0.000476456	0.0182524
a	0.0763312	0.563544	0.0481277	0.0246607	0.0286835	0.0196089	0.239044
b	0.00490039	0.592103	0.315649	0.0382412	0.0159465	0.00705295	0.0261067
h	0.00167195	0.40648	0.520979	0.0519747	0.00367076	0.0012804	0.0139433
í	0.00240375	0.230416	0.708374	0.0478283	0.00317993	0.000491704	0.00730638
l	0.00260335	0.270994	0.428838	0.102644	0.0469194	0.01744	0.130562
a	0.00120937	0.105301	0.592413	0.147184	0.0346888	0.0142643	0.10494
m	0.00908436	0.116707	0.378484	0.218988	0.179008	0.0242065	0.0735215
b	0.0121215	0.0583475	0.112887	0.171734	0.545812	0.0279492	0.0711489
v	0.00090652	0.0559868	0.640586	0.205707	0.0126052	0.0209362	0.0632721
i	0.00169766	0.0656039	0.569671	0.199208	0.0419363	0.00986756	0.112015
í	9.56305e-05	0.0240404	0.359368	0.122216	0.0477516	0.0494883	0.397041
</S>	0.000103432	0.0110133	0.165053	0.254332	0.0618557	0.167298	0.340345
