 	de	la	manière	dont	ils	ont	ensorcelé	mon	fils	ils	n'	ont	pitié	de	personne	</S>
e	0.297741	0.20499	0.049747	0.105819	0.0407369	0.0211403	0.00220275	0.0779391	0.0153471	0.00294812	0.0020067	0.00262659	0.102865	0.0631196	0.00971259	0.00105768
l	0.00401553	0.014332	0.0112219	0.00344816	0.00118783	0.0595249	0.200204	0.0132208	0.014903	0.00102647	0.0118169	0.240634	0.385862	0.0193729	0.0133666	0.00586343
ω	0.000159683	0.000908671	0.00356381	0.00122105	5.69046e-05	0.00371288	0.969308	0.00216238	0.000107275	2.081e-05	0.00065551	0.00824289	0.00706474	0.000316781	0.000372975	0.00212555
ω	0.00210134	0.00334148	0.0214957	0.0112422	0.000501656	0.00715397	0.881248	0.00596186	0.00138766	0.00206565	0.00329837	0.0137858	0.0194523	0.00516857	0.0159761	0.00581948
l	0.0594842	0.0572696	0.147866	0.272211	0.0180722	0.0963521	0.00796614	0.101812	0.0105463	0.0153319	0.0328092	0.0195569	0.0634339	0.0442409	0.0153516	0.0376966
í	0.0137838	0.0317544	0.0409897	0.0486749	0.0187353	0.036769	0.0350023	0.0397392	0.0174749	0.0132183	0.0348024	0.0729216	0.0935667	0.0133176	0.0171952	0.472055
y	0.138582	0.112329	0.155484	0.15919	0.0967636	0.0507377	0.0271403	0.0906773	0.0311965	0.0125017	0.0138365	0.00650443	0.0172452	0.0296214	0.00378827	0.0544021
é	0.0272675	0.0377642	0.249931	0.252962	0.00523973	0.0241804	0.0542588	0.0221638	0.0083863	0.00298237	0.0378772	0.0389724	0.0121383	0.0106818	0.00319035	0.212004
é	0.0115479	0.0277697	0.182642	0.247782	0.021083	0.0693768	0.168062	0.051494	0.0156501	0.00362959	0.0137083	0.0100561	0.0462905	0.0243884	0.00306763	0.103453
l	0.00200731	0.00498571	0.00720477	0.0284104	0.00357622	0.0696887	0.607712	0.00744616	0.0090449	0.00517072	0.03502	0.076364	0.0163129	0.00562782	0.00972998	0.111699
