 	il	binait	dans	sa	plantation	</S>
w	0.973267	0.00893299	0.00347159	0.00899946	0.00526896	6.01252e-05
a	0.93634	0.00882945	0.00786523	0.0438625	0.00298715	0.000115814
á	0.435667	0.290027	0.179394	0.0659081	0.00489012	0.0241136
d	0.137645	0.445865	0.240478	0.0937709	0.0112702	0.07097
z	0.0119026	0.366333	0.385524	0.0242669	0.00174588	0.210228
e	0.294448	0.638469	0.0359425	0.00714111	0.0197959	0.00420326
l	0.016332	0.0747648	0.534415	0.0915618	0.0199577	0.262968
á	0.0810742	0.0612655	0.278412	0.128184	0.0436294	0.407434
a	0.105436	0.116064	0.372453	0.115486	0.0957158	0.194846
w	0.00598265	0.543154	0.339136	0.0444093	0.0253264	0.0419915
o	0.00654042	0.279299	0.355003	0.146694	0.119858	0.0926051
á	0.001517	0.218818	0.396486	0.0593578	0.11079	0.213031
n	0.0141109	0.00445261	0.237507	0.339692	0.316057	0.088181
g	0.00940211	0.00109397	0.0925815	0.221653	0.467409	0.20786
o	0.00295659	0.000380711	0.0196355	0.0430887	0.898315	0.0356234
n	0.000273507	0.000806365	0.0808798	0.101644	0.523867	0.292529
d	0.00309117	0.00434354	0.063531	0.10011	0.223164	0.60576
a	0.000798322	0.00126638	0.0149266	0.0284764	0.532945	0.421588
</S>	0.000355536	0.000501702	0.0725889	0.129736	0.145716	0.651102
