 	il	n'	achète	pas	ça	</S>
w	0.847705	0.108945	0.00161636	0.0384137	0.002749	0.000570489
a	0.710069	0.203072	0.0102125	0.0697463	0.00619032	0.000709939
a	0.346199	0.589179	0.0146259	0.0366007	0.004917	0.00847892
d	0.112965	0.495037	0.280535	0.0511196	0.0209578	0.0393851
í	0.0349977	0.421814	0.40407	0.0319237	0.0140292	0.0931652
o	0.026165	0.174358	0.377438	0.157514	0.0674515	0.197074
s	0.00257433	0.0176564	0.878242	0.0314115	0.057122	0.0129935
ó	0.00104075	0.0260111	0.935436	0.00702368	0.0139161	0.0165724
m	0.0117036	0.039952	0.493997	0.056923	0.0630099	0.334415
b	0.0388206	0.0921893	0.112333	0.456764	0.0673249	0.232569
a	0.211159	0.0989908	0.041842	0.222432	0.0840486	0.341527
y	0.0303378	0.0332215	0.00564819	0.432444	0.22107	0.277279
í	0.0498665	0.154299	0.0129735	0.237692	0.389482	0.155687
a	0.00681367	0.0106839	0.00987333	0.109875	0.770242	0.0925116
έ	0.00205064	0.0332006	0.0199279	0.0990927	0.733797	0.111931
</S>	0.00376388	0.0960632	0.0487821	0.213961	0.516816	0.120613
