 	le	safou	non	mûr	est	par	terre	</S>
e	0.679665	0.219803	0.0821205	0.00790594	0.00568632	0.00423749	0.000440147	0.000140953
b	0.199439	0.622657	0.15574	0.00227968	0.00437892	0.00731577	0.00569533	0.00249478
h	0.100891	0.648447	0.161079	0.050187	0.00498833	0.00727455	0.022609	0.00452395
ó	0.193044	0.274907	0.163376	0.324651	0.00909301	0.00695077	0.0147492	0.0132292
m	0.686516	0.174608	0.0837346	0.0388036	0.00497537	0.00169698	0.00357708	0.00608903
b	0.147865	0.0852888	0.301729	0.0748079	0.064593	0.0115494	0.0187893	0.295378
a	0.592868	0.224091	0.0513824	0.097983	0.00796211	0.00144696	0.00230769	0.0219588
é	0.109385	0.116193	0.629046	0.0193887	0.0858939	0.0133845	0.00166636	0.0250432
d	0.0384587	0.0244837	0.587715	0.0670174	0.139622	0.103076	0.0133118	0.0263149
í	0.0171234	0.0166603	0.059181	0.0263122	0.272731	0.109168	0.0123425	0.486481
b	0.00891482	0.00752813	0.200517	0.0608091	0.324181	0.170255	0.0278507	0.199944
ω	0.00552056	0.0174372	0.037398	0.731283	0.0560963	0.0673842	0.0722808	0.0125999
ó	0.00441216	0.0171487	0.062155	0.526411	0.141592	0.0800229	0.110097	0.0581617
t	0.0139464	0.00374104	0.0144121	0.00948928	0.23629	0.457431	0.0915016	0.173188
s	0.00956304	0.0101461	0.0770693	0.0568412	0.110993	0.208729	0.265242	0.261416
é	0.000914093	0.0011281	0.0364444	0.245586	0.0632648	0.10535	0.485344	0.0619677
</S>	0.000719693	0.00190332	0.0153837	0.0453247	0.0791256	0.164901	0.232078	0.460564
