 	leur	père	est	ivre	</S>
t	0.115884	0.883539	0.000489325	7.08999e-05	1.70246e-05
á	0.00669683	0.992038	0.000873715	0.000336247	5.51808e-05
á	0.0152994	0.969458	0.0046744	0.00818937	0.00237847
y	0.577315	0.224068	0.148714	0.00431781	0.0455849
a	0.263327	0.389207	0.198652	0.0466159	0.102199
b	0.893735	0.0117405	0.0548806	0.00475566	0.0348884
á	0.995177	0.00202088	0.00192944	9.93213e-05	0.000773176
a	0.944393	0.0391929	0.00892184	0.00233242	0.00515934
a	0.0238129	0.017324	0.792116	0.0169611	0.149786
d	0.00754735	0.00458042	0.843383	0.108379	0.03611
í	0.00912707	0.000562629	0.470163	0.206173	0.313974
o	0.0338706	0.000866121	0.218072	0.213884	0.533307
l	0.000397978	0.00016956	0.0176692	0.948201	0.0335619
á	8.54783e-05	0.000113203	0.216337	0.713856	0.0696087
n	0.00141538	0.000663129	0.121318	0.845199	0.0314041
g	0.108157	0.00663331	0.217511	0.513328	0.154372
á	0.19069	0.0341697	0.0468033	0.345383	0.382953
l	0.00264212	0.0010999	0.139715	0.305768	0.550775
a	0.0368078	0.00141567	0.0508701	0.635375	0.275531
n	0.0627383	0.00514729	0.192534	0.426809	0.312771
g	0.207217	0.00198697	0.0214383	0.457977	0.311381
a	0.0810323	0.00515514	0.112573	0.514728	0.286511
</S>	0.00336698	0.000929602	0.023791	0.416974	0.554939
