 	il	mérite	d'	être	battu	</S>
k	0.690114	0.256664	0.0400874	0.0111617	0.00192439	4.81687e-05
á	0.27442	0.66923	0.0291832	0.0132793	0.011825	0.00206246
a	0.15853	0.564649	0.0994422	0.0453181	0.0281891	0.103872
b	0.39327	0.171001	0.306141	0.0971821	0.0120927	0.0203139
á	0.0693922	0.158527	0.294679	0.387226	0.0412501	0.0489259
a	0.196155	0.0950115	0.31853	0.276299	0.0361715	0.0778325
b	0.0153128	0.120943	0.530594	0.19624	0.0343191	0.102591
έ	0.0343378	0.252507	0.266066	0.260927	0.074994	0.111169
r	0.0134505	0.0659596	0.277161	0.165121	0.104326	0.373981
έ	0.220011	0.107285	0.28176	0.254476	0.0730131	0.0634549
w	0.0193818	0.00902454	0.193534	0.499944	0.222045	0.0560712
a	0.156274	0.019171	0.28394	0.473582	0.0542672	0.0127664
</S>	0.0050059	0.00214867	0.0773064	0.169643	0.407578	0.338318
