 	nyaamvua	enfonce	le	manioc	dans	la	hotte	</S>
n	0.91536	0.0438261	0.0177911	0.00842988	0.00855833	0.00529007	0.000568666	0.000175995
y	0.999671	0.000130073	0.000100832	3.29172e-06	5.53122e-05	2.61995e-05	4.79235e-06	8.23407e-06
á	0.994057	0.00474378	0.000485535	0.000105776	0.000148033	8.45101e-05	0.000338026	3.77743e-05
a	0.948085	0.0219149	0.00605287	0.000412925	0.001616	0.00951412	0.00804141	0.0043627
m	0.56507	0.0612398	0.153272	0.0231522	0.0918534	0.0336413	0.00449294	0.0672786
b	0.0190048	0.443403	0.208564	0.0255397	0.0355864	0.0657123	0.0910305	0.111159
v	0.0191516	0.811887	0.121551	0.00959733	0.0108432	0.0069936	0.00850856	0.0114678
ú	0.0407358	0.813998	0.0549473	0.00392782	0.0116802	0.00397422	0.00482298	0.065914
á	0.318836	0.498498	0.125617	0.0168195	0.0115716	0.00480746	0.00338931	0.0204614
l	0.0816319	0.150155	0.622506	0.0343687	0.0455486	0.0174727	0.00127706	0.0470396
á	0.0281916	0.099907	0.279879	0.0273687	0.0867919	0.0205079	0.00590636	0.451447
a	0.098301	0.0687037	0.453782	0.136664	0.0752781	0.0655975	0.0424203	0.0592539
b	0.026942	0.364674	0.349822	0.228558	0.0169871	0.0017233	0.000740029	0.0105532
h	0.000609492	0.740108	0.0555838	0.185962	0.0124978	0.00128728	0.000361836	0.00358905
í	0.000164622	0.919196	0.0159284	0.0537008	0.00784955	0.000775743	0.00051242	0.00187294
á	0.00501409	0.235111	0.170012	0.404644	0.111125	0.0128808	0.00718048	0.0540321
i	0.00304279	0.00556546	0.0897422	0.143368	0.333435	0.335239	0.0679829	0.0216248
k	0.00235614	0.054858	0.0791035	0.182768	0.249481	0.165768	0.118488	0.147177
ώ	0.00141288	0.098717	0.053434	0.691326	0.0710534	0.0309807	0.00498822	0.048088
ώ	0.00044989	0.0285215	0.0904321	0.53604	0.128707	0.0608082	0.0171403	0.137901
s	0.000610655	0.00192948	0.0276596	0.0304335	0.324029	0.50304	0.0444585	0.0678397
á	0.000548696	0.00749136	0.0326172	0.0143812	0.0766151	0.195226	0.060731	0.61239
m	0.0031992	0.00150802	0.0129784	0.00277697	0.0212029	0.3528	0.551707	0.0538268
ú	2.54987e-05	0.000452641	0.00133067	0.000260771	0.00482737	0.0458638	0.924047	0.0231927
a	1.54479e-05	0.000363517	0.00325317	0.00196738	0.0253526	0.074445	0.854418	0.040185
</S>	0.000458289	0.00261011	0.0203057	0.0142386	0.0563324	0.201427	0.0307809	0.673847
