 	on	ne	peut	pas	parler	avec	lui	il	est	borné	</S>
l	0.620753	0.189918	0.0353778	0.0489937	0.028272	0.0316282	0.0246673	0.0153424	0.002396	0.000959827	0.0016923
e	0.509591	0.270318	0.0154814	0.0365813	0.0432168	0.0453712	0.0190237	0.0225084	0.0088184	0.0221805	0.00690914
d	0.262446	0.373695	0.0172241	0.0274457	0.0322026	0.0757214	0.0510527	0.0532396	0.0183788	0.0335738	0.0550203
í	0.0182683	0.10567	0.253215	0.0178989	0.0647869	0.0786827	0.0150333	0.0170736	0.0336979	0.114258	0.281415
o	0.0218451	0.161261	0.056533	0.0274605	0.0117355	0.0282795	0.0244108	0.0365728	0.0680113	0.0370936	0.526797
b	0.0466999	0.315495	0.361144	0.154062	0.0265034	0.0116342	0.00876778	0.00749483	0.021084	0.00258024	0.0445347
h	0.0611643	0.0938397	0.510172	0.118318	0.0503967	0.0342779	0.0293784	0.0190071	0.0160786	0.0105077	0.0568595
e	0.0142633	0.0348749	0.703277	0.137372	0.066259	0.0189326	0.00733085	0.00384886	0.00263586	0.00303489	0.00817137
r	0.0415598	0.16377	0.411524	0.199321	0.0633576	0.0316123	0.0138974	0.00616512	0.00518056	0.0105705	0.0530408
á	0.152758	0.171797	0.255626	0.0767336	0.05384	0.0442976	0.0236277	0.00949533	0.0033011	0.012581	0.195943
o	0.182823	0.259032	0.0491003	0.238413	0.0762977	0.0679269	0.0606764	0.0278336	0.00855493	0.00288611	0.0264554
t	0.00456713	0.0295642	0.162686	0.165145	0.586014	0.0210578	0.003963	0.00312389	0.00888112	0.0103902	0.00460735
i	0.000664668	0.021994	0.0417475	0.0851884	0.698055	0.0706218	0.0112688	0.00905943	0.00557537	0.0333362	0.0224887
á	0.00087816	0.0182902	0.0520435	0.187473	0.4948	0.100495	0.0296732	0.0190052	0.0113909	0.016569	0.0693819
l	0.0182215	0.0439154	0.011954	0.148463	0.148301	0.362831	0.187852	0.0496674	0.00978927	0.00439699	0.0146084
a	0.0325947	0.0191187	0.0127993	0.036876	0.0972451	0.206519	0.0879016	0.0501773	0.0306298	0.0146632	0.411475
w	0.0115064	0.0297147	0.00133387	0.0236571	0.057683	0.542205	0.205902	0.0836541	0.00969704	0.0107508	0.0238958
a	0.0883273	0.0740299	0.0143831	0.105649	0.10115	0.242464	0.202381	0.098436	0.0116264	0.0192112	0.0423416
k	0.00234053	0.00449437	0.00101605	0.034028	0.0580815	0.323529	0.336173	0.159155	0.0240795	0.00763392	0.0494697
a	0.0131489	0.0133641	0.00428934	0.0727352	0.23846	0.213129	0.239511	0.132169	0.0198477	0.0251176	0.0282277
á	0.00155666	0.00477676	0.00309765	0.0369563	0.0812558	0.146213	0.244432	0.180967	0.0344519	0.0218193	0.244474
w	0.00442386	0.00720331	0.00396861	0.0103732	0.0087879	0.0871238	0.262305	0.311907	0.214467	0.00519352	0.0842463
a	0.00572314	0.0108637	0.0044569	0.030561	0.0465884	0.121856	0.23953	0.264469	0.0468143	0.0363725	0.192765
a	0.00174675	0.00351745	0.000531085	0.00600474	0.0072476	0.0553475	0.17959	0.374034	0.19992	0.016878	0.155183
d	0.00560983	0.0348796	0.00670084	0.0233039	0.0115363	0.0176627	0.0460438	0.157423	0.556998	0.043556	0.0962863
í	0.0020687	0.0132517	0.00484011	0.00284443	0.00264167	0.0140008	0.0232849	0.065473	0.348282	0.0320333	0.491279
i	0.0045985	0.0132111	0.0019265	0.00715077	0.00363028	0.0180145	0.0658237	0.157607	0.472974	0.0642251	0.190839
b	0.00694564	0.0125887	0.00868683	0.00906237	0.00693667	0.0121828	0.0189625	0.0624357	0.23287	0.492277	0.137052
o	0.00413681	0.00702633	0.118443	0.0266709	0.00987475	0.0455393	0.0515553	0.0937473	0.215315	0.310134	0.117558
ó	2.45849e-05	0.000520298	0.0148239	0.00408098	0.0140876	0.0225659	0.0197851	0.0541755	0.137526	0.535123	0.197287
b	0.00334953	0.00942852	0.0025937	0.00727557	0.00425061	0.0211396	0.0628067	0.14688	0.315875	0.140921	0.285479
v	0.00819505	0.00831764	0.0164183	0.0343873	0.0102064	0.0582893	0.0948873	0.160676	0.248495	0.225973	0.134155
ú	0.00260284	0.00216775	0.00904428	0.0090828	0.010987	0.0254494	0.0662223	0.138743	0.106149	0.437738	0.191814
s	6.1886e-05	0.000348616	0.000280193	0.000846313	0.00150787	0.00358883	0.00721382	0.0142394	0.048828	0.812559	0.110526
u	0.00122235	0.00283786	0.000548802	0.00191121	0.00374621	0.00917076	0.0201445	0.0368816	0.068631	0.639003	0.215903
</S>	0.00101749	0.00318852	0.00119448	0.00370915	0.00265061	0.0153387	0.0425745	0.111451	0.145249	0.094512	0.579114
