 	il	est	un	lecteur	à	l'	église	</S>
w	0.94958	0.0383382	0.00583609	0.000123373	0.00195186	0.00240953	0.00166774	9.28335e-05
a	0.948659	0.0221873	0.00819695	4.02557e-05	0.00853702	0.0121452	0.000217175	1.65724e-05
a	0.0581782	0.768313	0.15168	0.00225929	0.0110539	0.00245183	0.000117008	0.00594593
d	0.0435747	0.492136	0.273945	0.07322	0.039328	0.0121011	0.00325721	0.0624374
í	0.0198443	0.656288	0.239476	0.0159708	0.011377	0.00206018	0.00036918	0.0546142
o	0.0109654	0.216426	0.308511	0.159277	0.0952269	0.0231482	0.0100092	0.176436
t	0.000252594	0.010661	0.0765269	0.834794	0.0337471	0.00875634	0.0299122	0.00534974
á	2.08587e-05	0.0018016	0.00892982	0.979969	0.00341193	0.000417151	0.00235111	0.00309886
n	0.000707327	0.0620745	0.267495	0.600978	0.0281294	0.00759176	0.0104601	0.0225638
g	0.0363057	0.0493137	0.242424	0.327412	0.204746	0.0354822	0.0359368	0.0683792
i	0.0490514	0.00718917	0.0576704	0.452981	0.208657	0.0320434	0.0800169	0.11239
ó	0.00137141	0.00147961	0.0344329	0.0681458	0.693902	0.130842	0.0263554	0.0434713
n	0.000330236	0.00462058	0.0278333	0.0170644	0.240426	0.285583	0.401833	0.022309
d	0.000264116	0.000482941	0.00427508	0.00540986	0.239442	0.140398	0.570044	0.0396838
é	2.32699e-05	1.56316e-05	0.000579724	0.00677188	0.0400064	0.0523417	0.892263	0.00799843
e	5.97913e-05	0.000212804	0.011532	0.0534687	0.19758	0.150894	0.530925	0.0553281
y	0.00030982	0.00194163	0.0153287	0.00512809	0.307205	0.322826	0.0624557	0.284805
á	0.00190677	0.00542777	0.0182964	0.00959854	0.289023	0.33789	0.11675	0.221108
n	0.00125637	0.00325579	0.0154143	0.00781611	0.115559	0.304936	0.470668	0.0810936
z	0.000212901	0.000120078	0.00173461	0.00327395	0.0432505	0.206539	0.705789	0.0390799
a	0.000207765	0.000191217	0.00228898	0.00259008	0.0374192	0.117109	0.8255	0.014694
m	2.98134e-05	0.000177665	0.00279036	0.00245546	0.0769945	0.141327	0.582561	0.193665
b	0.00131078	0.000446575	0.00149164	7.96722e-05	0.0760797	0.186856	0.106458	0.627278
é	0.000534714	0.000288319	0.00172031	0.000360336	0.0507924	0.112466	0.704414	0.129424
</S>	0.000161098	0.00107062	0.00343074	0.00145679	0.0600389	0.0759805	0.0178432	0.840018
